replica,seed,runtime_sec,initial_loss,final_loss,final_mse,estimated_convergence_step,cosine_similarity
1,42,4.3623,4.2589545898e+03,4.0066860000e+06,2.0033430176e+03,,-1.8662724178e-03
2,1042,2.1368,4.3832739258e+03,4.0395862500e+06,2.0197930908e+03,,-1.4422559179e-02
3,2042,2.1391,3.7609160156e+03,4.0175190000e+06,2.0087595215e+03,,-6.1071910895e-03
