step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,mse_mean,mse_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,loss_replica_2,loss_replica_3,mse_replica_1,mse_replica_2,mse_replica_3,cosine_similarity_replica_1,cosine_similarity_replica_2,cosine_similarity_replica_3
0,4.1343815104e+03,2.6891284979e+02,3.6154650857e+00,2.8859938595e-02,2.0671908061e+00,1.3445639310e-01,2.3083861452e-03,9.6648425956e-03,4.2589545898e+03,4.3832739258e+03,3.7609160156e+03,2.1294772625e+00,2.1916370392e+00,1.8804581165e+00,1.3296515681e-02,3.8541743997e-03,-1.0225531645e-02
1,1.7865515625e+05,1.4836110971e+04,5.2505601443e+00,3.5295659995e-02,8.9327578227e+01,7.4180568508e+00,-1.8754715721e-02,5.2176875973e-03,1.7178179688e+05,1.6492404688e+05,1.9925962500e+05,8.5890899658e+01,8.2462020874e+01,9.9629814148e+01,-1.5706753358e-02,-2.6098391041e-02,-1.4459002763e-02
2,2.4684840000e+06,9.3993797567e+05,6.3585979957e+00,1.7458670685e-01,1.2342420451e+03,4.6996900784e+02,-9.4386556496e-03,9.2264166161e-03,2.3645800000e+06,1.3727740000e+06,3.6680980000e+06,1.1822900391e+03,6.8638702393e+02,1.8340490723e+03,-5.9468764812e-04,-2.2168967873e-02,-5.5523114279e-03
3,4.0107639167e+06,8.9580711427e+03,6.6032260150e+00,9.7059714294e-04,2.0053819580e+03,4.4790861873e+00,-6.3980401610e-03,5.4785858540e-03,3.9984212500e+06,4.0194080000e+06,4.0144625000e+06,1.9992105713e+03,2.0097041016e+03,2.0072312012e+03,-5.5426679319e-04,-1.3725615107e-02,-4.9142385833e-03
4,4.0182780833e+06,1.3985834998e+04,6.6040373604e+00,1.5105756184e-03,2.0091389974e+03,6.9929500259e+00,-6.2995018088e-03,5.3493371820e-03,4.0033695000e+06,4.0369887500e+06,4.0144760000e+06,2.0016846924e+03,2.0184943848e+03,2.0072379150e+03,-5.4768117843e-04,-1.3431059197e-02,-4.9197650515e-03
5,4.0182929167e+06,1.3992093714e+04,6.6040389612e+00,1.5112455525e-03,2.0091464844e+03,6.9960060398e+00,-6.3053357298e-03,5.3519595145e-03,4.0033777500e+06,4.0370120000e+06,4.0144890000e+06,2.0016889648e+03,2.0185059814e+03,2.0072445068e+03,-5.5079167942e-04,-1.3440438546e-02,-4.9247769639e-03
6,4.0183071667e+06,1.3998777526e+04,6.6040404989e+00,1.5119613904e-03,2.0091536865e+03,6.9993674306e+00,-6.3110375001e-03,5.3544221828e-03,4.0033855000e+06,4.0370355000e+06,4.0145005000e+06,2.0016928711e+03,2.0185178223e+03,2.0072503662e+03,-5.5389176123e-04,-1.3449447230e-02,-4.9297735095e-03
7,4.0183217500e+06,1.4005368899e+04,6.6040420726e+00,1.5126674550e-03,2.0091608887e+03,7.0026947487e+00,-6.3167073919e-03,5.3568520108e-03,4.0033927500e+06,4.0370587500e+06,4.0145137500e+06,2.0016964111e+03,2.0185294189e+03,2.0072568359e+03,-5.5699027143e-04,-1.3458377682e-02,-4.9347542226e-03
8,4.0183364167e+06,1.4011939421e+04,6.6040436553e+00,1.5133710904e-03,2.0091682536e+03,7.0059463850e+00,-6.3223454442e-03,5.3592482091e-03,4.0034005000e+06,4.0370822500e+06,4.0145265000e+06,2.0017003174e+03,2.0185411377e+03,2.0072633057e+03,-5.6008825777e-04,-1.3467228971e-02,-4.9397191033e-03
9,4.0183506667e+06,1.4017886338e+04,6.6040451932e+00,1.5140075683e-03,2.0091753337e+03,7.0089479632e+00,-6.3279525105e-03,5.3616122293e-03,4.0034085000e+06,4.0371045000e+06,4.0145390000e+06,2.0017042236e+03,2.0185522461e+03,2.0072695312e+03,-5.6318502175e-04,-1.3476003893e-02,-4.9446686171e-03
