replica,seed,runtime_sec,initial_loss,final_loss,final_mse,estimated_convergence_step,cosine_similarity
1,42,4.3012,4.0539160156e+04,4.3880898914e-10,1.0970224397e-14,545,2.6949191093e-01
2,1042,4.0597,4.0539253906e+04,3.4180450137e-10,8.5451123174e-15,510,2.3519253731e-01
3,2042,4.0785,4.0539273438e+04,3.3499408802e-10,8.3748519187e-15,530,2.1419784427e-01
