step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,mse_mean,mse_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,loss_replica_2,loss_replica_3,mse_replica_1,mse_replica_2,mse_replica_3,cosine_similarity_replica_1,cosine_similarity_replica_2,cosine_similarity_replica_3
0,4.0539229167e+04,4.9444889443e-02,4.6078754865e+00,5.2970052148e-07,1.0134807428e+00,1.2515398461e-06,-8.0198719030e-03,8.9955920155e-03,4.0539160156e+04,4.0539253906e+04,4.0539273438e+04,1.0134789944e+00,1.0134813786e+00,1.0134818554e+00,-3.1363202725e-03,-2.8843749897e-04,-2.0634857938e-02
5,1.2293213542e+04,2.6110875197e+02,4.0895673111e+00,9.2350763044e-03,3.0733035008e-01,6.5277231762e-03,1.5299615761e-01,2.1452929820e-02,1.1966298828e+04,1.2307970703e+04,1.2605371094e+04,2.9915747046e-01,3.0769929290e-01,3.1513428688e-01,1.7888949811e-01,1.5374231339e-01,1.2635666132e-01
10,4.4107786458e+03,1.8628476526e+02,3.6441351483e+00,1.8083892825e-02,1.1026946952e-01,4.6571191585e-03,1.9007786115e-01,2.4772579448e-02,4.2784379883e+03,4.2796738281e+03,4.6742241211e+03,1.0696095228e-01,1.0699184984e-01,1.1685560644e-01,2.2181820869e-01,1.8705034256e-01,1.6136503220e-01
15,2.2184461263e+03,1.0373867553e+02,3.3455834997e+00,2.0003052769e-02,5.5461155872e-02,2.5934671162e-03,2.0700939496e-01,2.5547717833e-02,2.1550607910e+03,2.1355556641e+03,2.3647219238e+03,5.3876522928e-02,5.3388893604e-02,5.9118051082e-02,2.4032457173e-01,2.0245978236e-01,1.7824383080e-01
20,1.2823531087e+03,6.4685798708e+01,3.1074629243e+00,2.1672996595e-02,3.2058828200e-02,1.6171454202e-03,2.1628477673e-01,2.5185078010e-02,1.2600439453e+03,1.2166760254e+03,1.3703393555e+03,3.1501099467e-02,3.0416900292e-02,3.4258484840e-02,2.4927906692e-01,2.1140506864e-01,1.8817019463e-01
25,8.0360575358e+02,3.7538496734e+01,2.9045715339e+00,2.0212148742e-02,2.0090144128e-02,9.3846239224e-04,2.2241011262e-01,2.5094070039e-02,7.9828930664e+02,7.6052001953e+02,8.5200793457e+02,1.9957233220e-02,1.9013000652e-02,2.1300198510e-02,2.5530284643e-01,2.1750149131e-01,1.9442600012e-01
30,5.3340871175e+02,3.1224111786e+01,2.7263151396e+00,2.5445175432e-02,1.3335218032e-02,7.8060308968e-04,2.2642135620e-01,2.4647748144e-02,5.3267755127e+02,4.9553796387e+02,5.7201062012e+02,1.3316938654e-02,1.2388449162e-02,1.4300266281e-02,2.5859674811e-01,2.2194509208e-01,1.9872222841e-01
35,3.6980546061e+02,2.2849370787e+01,2.5671300209e+00,2.7179144738e-02,9.2451367527e-03,5.7123436667e-04,2.2926184535e-01,2.4566853500e-02,3.7530090332e+02,3.3948074341e+02,3.9463473511e+02,9.3825226650e-03,8.4870187566e-03,9.8658688366e-03,2.6151791215e-01,2.2431214154e-01,2.0195548236e-01
40,2.6336352030e+02,1.8033932873e+01,2.4195178689e+00,3.0164659717e-02,6.5840880076e-03,4.5084831516e-04,2.3120950659e-01,2.4463184554e-02,2.6762460327e+02,2.3945646667e+02,2.8300949097e+02,6.6906153224e-03,5.9864115901e-03,7.0752371103e-03,2.6325380802e-01,2.2648085654e-01,2.0389385521e-01
45,1.8881958008e+02,1.4939536030e+01,2.2746542876e+00,3.4989734326e-02,4.7204894945e-03,3.7348822884e-04,2.3278833429e-01,2.4426798014e-02,1.9270355225e+02,1.6889230347e+02,2.0486288452e+02,4.8175887205e-03,4.2223078199e-03,5.1215719432e-03,2.6475444436e-01,2.2814673185e-01,2.0546382666e-01
50,1.3970181529e+02,1.2744916134e+01,2.1433317913e+00,4.0644891610e-02,3.4925453365e-03,3.1862291630e-04,2.3373789589e-01,2.4217882126e-02,1.4395669556e+02,1.2240627289e+02,1.5274247742e+02,3.5989175085e-03,3.0601567123e-03,3.8185617886e-03,2.6544293761e-01,2.2910372913e-01,2.0666702092e-01
