replica,seed,runtime_sec,final_loss,estimated_convergence_step,cosine_similarity
1,100,573.7813,1.5564055741e-01,999,8.1087660789e-01
2,101,571.1014,1.5175347030e-01,1782,8.1401193142e-01
3,102,571.6659,1.5307760239e-01,996,8.1034159660e-01
