step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,loss_replica_2,loss_replica_3,cosine_similarity_replica_1,cosine_similarity_replica_2,cosine_similarity_replica_3
26,2.0158256094e-01,1.4945856828e-02,-6.9673483096e-01,3.2080010368e-02,9.2810666561e-01,5.1057250866e-03,2.2073575854e-01,1.8426424265e-01,1.9974768162e-01,9.2202848196e-01,9.3452131748e-01,9.2777019739e-01
27,2.2527971367e-01,2.0253959639e-02,-6.4899084287e-01,3.8332110126e-02,9.1956909498e-01,6.9844100897e-03,2.5293672085e-01,2.0499739051e-01,2.1790502965e-01,9.1027563810e-01,9.2711353302e-01,9.2131811380e-01
28,2.5163066884e-01,2.6789893129e-02,-6.0161016688e-01,4.4982589664e-02,9.1013896465e-01,9.7031275663e-03,2.8894039989e-01,2.2727181017e-01,2.3867979646e-01,8.9673966169e-01,9.1940182447e-01,9.1427540779e-01
29,2.8024377426e-01,3.3954653173e-02,-5.5550885475e-01,5.0812881923e-02,8.9949049552e-01,1.2595235742e-02,3.2804548740e-01,2.5239008665e-01,2.6029574871e-01,8.8181215525e-01,9.1021835804e-01,9.0644097328e-01
30,3.1194331249e-01,4.2323503685e-02,-5.0971978492e-01,5.6637546795e-02,8.8776421547e-01,1.6341454405e-02,3.7168020010e-01,2.7882730961e-01,2.8532242775e-01,8.6472570896e-01,9.0085989237e-01,8.9770704508e-01
31,3.4547415376e-01,5.0658294602e-02,-4.6599765861e-01,6.0994768969e-02,8.7487419446e-01,1.9924358820e-02,4.1710680723e-01,3.0867475271e-01,3.1064090133e-01,8.4670621157e-01,8.8958561420e-01,8.8833075762e-01
32,3.8096180558e-01,5.8361551265e-02,-4.2392565368e-01,6.3620560731e-02,8.6113993327e-01,2.3895773421e-02,4.6349748969e-01,3.3973440528e-01,3.3965352178e-01,8.2734692097e-01,8.7822675705e-01,8.7784612179e-01
33,4.1924697161e-01,6.7680214446e-02,-3.8285682527e-01,6.6929766000e-02,8.4580226739e-01,2.8272381724e-02,5.1492118835e-01,3.7380784750e-01,3.6901187897e-01,8.0583035946e-01,8.6496585608e-01,8.6661058664e-01
34,4.5894695322e-01,7.5484542215e-02,-3.4376261928e-01,6.8149138049e-02,8.2966331641e-01,3.2752834607e-02,5.6563848257e-01,4.0869349241e-01,4.0250888467e-01,7.8336429596e-01,8.5162001848e-01,8.5400563478e-01
35,5.0214597583e-01,8.5794711477e-02,-3.0512782601e-01,7.0750549804e-02,8.1162329515e-01,3.7877887091e-02,6.2325274944e-01,4.4799265265e-01,4.3519252539e-01,7.5814282894e-01,8.3572131395e-01,8.4100574255e-01
36,5.4563373327e-01,9.3372585912e-02,-2.6907450659e-01,7.0853407258e-02,7.9298559825e-01,4.2899867306e-02,6.7745262384e-01,4.8646926880e-01,4.7297930717e-01,7.3240941763e-01,8.2035946846e-01,8.2618790865e-01
37,5.9294209878e-01,1.0393104126e-01,-2.3325972941e-01,7.2596066739e-02,7.7233628432e-01,4.8543106085e-02,7.3939037323e-01,5.3054243326e-01,5.0889348984e-01,7.0390963554e-01,8.0175429583e-01,8.1134492159e-01
38,6.4038924376e-01,1.1048582716e-01,-1.9963650674e-01,7.1492985772e-02,7.5114093224e-01,5.3937615776e-02,7.9608803988e-01,5.7390165329e-01,5.5117803812e-01,6.7508274317e-01,7.8414374590e-01,7.9419630766e-01
39,6.9028782845e-01,1.2151792756e-01,-1.6730443880e-01,7.2983853106e-02,7.2832775116e-01,6.0096783175e-02,8.6120581627e-01,6.2032693624e-01,5.8933073282e-01,6.4370560646e-01,7.6380109787e-01,7.7747654915e-01
40,7.3893598715e-01,1.2855488289e-01,-1.3757225138e-01,7.2057462534e-02,7.0548711220e-01,6.6166518721e-02,9.2014712095e-01,6.6103595495e-01,6.3562488556e-01,6.1215287447e-01,7.4636179209e-01,7.5794667006e-01
41,7.9195137819e-01,1.3953112691e-01,-1.0764560803e-01,7.3034770444e-02,6.8044074376e-01,7.2567280173e-02,9.8823887110e-01,7.1132385731e-01,6.7629140615e-01,5.7819581032e-01,7.2391498089e-01,7.3921144009e-01
42,8.4263646603e-01,1.4549757202e-01,-8.0446892042e-02,7.1520951297e-02,6.5598917007e-01,7.8266239887e-02,1.0478030443e+00,7.5362968445e-01,7.2647666931e-01,5.4552865028e-01,7.0511519909e-01,7.1732366085e-01
43,9.0166614453e-01,1.5987624445e-01,-5.1369053474e-02,7.3406042906e-02,6.2998807430e-01,8.3787614586e-02,1.1269515753e+00,8.0562090874e-01,7.7242594957e-01,5.1181584597e-01,6.8152171373e-01,6.9662666321e-01
44,9.5538002253e-01,1.7093214316e-01,-2.6345862982e-02,7.3986501212e-02,6.0781670610e-01,8.5784622372e-02,1.1965396404e+00,8.4923022985e-01,8.2037019730e-01,4.8675069213e-01,6.6158455610e-01,6.7511487007e-01
45,9.9841956298e-01,1.6536883077e-01,-6.3074591345e-03,6.8794326056e-02,5.9086366494e-01,7.9118420599e-02,1.2311139107e+00,9.0232777596e-01,8.6181700230e-01,4.7948533297e-01,6.3729339838e-01,6.5581226349e-01
46,1.0327718059e+00,1.4655498231e-01,9.8533507305e-03,5.9226536983e-02,5.7718002796e-01,6.7564786159e-02,1.2390884161e+00,9.4672012329e-01,9.1250687838e-01,4.8211389780e-01,6.1638700962e-01,6.3303917646e-01
47,1.0704992215e+00,1.3237931353e-01,2.6407970242e-02,5.1944238704e-02,5.6267134349e-01,5.6614840003e-02,1.2558957338e+00,1.0003292561e+00,9.5527267456e-01,4.8361229897e-01,5.9124135971e-01,6.1316037178e-01
48,1.1020633777e+00,1.0802868978e-01,4.0194413985e-02,4.1415115206e-02,5.4984154304e-01,4.3126146127e-02,1.2533861399e+00,1.0446053743e+00,1.0081986189e+00,4.8986023664e-01,5.7026773691e-01,5.8939665556e-01
