step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,mse_mean,mse_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,mse_replica_1,cosine_similarity_replica_1
0,1.0028591156e+02,0.0000000000e+00,2.0012399264e+00,0.0000000000e+00,1.0028591156e+00,0.0000000000e+00,-3.0342309401e-05,0.0000000000e+00,1.0028591156e+02,1.0028591156e+00,-3.0342309401e-05
100,3.5093326569e+01,0.0000000000e+00,1.5452245378e+00,0.0000000000e+00,3.5093325377e-01,0.0000000000e+00,7.3684595525e-02,0.0000000000e+00,3.5093326569e+01,3.5093325377e-01,7.3684595525e-02
200,1.3274992943e+01,0.0000000000e+00,1.1230342989e+00,0.0000000000e+00,1.3274991512e-01,0.0000000000e+00,9.5364041626e-02,0.0000000000e+00,1.3274992943e+01,1.3274991512e-01,9.5364041626e-02
300,6.6229629517e+00,0.0000000000e+00,8.2105232564e-01,0.0000000000e+00,6.6229626536e-02,0.0000000000e+00,1.0574372113e-01,0.0000000000e+00,6.6229629517e+00,6.6229626536e-02,1.0574372113e-01
400,3.8254606724e+00,0.0000000000e+00,5.8268374156e-01,0.0000000000e+00,3.8254607469e-02,0.0000000000e+00,1.1143042892e-01,0.0000000000e+00,3.8254606724e+00,3.8254607469e-02,1.1143042892e-01
500,2.3938868046e+00,0.0000000000e+00,3.7910361085e-01,0.0000000000e+00,2.3938866332e-02,0.0000000000e+00,1.1537432671e-01,0.0000000000e+00,2.3938868046e+00,2.3938866332e-02,1.1537432671e-01
600,1.5731904507e+00,0.0000000000e+00,1.9678130156e-01,0.0000000000e+00,1.5731904656e-02,0.0000000000e+00,1.1801737547e-01,0.0000000000e+00,1.5731904507e+00,1.5731904656e-02,1.1801737547e-01
700,1.0733861923e+00,0.0000000000e+00,3.0756004369e-02,0.0000000000e+00,1.0733862408e-02,0.0000000000e+00,1.2005404383e-01,0.0000000000e+00,1.0733861923e+00,1.0733862408e-02,1.2005404383e-01
800,7.5310015678e-01,0.0000000000e+00,-1.2314726199e-01,0.0000000000e+00,7.5310016982e-03,0.0000000000e+00,1.2167759985e-01,0.0000000000e+00,7.5310015678e-01,7.5310016982e-03,1.2167759985e-01
900,5.4226052761e-01,0.0000000000e+00,-2.6579200771e-01,0.0000000000e+00,5.4226056673e-03,0.0000000000e+00,1.2291792035e-01,0.0000000000e+00,5.4226052761e-01,5.4226056673e-03,1.2291792035e-01
1000,3.9619031549e-01,0.0000000000e+00,-4.0209614460e-01,0.0000000000e+00,3.9619030431e-03,0.0000000000e+00,1.2395857275e-01,0.0000000000e+00,3.9619031549e-01,3.9619030431e-03,1.2395857275e-01
1100,2.9340431094e-01,0.0000000000e+00,-5.3253350943e-01,0.0000000000e+00,2.9340430629e-03,0.0000000000e+00,1.2475261837e-01,0.0000000000e+00,2.9340431094e-01,2.9340430629e-03,1.2475261837e-01
1200,2.1975882351e-01,0.0000000000e+00,-6.5805367859e-01,0.0000000000e+00,2.1975883283e-03,0.0000000000e+00,1.2545515597e-01,0.0000000000e+00,2.1975882351e-01,2.1975883283e-03,1.2545515597e-01
