replica,seed,runtime_sec,final_loss,estimated_convergence_step,qy
1,42,507.2690,8.1269264221e-01,2,1.2017997503e+00
2,1042,504.9771,8.1941068172e-01,2,1.1994621754e+00
3,2042,505.1499,8.0812644958e-01,2,1.1966819763e+00
4,3042,505.1129,8.1529861689e-01,2,1.1944057941e+00
5,4042,501.6668,8.2105052471e-01,2,1.1958913803e+00
