step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,qy_mean,qy_std,loss_replica_1,loss_replica_2,loss_replica_3,loss_replica_4,loss_replica_5,qy_replica_1,qy_replica_2,qy_replica_3,qy_replica_4,qy_replica_5
19,9.9995024204e-01,4.5749149090e-03,-2.6162881785e-05,1.9893927226e-03,9.4262359664e-03,1.2436893626e-03,9.9288898706e-01,1.0041328669e+00,1.0038052797e+00,9.9614876509e-01,1.0027753115e+00,1.0991903022e-02,1.0749047622e-02,8.8197486475e-03,7.7555691823e-03,8.8149113581e-03
20,9.9987168312e-01,4.5738276741e-03,-6.0282175203e-05,1.9890754562e-03,1.1445905827e-02,1.2510852516e-03,9.9281239510e-01,1.0040534735e+00,1.0037260056e+00,9.9607074261e-01,1.0026957989e+00,1.3009775430e-02,1.2783203274e-02,1.0850115679e-02,9.7548533231e-03,1.0831581429e-02
21,9.9978733063e-01,4.5726651569e-03,-9.6920696237e-05,1.9887368278e-03,1.3777637295e-02,1.2597044777e-03,9.9273020029e-01,1.0039681196e+00,1.0036410093e+00,9.9598687887e-01,1.0026104450e+00,1.5339420177e-02,1.5131593682e-02,1.3194224797e-02,1.2062990107e-02,1.3159957714e-02
22,9.9969779253e-01,4.5715448418e-03,-1.3581519430e-04,1.9884268764e-03,1.6448994540e-02,1.2696837430e-03,9.9264270067e-01,1.0038777590e+00,1.0035507679e+00,9.9589788914e-01,1.0025198460e+00,1.8008373678e-02,1.7821950838e-02,1.5879800543e-02,1.4707240276e-02,1.5827607363e-02
23,9.9960399866e-01,4.5703155789e-03,-1.7656198437e-04,1.9880778833e-03,1.9487993047e-02,1.2811653720e-03,9.9255114794e-01,1.0037831068e+00,1.0034559965e+00,9.9580466747e-01,1.0024250746e+00,2.1044619381e-02,2.0882446319e-02,1.8935024738e-02,1.7715310678e-02,1.8862564117e-02
24,9.9950691462e-01,4.5691364085e-03,-2.1874233613e-04,1.9877573104e-03,2.2923004627e-02,1.2943084915e-03,9.9245613813e-01,1.0036849976e+00,1.0033581257e+00,9.9570822716e-01,1.0023270845e+00,2.4476500228e-02,2.4341609329e-02,2.2388439626e-02,2.1115239710e-02,2.2293234244e-02
25,9.9940754175e-01,4.5679272745e-03,-2.6192135534e-04,1.9874280537e-03,2.6782615855e-02,1.3092755803e-03,9.9235898256e-01,1.0035847425e+00,1.0032578707e+00,9.9560940266e-01,1.0022267103e+00,2.8332559392e-02,2.8228173032e-02,2.6268815622e-02,2.4935282767e-02,2.6148248464e-02
26,9.9930706024e-01,4.5667232319e-03,-3.0558650133e-04,1.9871032472e-03,3.1095529720e-02,1.3262351183e-03,9.9226063490e-01,1.0034832954e+00,1.0031565428e+00,9.9550956488e-01,1.0021252632e+00,3.2641459256e-02,3.2570958138e-02,3.0605046079e-02,2.9203804210e-02,3.0456380919e-02
27,9.9920675755e-01,4.5655413258e-03,-3.4917836066e-04,1.9867875200e-03,3.5890431702e-02,1.3453740999e-03,9.9216252565e-01,1.0033822060e+00,1.0030554533e+00,9.9540978670e-01,1.0020238161e+00,3.7431854755e-02,3.7398763001e-02,3.5426013172e-02,3.3949133009e-02,3.5246394575e-02
28,9.9910790920e-01,4.5644080661e-03,-3.9214249835e-04,1.9864902405e-03,4.1195858270e-02,1.3668801201e-03,9.9206560850e-01,1.0032825470e+00,1.0029557943e+00,9.9531167746e-01,1.0019239187e+00,4.2732235044e-02,4.2740214616e-02,4.0760461241e-02,3.9199452847e-02,4.0546927601e-02
