step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,loss_replica_2,loss_replica_3,cosine_similarity_replica_1,cosine_similarity_replica_2,cosine_similarity_replica_3
26,1.6370313565e+00,1.4475443999e-03,2.1405682838e-01,3.8404725018e-04,9.0622377892e-02,4.2682766769e-04,1.6371589899e+00,1.6387369633e+00,1.6351981163e+00,9.0853035450e-02,9.0023964643e-02,9.0990133584e-02
27,1.6266961098e+00,1.4586581589e-03,2.1130625344e-01,3.8946435809e-04,9.2071391642e-02,4.2782281735e-04,1.6268783808e+00,1.6283844709e+00,1.6248254776e+00,9.2298947275e-02,9.1472111642e-02,9.2443116009e-02
28,1.6163884004e+00,1.4706730776e-03,2.0854554539e-01,3.9518599327e-04,9.3523308635e-02,4.2889663902e-04,1.6166237593e+00,1.6180603504e+00,1.6144810915e+00,9.3746423721e-02,9.2923291028e-02,9.3900211155e-02
29,1.6061110497e+00,1.4791059604e-03,2.0577538575e-01,4.0000397825e-04,9.4977999727e-02,4.3035678970e-04,1.6063945293e+00,1.6077641249e+00,1.6041744947e+00,9.5197223127e-02,9.4376690686e-02,9.5360085368e-02
30,1.5958644549e+00,1.4838904866e-03,2.0299581390e-01,4.0388250721e-04,9.6434799333e-02,4.3183534958e-04,1.5961920023e+00,1.5974957943e+00,1.5939055681e+00,9.6650898457e-02,9.5832079649e-02,9.6821419895e-02
31,1.5856510798e+00,1.4886552336e-03,2.0020743620e-01,4.0779670802e-04,9.7893233101e-02,4.3317745621e-04,1.5860201120e+00,1.5872615576e+00,1.5836715698e+00,9.8106488585e-02,9.7289256752e-02,9.8283953965e-02
32,1.5754726330e+00,1.4934707213e-03,1.9741066843e-01,4.1176641436e-04,9.9353291094e-02,4.3458805130e-04,1.5758829117e+00,1.5770617723e+00,1.5734732151e+00,9.9564507604e-02,9.8747842014e-02,9.9747523665e-02
33,1.5653307835e+00,1.4987922061e-03,1.9460592695e-01,4.1591851150e-04,1.0081389050e-01,4.3557567193e-04,1.5657832623e+00,1.5668978691e+00,1.5633112192e+00,1.0102204978e-01,1.0020772368e-01,1.0121189803e-01
34,1.5552254915e+00,1.5039999690e-03,1.9179316297e-01,4.2008293521e-04,1.0227529208e-01,4.3649640813e-04,1.5557197332e+00,1.5567699671e+00,1.5531867743e+00,1.0247914493e-01,1.0166876018e-01,1.0267797112e-01
35,1.5451612473e+00,1.5081354029e-03,1.8897360054e-01,4.2398857949e-04,1.0373746604e-01,4.3743285185e-04,1.5456949472e+00,1.5466827154e+00,1.5431060791e+00,1.0393632203e-01,1.0313072801e-01,1.0414534807e-01
36,1.5351400375e+00,1.5117362979e-03,1.8614778790e-01,4.2778133639e-04,1.0520025094e-01,4.3853074052e-04,1.5357086658e+00,1.5366405249e+00,1.5330709219e+00,1.0539503396e-01,1.0459294915e-01,1.0561276972e-01
37,1.5251612266e+00,1.5131992104e-03,1.8331554206e-01,4.3100279579e-04,1.0666246464e-01,4.3962633751e-04,1.5257647038e+00,1.5266375542e+00,1.5230814219e+00,1.0685301572e-01,1.0605467111e-01,1.0707970709e-01
38,1.5152251720e+00,1.5159421438e-03,1.8047695911e-01,4.3462179728e-04,1.0812414438e-01,4.4104279741e-04,1.5158673525e+00,1.5166754723e+00,1.5131326914e+00,1.0831091553e-01,1.0751537979e-01,1.0854613781e-01
39,1.5053362449e+00,1.5191139770e-03,1.7763329730e-01,4.3839819188e-04,1.0958526035e-01,4.4256058422e-04,1.5060155392e+00,1.5067616701e+00,1.5032315254e+00,1.0976793617e-01,1.0897549987e-01,1.1001234502e-01
40,1.4954925378e+00,1.5216791493e-03,1.7478402543e-01,4.4203452522e-04,1.1104534815e-01,4.4366434574e-04,1.4962077141e+00,1.4968926907e+00,1.4933772087e+00,1.1122309417e-01,1.1043535918e-01,1.1147759110e-01
41,1.4856956402e+00,1.5237627913e-03,1.7192962041e-01,4.4556422839e-04,1.1250385642e-01,4.4395619305e-04,1.4864492416e+00,1.4870672226e+00,1.4835704565e+00,1.1267628521e-01,1.1189481616e-01,1.1294046789e-01
42,1.4759471416e+00,1.5251933112e-03,1.6907057232e-01,4.4893353803e-04,1.1396213124e-01,4.4429342265e-04,1.4767398834e+00,1.4772880077e+00,1.4738135338e+00,1.1412858963e-01,1.1335419863e-01,1.1440360546e-01
