lambda	t	m_w	m_x	m_y
0.5	74	1.923360869472209e-37	1.923360869472209e-37	3.699317034216892e-74
0.5	75	6.15475478231107e-38	6.15475478231107e-38	3.788100643038099e-75
0.5	76	1.9695215303395426e-38	1.9695215303395426e-38	3.8790150584710137e-76
0.5	77	6.302468897086535e-39	6.302468897086535e-39	3.972111419874317e-77
0.5	78	2.016790047067692e-39	2.016790047067692e-39	4.067442093951303e-78
0.5	79	6.453728150616615e-40	6.453728150616615e-40	4.1650607042061356e-79
0.5	80	2.0651930081973174e-40	2.0651930081973174e-40	4.265022161107085e-80
0.5	81	6.608617626231417e-41	6.608617626231417e-41	4.367382692973657e-81
0.5	82	2.1147576403940537e-41	2.1147576403940537e-41	4.472199877605026e-82
0.5	83	6.767224449260974e-42	6.767224449260974e-42	4.579532674667549e-83
0.5	84	2.1655118237635118e-42	2.1655118237635118e-42	4.689441458859571e-84
0.5	85	6.929637836043239e-43	6.929637836043239e-43	4.8019880538722026e-85
0.5	86	2.2174841075338365e-43	2.2174841075338365e-43	4.9172357671651355e-86
0.5	87	7.095949144108277e-44	7.095949144108277e-44	5.0352494255771e-87
0.5	88	2.2707037261146485e-44	2.2707037261146485e-44	5.156095411790949e-88
0.5	89	7.266251923566875e-45	7.266251923566875e-45	5.279841701673931e-89
0.5	90	2.3252006155414002e-45	2.3252006155414002e-45	5.406557902514107e-90
0.5	91	7.440641969732482e-46	7.440641969732482e-46	5.536315292174446e-91
0.5	92	2.3810054303143938e-46	2.3810054303143938e-46	5.669186859186631e-92
0.5	93	7.61921737700606e-47	7.61921737700606e-47	5.8052473438071095e-93
0.5	94	2.4381495606419397e-47	2.4381495606419397e-47	5.944573280058483e-94
0.5	95	7.802078594054206e-48	7.802078594054206e-48	6.087243038779886e-95
0.5	96	2.496665150097346e-48	2.496665150097346e-48	6.233336871710604e-96
0.5	97	7.989328480311507e-49	7.989328480311507e-49	6.382936956631658e-97
0.5	98	2.5565851136996825e-49	2.5565851136996825e-49	6.536127443590819e-98
0.5	99	8.181072363838983e-50	8.181072363838983e-50	6.6929945022369965e-99
0.5	100	2.617943156428475e-50	2.617943156428475e-50	6.853626370290687e-100
0.5	101	8.377418100571121e-51	8.377418100571121e-51	7.018113403177665e-101
0.5	102	2.680773792182758e-51	2.680773792182758e-51	7.186548124853927e-102
0.5	103	8.578476134984828e-52	8.578476134984828e-52	7.359025279850423e-103
0.5	104	2.7451123631951455e-52	2.7451123631951455e-52	7.535641886566836e-104
0.5	105	8.784359562224468e-53	8.784359562224468e-53	7.716497291844444e-105
0.5	106	2.81099505991183e-53	2.81099505991183e-53	7.901693226848712e-106
0.5	107	8.995184191717858e-54	8.995184191717858e-54	8.091333864293086e-107
0.5	108	2.878458941349714e-54	2.878458941349714e-54	8.285525877036118e-108
0.5	109	9.211068612319086e-55	9.211068612319086e-55	8.484378498084985e-109
0.5	110	2.9475419559421085e-55	2.9475419559421085e-55	8.688003582039031e-110
0.5	111	9.432134259014747e-56	9.432134259014747e-56	8.896515668007966e-111
0.5	112	3.0182829628847196e-56	3.0182829628847196e-56	9.110032044040161e-112
0.5	113	9.658505481231104e-57	9.658505481231104e-57	9.328672813097128e-113
0.5	114	3.090721753993953e-57	3.090721753993953e-57	9.552560960611459e-114
0.5	115	9.89030961278065e-58	9.89030961278065e-58	9.781822423666133e-115
0.5	116	3.164899076089808e-58	3.164899076089808e-58	1.0016586161834119e-115
0.5	117	1.0127677043487386e-58	1.0127677043487386e-58	1.0256984229718139e-116
0.5	118	3.240856653915963e-59	3.240856653915963e-59	1.0503151851231372e-117
0.5	119	1.0370741292531083e-59	1.0370741292531083e-59	1.0755227495660928e-118
0.5	120	3.318637213609947e-60	3.318637213609947e-60	1.1013352955556793e-119
0.5	121	1.0619639083551832e-60	1.0619639083551832e-60	1.1277673426490158e-120
0.5	122	3.3982845067365876e-61	3.3982845067365876e-61	1.1548337588725931e-121
0.5	123	1.087451042155708e-61	1.087451042155708e-61	1.1825497690855355e-122
0.5	124	3.479843334898266e-62	3.479843334898266e-62	1.2109309635435885e-123
0.5	125	1.1135498671674451e-62	1.1135498671674451e-62	1.2399933066686347e-124
0.5	126	3.563359574935825e-63	3.563359574935825e-63	1.2697531460286822e-125
0.5	127	1.140275063979464e-63	1.140275063979464e-63	1.3002272215333707e-126
0.5	128	3.648880204734286e-64	3.648880204734286e-64	1.3314326748501727e-127
0.5	129	1.1676416655149718e-64	1.1676416655149718e-64	1.3633870590465773e-128
0.5	130	3.73645332964791e-65	3.73645332964791e-65	1.3961083484636952e-129
0.5	131	1.1956650654873314e-65	1.1956650654873314e-65	1.4296149488268244e-130
0.5	132	3.826128209559461e-66	3.826128209559461e-66	1.4639257075986684e-131
0.5	133	1.2243610270590274e-66	1.2243610270590274e-66	1.4990599245810365e-132
0.5	134	3.917955286588888e-67	3.917955286588888e-67	1.5350373627709814e-133
0.5	135	1.2537456917084445e-67	1.2537456917084445e-67	1.571878259477486e-134
0.5	136	4.011986213467022e-68	4.011986213467022e-68	1.6096033377049454e-135
0.5	137	1.2838355883094471e-68	1.2838355883094471e-68	1.6482338178098642e-136
0.5	138	4.1082738825902315e-69	4.1082738825902315e-69	1.6877914294373014e-137
0.5	139	1.3146476424288745e-69	1.3146476424288745e-69	1.728298423743798e-138
0.5	140	4.2068724557723996e-70	4.2068724557723996e-70	1.7697775859136502e-139
0.5	141	1.346199185847168e-70	1.346199185847168e-70	1.812252247975578e-140
0.5	142	4.307837394710938e-71	4.307837394710938e-71	1.8557463019269922e-141
0.5	143	1.3785079663075004e-71	1.3785079663075004e-71	1.9002842131732404e-142
0.5	144	4.4112254921840023e-72	4.4112254921840023e-72	1.9458910342893992e-143
0.5	145	1.411592157498881e-72	1.411592157498881e-72	1.9925924191123454e-144
0.5	146	4.5170949039964193e-73	4.5170949039964193e-73	2.0404146371710422e-145
0.5	147	1.4454703692788545e-73	1.4454703692788545e-73	2.089384588463148e-146
0.5	148	4.625505181692335e-74	4.625505181692335e-74	2.1395298185862642e-147
0.5	149	1.4801616581415472e-74	1.4801616581415472e-74	2.1908785342323345e-148
0.5	150	4.736517306052952e-75	4.736517306052952e-75	2.243459619053911e-149
0.5	151	1.5156855379369448e-75	1.5156855379369448e-75	2.2973026499112056e-150
0.5	152	4.8501937213982237e-76	4.8501937213982237e-76	2.352437913509075e-151
0.5	153	1.552061990847432e-76	1.552061990847432e-76	2.4088964234332945e-152
0.5	154	4.9665983707117825e-77	4.9665983707117825e-77	2.4667099375956934e-153
0.5	155	1.5893114786277707e-77	1.5893114786277707e-77	2.525910976097991e-154
0.5	156	5.085796731608868e-78	5.085796731608868e-78	2.5865328395243446e-155
0.5	157	1.6274549541148378e-78	1.6274549541148378e-78	2.6486096276729285e-156
0.5	158	5.2078558531674817e-79	5.2078558531674817e-79	2.7121762587370797e-157
0.5	159	1.6665138730135948e-79	1.6665138730135948e-79	2.777268488946772e-158
0.5	160	5.332844393643503e-80	5.332844393643503e-80	2.843922932681494e-159
0.5	161	1.706510205965921e-80	1.706510205965921e-80	2.91217708306585e-160
0.5	162	5.460832659090948e-81	5.460832659090948e-81	2.9820693330594315e-161
0.5	163	1.7474664509091037e-81	1.7474664509091037e-81	3.053638997052859e-162
0.5	164	5.591892642909132e-82	5.591892642909132e-82	3.126926332982127e-163
0.5	165	1.7894056457309224e-82	1.7894056457309224e-82	3.201972564973699e-164
0.5	166	5.7260980663389524e-83	5.7260980663389524e-83	3.278819906533069e-165
0.5	167	1.8323513812284652e-83	1.8323513812284652e-83	3.357511584289864e-166
0.5	168	5.863524419931091e-84	5.863524419931091e-84	3.438091862312824e-167
0.5	169	1.8763278143779492e-84	1.8763278143779492e-84	3.520606067008332e-168
0.5	170	6.004249006009437e-85	6.004249006009437e-85	3.6051006126165313e-169
0.5	171	1.92135968192302e-85	1.92135968192302e-85	3.691623027319328e-170
0.5	172	6.1483509821536635e-86	6.1483509821536635e-86	3.780221979974992e-171
0.5	173	1.967472314289173e-86	1.967472314289173e-86	3.870947307494394e-172
0.5	174	6.295911405725355e-87	6.295911405725355e-87	3.9638500428742615e-173
0.5	175	2.0146916498321144e-87	2.0146916498321144e-87	4.058982443903247e-174
0.5	176	6.447013279462767e-88	6.447013279462767e-88	4.156398022556926e-175
0.5	177	2.063044249428086e-88	2.063044249428086e-88	4.2561515750982946e-176
