replica,seed,runtime_sec,final_loss,estimated_convergence_step,qy
1,42,111.1909,2.2367418289e+06,,9.8605734110e-01
2,1042,110.4647,2.2982955933e+06,,9.8837614059e-01
3,2042,111.3435,2.4399774551e+06,,1.0003510714e+00
