step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,qy_mean,qy_std,loss_replica_1,loss_replica_2,loss_replica_3,qy_replica_1,qy_replica_2,qy_replica_3
1,3.9828077157e+05,9.2145810820e+02,5.6001881768e+00,1.0052276926e-03,2.7535327778e-04,6.5926305588e-04,3.9852824211e+05,3.9704902172e+05,3.9926505089e+05,5.9285077441e-05,1.1688347440e-03,-4.0205998812e-04
2,3.9828239282e+05,9.2151544593e+02,5.6001899445e+00,1.0052861521e-03,2.7551970440e-04,6.5932583683e-04,3.9852986336e+05,3.9705057144e+05,3.9926674366e+05,5.9425565269e-05,1.1690878309e-03,-4.0195428301e-04
3,3.9828272661e+05,9.2152184919e+02,5.6001903084e+00,1.0052923721e-03,2.7657775475e-04,6.5944460639e-04,3.9853024483e+05,3.9705088139e+05,3.9926705360e+05,6.0440037487e-05,1.1703082127e-03,-4.0101498598e-04
4,3.9827671846e+05,9.2152190019e+02,5.6001837570e+00,1.0053077155e-03,2.7980212568e-04,6.5960518782e-04,3.9852430820e+05,3.9704484940e+05,3.9926099777e+05,6.3618746935e-05,1.1737481691e-03,-3.9796053898e-04
5,3.9825712840e+05,9.2148592377e+02,5.6001623947e+00,1.0053181942e-03,2.8702214574e-04,6.5979033945e-04,3.9850487709e+05,3.9702525139e+05,3.9924125671e+05,7.0812166086e-05,1.1812091107e-03,-3.9095483953e-04
6,3.9821449121e+05,9.2135013066e+02,5.6001158970e+00,1.0052779184e-03,3.0063197725e-04,6.5997540869e-04,3.9846236706e+05,3.9698274136e+05,3.9919836521e+05,8.4442617663e-05,1.1950458866e-03,-3.7759257248e-04
7,3.9813716412e+05,9.2106162041e+02,5.6000315558e+00,1.0051588221e-03,3.2360261927e-04,6.6013060071e-04,3.9838531017e+05,3.9690568447e+05,3.9912049770e+05,1.0751531227e-04,1.2181819184e-03,-3.5488937283e-04
8,3.9801119169e+05,9.2053548405e+02,5.5998941219e+00,1.0049032820e-03,3.5949481632e-04,6.6021940677e-04,3.9825968742e+05,3.9678025246e+05,3.9899363518e+05,1.4363550872e-04,1.2541188626e-03,-3.1926992233e-04
9,3.9782036146e+05,9.1978462105e+02,5.5996858462e+00,1.0045661571e-03,4.1248132281e-04,6.6020038855e-04,3.9806931019e+05,3.9659020901e+05,3.9880156517e+05,1.9702257123e-04,1.3069635024e-03,-2.6654210524e-04
10,3.9754618009e+05,9.1858843358e+02,5.5993864247e+00,1.0039527731e-03,4.8736593938e-04,6.6002584939e-04,3.9779567719e+05,3.9631733894e+05,3.9852552414e+05,2.7253918233e-04,1.3814420672e-03,-1.9188343140e-04
11,3.9716788928e+05,9.1697522633e+02,5.5989729707e+00,1.0031458027e-03,5.8960824390e-04,6.5964059062e-04,3.9741816521e+05,3.9594080448e+05,3.9814469814e+05,3.7570946733e-04,1.4829252614e-03,-8.9809997007e-05
12,3.9666229089e+05,9.1471601553e+02,5.5984197603e+00,1.0019516221e-03,7.2535791332e-04,6.5898510807e-04,3.9691343307e+05,3.9543774128e+05,3.9763569832e+05,5.1275623264e-04,1.6174656339e-03,4.5851873438e-05
13,3.9600385825e+05,9.1180812059e+02,5.5976982653e+00,1.0004294565e-03,9.0148669551e-04,6.5799147207e-04,3.9625613689e+05,3.9478256702e+05,3.9697287083e+05,6.9063436240e-04,1.7918237718e-03,2.2200195235e-04
14,3.9516467253e+05,9.0800451973e+02,5.5967769648e+00,9.9837473626e-04,1.1256265958e-03,6.5658502888e-04,3.9541828632e+05,3.9394769669e+05,3.9612803459e+05,9.1706641251e-04,2.0135091618e-03,4.4630421326e-04
15,3.9411439896e+05,9.0327400444e+02,5.5956211607e+00,9.9582365418e-04,1.4062232027e-03,6.5468507821e-04,3.9436964989e+05,3.9290280342e+05,3.9507074356e+05,1.2006000616e-03,2.2908328101e-03,7.2723673657e-04
16,3.9282029470e+05,8.9733743376e+02,5.5941927833e+00,9.9254204527e-04,1.7525828443e-03,6.5220424922e-04,3.9307744503e+05,3.9161550999e+05,3.9376792908e+05,1.5506534837e-03,2.6329536922e-03,1.0741413571e-03
17,3.9124724070e+05,8.9017454061e+02,5.5924501629e+00,9.8858290841e-04,2.1749372827e-03,6.4904773686e-04,3.9150664806e+05,3.9005069733e+05,3.9218437672e+05,1.9775812980e-03,3.0499415006e-03,1.4972890494e-03
18,3.8935777346e+05,8.8147816652e+02,5.5903477361e+00,9.8368141545e-04,2.6845131846e-03,6.4511318291e-04,3.8961980343e+05,3.8817129135e+05,3.9028222561e+05,2.4927468039e-03,3.5528442822e-03,2.0079484675e-03
19,3.8711199760e+05,8.7114847246e+02,5.5878355311e+00,9.7780059803e-04,3.2936118854e-03,6.4029245601e-04,3.8737711906e+05,3.8593750000e+05,3.8802137375e+05,3.1085996889e-03,4.1537699290e-03,2.6184660383e-03
20,3.8446784814e+05,8.5893860112e+02,5.5848589424e+00,9.7073392430e-04,4.0157023662e-03,6.3446964605e-04,3.8473639488e+05,3.8330762386e+05,3.8535952568e+05,3.8387719542e-03,4.8659741879e-03,3.3423609566e-03
21,3.8138106664e+05,8.4461919924e+02,5.5813580633e+00,9.6228519857e-04,4.8655217203e-03,6.2752361137e-04,3.8165357113e+05,3.8023765087e+05,3.8225197792e+05,4.6981805936e-03,5.7039614767e-03,4.1944230907e-03
22,3.7780548731e+05,8.2800104414e+02,5.5772672177e+00,9.5228945692e-04,5.8591971174e-03,6.1932998740e-04,3.7808246613e+05,3.7668168545e+05,3.7865231037e+05,5.7031461038e-03,6.6836075857e-03,5.1908376627e-03
23,3.7369305293e+05,8.0890446583e+02,5.5725140061e+00,9.4057487736e-04,7.0143740935e-03,6.0976264783e-04,3.7397496700e+05,3.7259194851e+05,3.7451224327e+05,6.8715275265e-03,7.8222835436e-03,6.3493112102e-03
24,3.6899441878e+05,7.8706084216e+02,5.5670188086e+00,9.2684045590e-04,8.3503740219e-03,5.9869669681e-04,3.6928186417e+05,3.6791944504e+05,3.6978194714e+05,8.2228835672e-03,9.1390097514e-03,7.6892287470e-03
25,3.6365919908e+05,7.6229554097e+02,5.5606936231e+00,9.1085866586e-04,9.8883438235e-03,5.8601669532e-04,3.6395275593e+05,3.6261408329e+05,3.6441075802e+05,9.7786169499e-03,1.0654609650e-02,9.2318048701e-03
26,3.5763663451e+05,7.3443273137e+02,5.5534410829e+00,8.9235605115e-04,1.1651453873e-02,5.7161896477e-04,3.5793681145e+05,3.5662543774e+05,3.5834765434e+05,1.1562182568e-02,1.2391895056e-02,1.1000283994e-02
27,3.5087631543e+05,7.0328709509e+02,5.5451531808e+00,8.7098905673e-04,1.3665086279e-02,5.5543081944e-04,3.5118360519e+05,3.4990346432e+05,3.5154187679e+05,1.3599280268e-02,1.4375858940e-02,1.3020119630e-02
28,3.4332939784e+05,6.6879520081e+02,5.5357101672e+00,8.4649002914e-04,1.5957061512e-02,5.3743374317e-04,3.4364430904e+05,3.4239957333e+05,3.4394431114e+05,1.5918083489e-02,1.6633903608e-02,1.5319197439e-02
29,3.3494981925e+05,6.3094131738e+02,5.5249789766e+00,8.1856552942e-04,1.8557861447e-02,5.1767985094e-04,3.3527278900e+05,3.3406798840e+05,3.3550868034e+05,1.8549447879e-02,1.9196052104e-02,1.7928084359e-02
30,3.2569644451e+05,5.8978746197e+02,5.5128123049e+00,7.8691738295e-04,2.1500837058e-02,4.9634616188e-04,3.2602784634e+05,3.2486786842e+05,3.2619361877e+05,2.1527124569e-02,2.2095164284e-02,2.0880222321e-02
31,3.1553499699e+05,5.4558005116e+02,5.4990468855e+00,7.5137365186e-04,2.4822474768e-02,4.7379064249e-04,3.1587510109e+05,3.1476516724e+05,3.1596472263e+05,2.4888049811e-02,2.5367174298e-02,2.4212200195e-02
32,3.0444135666e+05,4.9887637946e+02,5.4835030650e+00,7.1207490864e-04,2.8562607244e-02,4.5066510277e-04,3.0479035378e+05,3.0373585224e+05,3.0479786396e+05,2.8672544286e-02,2.9051315039e-02,2.7963962406e-02
33,2.9240550200e+05,4.5055683856e+02,5.4659850243e+00,6.6954503082e-04,3.2764565200e-02,4.2809189403e-04,2.9276337624e+05,2.9177000523e+05,2.9268312454e+05,3.2924488187e-02,3.3190283924e-02,3.2178923488e-02
34,2.7943607171e+05,4.0210151693e+02,5.4462820175e+00,6.2521392602e-04,3.7475255628e-02,4.0784323742e-04,2.7980248928e+05,2.7887625694e+05,2.7962946892e+05,3.7691384554e-02,3.7830300629e-02,3.6904081702e-02
35,2.6556646029e+05,3.5608692190e+02,5.4241728344e+00,5.8249003964e-04,4.2745165527e-02,3.9259482451e-04,2.6594071388e+05,2.6508753300e+05,2.6567113400e+05,4.3024379760e-02,4.3021161109e-02,4.2189955711e-02
36,2.5086146990e+05,3.1628049905e+02,5.3994336175e+00,5.4756937482e-04,4.8628142724e-02,3.8592900036e-04,2.5124251842e+05,2.5046808720e+05,2.5087380409e+05,4.8978004605e-02,4.8815991729e-02,4.8090431839e-02
37,2.3542530537e+05,2.8784110454e+02,5.3718528179e+00,5.3085621497e-04,5.5180930843e-02,3.9200247329e-04,2.3581163883e+05,2.3512105942e+05,2.3534321785e+05,5.5609706789e-02,5.5270865560e-02,5.4662220180e-02
38,2.1940997442e+05,2.7583634247e+02,5.3412560238e+00,5.4574433571e-04,6.2462419271e-02,4.1460334012e-04,2.1979949474e+05,2.1919693947e+05,2.1923348904e+05,6.2979146838e-02,6.2444031239e-02,6.1964079738e-02
39,2.0302290122e+05,2.8212647169e+02,5.3075446105e+00,6.0327105685e-04,7.0532485843e-02,4.5603231642e-04,2.0341281891e+05,2.0290119648e+05,2.0275468826e+05,7.1146950126e-02,7.0394881070e-02,7.0055626333e-02
40,1.8653383652e+05,3.0341797362e+02,5.2707570482e+00,7.0633741582e-04,7.9450289408e-02,5.1672377701e-04,1.8692065477e+05,1.8650127649e+05,1.8617957830e+05,8.0173082650e-02,7.9182073474e-02,7.8995712101e-02
41,1.7027750413e+05,3.3291608114e+02,5.2311564455e+00,8.4929725125e-04,8.9272126555e-02,5.9574202767e-04,1.7065702677e+05,1.7032903433e+05,1.6984645128e+05,9.0114541352e-02,8.8861681521e-02,8.8840156794e-02
42,1.5465087891e+05,3.6333845612e+02,5.1893511930e+00,1.0209179178e-03,1.0004856189e-01,6.9159520827e-04,1.5501828194e+05,1.5477827787e+05,1.5415607691e+05,1.0102254897e-01,9.9484317005e-02,9.9638819695e-02
43,1.4010154009e+05,3.8878725615e+02,5.1464412352e+00,1.2062251367e-03,1.1182139814e-01,8.0254621821e-04,1.4045201540e+05,1.4029319286e+05,1.3955941200e+05,1.1293920130e-01,1.1109218001e-01,1.1143281311e-01
44,1.2710519234e+05,4.0480912544e+02,5.1041610864e+00,1.3846657572e-03,1.2462059657e-01,9.2677772050e-04,1.2743439674e+05,1.2734620571e+05,1.2653497458e+05,1.2589432299e-01,1.2371616811e-01,1.2425129861e-01
45,1.1613260905e+05,4.0859791129e+02,5.0649514905e+00,1.5299117564e-03,1.3846165438e-01,1.0622737624e-03,1.1643738747e+05,1.1640537977e+05,1.1555505991e+05,1.3990257680e-01,1.3737316430e-01,1.3810922205e-01
46,1.0760857662e+05,3.9872346732e+02,5.0318439003e+00,1.6113157892e-03,1.5334336460e-01,1.2067649199e-03,1.0788729191e+05,1.0789372921e+05,1.0704470873e+05,1.5496121347e-01,1.5206396580e-01,1.5300491452e-01
