step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,mse_mean,mse_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,loss_replica_2,loss_replica_3,mse_replica_1,mse_replica_2,mse_replica_3,cosine_similarity_replica_1,cosine_similarity_replica_2,cosine_similarity_replica_3
0,8.0763580729e+04,1.4689900809e-01,4.9072155656e+00,7.8992810729e-07,1.0095447699e+00,1.8527576489e-06,-8.0198719030e-03,8.9955920155e-03,8.0763406250e+04,8.0763570312e+04,8.0763765625e+04,1.0095425844e+00,1.0095446110e+00,1.0095471144e+00,-3.1363202725e-03,-2.8843749897e-04,-2.0634857938e-02
5,5.7150563802e+04,1.9569517118e+03,4.7567690602e+00,1.4732457191e-02,7.1438203255e-01,2.4461915796e-02,2.2387308379e-01,1.9005249482e-02,5.5311164062e+04,5.6279468750e+04,5.9861058594e+04,6.9138950109e-01,7.0349335670e-01,7.4826323986e-01,2.3574078083e-01,2.3882386088e-01,1.9705460966e-01
10,3.0210188802e+04,1.4679427816e+03,4.4796437998e+00,2.1007965263e-02,3.7762736281e-01,1.8349279512e-02,3.4108617902e-01,2.0984911331e-02,2.8542843750e+04,2.9972761719e+04,3.2114960938e+04,3.5678556561e-01,3.7465950847e-01,4.0143701434e-01,3.5915493965e-01,3.5244026780e-01,3.1166332960e-01
15,2.0666788411e+04,1.1107019635e+03,4.3146441754e+00,2.3385669765e-02,2.5833484530e-01,1.3883763393e-02,4.0604549646e-01,2.4699734379e-02,1.9302234375e+04,2.0675283203e+04,2.2022847656e+04,2.4127793312e-01,2.5844103098e-01,2.7528557181e-01,4.2993280292e-01,4.1617360711e-01,3.7203007936e-01
20,1.5609911133e+04,9.3760273837e+02,4.1926081697e+00,2.6305917772e-02,1.9512389104e-01,1.1720039772e-02,4.4839750727e-01,2.4718568012e-02,1.4400040039e+04,1.5744945312e+04,1.6684748047e+04,1.8000049889e-01,1.9681181014e-01,2.0855936408e-01,4.7454684973e-01,4.5541438460e-01,4.1523128748e-01
25,1.2517722331e+04,8.7034513464e+02,4.0964587921e+00,3.0556133295e-02,1.5647153060e-01,1.0879315793e-02,4.8048604528e-01,2.7699476153e-02,1.1382126953e+04,1.2674340820e+04,1.3496699219e+04,1.4227658510e-01,1.5842926502e-01,1.6870874166e-01,5.0983822346e-01,4.8827612400e-01,4.4334378839e-01
30,1.0444873047e+04,7.6593782543e+02,4.0177142200e+00,3.2279456358e-02,1.3056091716e-01,9.5742226188e-03,5.0473397970e-01,2.8407758156e-02,9.4407382812e+03,1.0595122070e+04,1.1298758789e+04,1.1800923198e-01,1.3243903220e-01,1.4123448730e-01,5.3512263298e-01,5.1229703426e-01,4.6678227186e-01
35,8.9058557943e+03,6.9522025008e+02,3.9483236060e+00,3.4451912171e-02,1.1132320017e-01,8.6902560894e-03,5.2541167537e-01,2.9998637326e-02,7.9869335938e+03,9.0625244141e+03,9.6681093750e+03,9.9836669862e-02,1.1328155547e-01,1.2085137516e-01,5.5683696270e-01,5.3438133001e-01,4.8501673341e-01
40,7.7465270182e+03,6.3447612716e+02,3.8876242177e+00,3.6046646731e-02,9.6831584970e-02,7.9309490626e-03,5.4101521770e-01,3.1073763714e-02,6.9241650391e+03,7.8468535156e+03,8.4685625000e+03,8.6552061141e-02,9.8085671663e-02,1.0585702211e-01,5.7231783867e-01,5.5207490921e-01,4.9865290523e-01
45,6.8433927409e+03,5.6188048385e+02,3.8337736402e+00,3.6274192013e-02,8.5542408129e-02,7.0235070878e-03,5.5449408293e-01,3.2324635774e-02,6.1005742188e+03,6.9704047852e+03,7.4591992188e+03,7.6257176697e-02,8.7130054832e-02,9.3239992857e-02,5.8551269770e-01,5.6806582212e-01,5.0990372896e-01
