step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,qy_mean,qy_std,loss_replica_1,loss_replica_2,loss_replica_3,loss_replica_4,loss_replica_5,qy_replica_1,qy_replica_2,qy_replica_3,qy_replica_4,qy_replica_5
1,1.9924712181e+00,5.6638000449e-03,2.9939030235e-01,1.2343162759e-03,1.3300812061e-04,7.4478783478e-04,1.9926410913e+00,1.9852449894e+00,1.9963254929e+00,1.9874328375e+00,2.0007116795e+00,5.9285001043e-05,1.1688348604e-03,-4.0205998812e-04,-8.9220382506e-04,7.3118455475e-04
2,1.9924677610e+00,5.6637003016e-03,2.9938954888e-01,1.2342966666e-03,1.3340343939e-04,7.4478858739e-04,1.9926373959e+00,1.9852415323e+00,1.9963220358e+00,1.9874297380e+00,2.0007081032e+00,5.9685389715e-05,1.1692272965e-03,-4.0166563122e-04,-8.9181243675e-04,7.3158257874e-04
3,1.9924447298e+00,5.6635942482e-03,2.9938452880e-01,1.2342878016e-03,1.3577815698e-04,7.4478808612e-04,1.9926145077e+00,1.9852187634e+00,1.9962987900e+00,1.9874066114e+00,2.0006849766e+00,6.2089144194e-05,1.1715722503e-03,-3.9928717888e-04,-8.8945921743e-04,7.3397578672e-04
4,1.9923741579e+00,5.6632486302e-03,2.9936914602e-01,1.2342559556e-03,1.4290214312e-04,7.4478342889e-04,1.9925435781e+00,1.9851489067e+00,1.9962275028e+00,1.9873363972e+00,2.0006144047e+00,6.9303532655e-05,1.1785967508e-03,-3.9214506978e-04,-8.8240142213e-04,7.4115692405e-04
5,1.9922164440e+00,5.6622728400e-03,2.9933476676e-01,1.2341407227e-03,1.5872709628e-04,7.4477022310e-04,1.9923856258e+00,1.9849928617e+00,1.9960684776e+00,1.9871793985e+00,2.0004558563e+00,8.5328400019e-05,1.1941929115e-03,-3.7627405254e-04,-8.6672266480e-04,7.5711088721e-04
6,1.9919196367e+00,5.6604707512e-03,2.9927005985e-01,1.2339311027e-03,1.8836963282e-04,7.4474324056e-04,1.9920880795e+00,1.9846994877e+00,1.9957690239e+00,1.9868837595e+00,2.0001578331e+00,1.1534824444e-04,1.2233972084e-03,-3.4653875628e-04,-8.3735689986e-04,7.8699836740e-04
7,1.9914208412e+00,5.6573838815e-03,2.9916129582e-01,1.2335660111e-03,2.3809793638e-04,7.4469497010e-04,1.9915881157e+00,1.9842061996e+00,1.9952656031e+00,1.9863873720e+00,1.9996569157e+00,1.6570993466e-04,1.2723822147e-03,-2.9665039619e-04,-7.8809080878e-04,8.3713873755e-04
8,1.9906458855e+00,5.6526683037e-03,2.9899226003e-01,1.2330159728e-03,3.1530536944e-04,7.4461840485e-04,1.9908111095e+00,1.9834400415e+00,1.9944841862e+00,1.9856156111e+00,1.9988784790e+00,2.4390233739e-04,1.3484271476e-03,-2.1918812126e-04,-7.1160297375e-04,9.1498845723e-04
9,1.9895091295e+00,5.6458790231e-03,2.9874418806e-01,1.2322361971e-03,4.2848407757e-04,7.4450463992e-04,1.9896713495e+00,1.9823158979e+00,1.9933376312e+00,1.9844837189e+00,1.9977370501e+00,3.5852781730e-04,1.4598930720e-03,-1.0563101387e-04,-5.9947883710e-04,1.0291093495e-03
10,1.9879153252e+00,5.6362712933e-03,2.9839613660e-01,1.2311220365e-03,5.8719172885e-04,7.4434629313e-04,1.9880734682e+00,1.9807399511e+00,1.9917299747e+00,1.9828966856e+00,1.9961365461e+00,5.1926565357e-04,1.6161907697e-03,5.3611405747e-05,-4.4225095189e-04,1.1891417671e-03
11,1.9857593298e+00,5.6234091229e-03,2.9792487071e-01,1.2296414859e-03,8.0201156670e-04,7.4413477218e-04,1.9859118462e+00,1.9786077738e+00,1.9895554781e+00,1.9807499647e+00,1.9939715862e+00,7.3683710070e-04,1.8277362688e-03,2.6915990748e-04,-2.2943480872e-04,1.4057593653e-03
12,1.9829267025e+00,5.6062663327e-03,2.9730492579e-01,1.2276378988e-03,1.0845126970e-03,7.4386528307e-04,1.9830719233e+00,1.9758071899e+00,1.9866982698e+00,1.9779292345e+00,1.9911268950e+00,1.0229616892e-03,2.1059210412e-03,5.5262271781e-04,5.0428632676e-05,1.6906294040e-03
