replica,seed,runtime_sec,final_loss,estimated_convergence_step,cosine_similarity
1,100,190.8287,2.8123412631e-04,844,9.9990075827e-01
2,101,191.2769,2.6159008848e-04,853,9.9990093708e-01
3,102,190.5722,2.5602945243e-04,850,9.9990165234e-01
