alpha,m_W_mean,m_W_std,m_X_mean,m_X_std,m_Y_mean,m_Y_std,q_W_mean,q_W_std,q_X_mean,q_X_std,q_Y_mean,q_Y_std,Loss_mean,Loss_std,Steps_mean
1.0,-0.014519642098457552,0.013038693506930269,-0.011978384258691221,0.011043481598751041,0.012467911373823881,0.002201271053930948,0.0021808833116665483,0.01083556547474258,0.0038156102993525563,0.010813861785192695,0.010446435865014791,0.0014981179050884963,3.380667079611044e-07,1.5794103313405788e-07,586.0
1.01,-0.01451964580337517,0.01303869352632175,-0.011978381290100515,0.01104347877552427,0.012467911653220653,0.0022012708307557975,0.0021808820543810724,0.010835568622823692,0.0038156083202920852,0.010813861433027212,0.010446436982601882,0.0014981190313126283,3.381573185023967e-07,1.5800077970674145e-07,586.0
1.02,-0.01451964394073002,0.013038695760536454,-0.011978380545042456,0.011043478589839919,0.012467911001294851,0.002201270206997347,0.0021808831952512264,0.01083556758829121,0.0038156061316840352,0.010813857445509462,0.010446435865014791,0.0014981181472332253,3.3805381942642044e-07,1.5749723196501136e-07,586.0
1.03,-0.014519644377287477,0.013038694299791233,-0.01197838382795453,0.011043479479543523,0.012467911746352912,0.002201270666229288,0.002180886617861688,0.010835572505466459,0.0038156066322699187,0.010813857568593615,0.010446435958147048,0.0014981188959262298,3.3783804020970365e-07,1.574751156280729e-07,586.0
1.04,-0.014519645858672447,0.013038694308099896,-0.011978380754590035,0.011043481424855756,0.012467911560088396,0.0022012709986561525,0.002180880610831082,0.010835568587221891,0.003815610660240054,0.010813858352040781,0.010446435492485761,0.0014981187909001966,3.37887436963058e-07,1.5791129515403384e-07,586.0
1.05,-0.014519645052496344,0.013038692617379312,-0.011978379043284804,0.011043478522592326,0.012467910908162594,0.0022012707489847743,0.002180883358232677,0.010835568416712078,0.0038156114052981136,0.010813861444053635,0.010446435399353504,0.0014981183869624485,3.3840187878553253e-07,1.576124794824922e-07,586.0
1.06,-0.014956299122422934,0.01058642332187539,-0.012336820177733899,0.008764275577383773,0.014121639728546142,0.002873479185034195,0.007258632977027446,0.013184639948183745,0.009617830254137516,0.015710445595250956,0.012485520821064711,0.0015720227684539784,2.949699485554902e-07,1.5887170660387714e-07,766.0
1.07,-0.014956299331970513,0.010586420657140463,-0.01233681533485651,0.008764276103999477,0.01412164019420743,0.002873478512129862,0.007258637272752821,0.013184638692082723,0.009617834910750389,0.015710445419843573,0.012485520821064711,0.0015720226001686975,2.9472803468877374e-07,1.5876634056992566e-07,766.0
1.08,-0.014956301171332597,0.01058642299517331,-0.01233681831508875,0.008764279223329235,0.014121640101075172,0.002873479717647475,0.007258630043361336,0.013184637006675212,0.009617833979427814,0.015710448191118255,0.012485520914196968,0.0015720231400212202,2.9420244409550376e-07,1.5872243992753577e-07,766.0
1.09,-0.014956300216726958,0.010586418728901557,-0.012336819246411324,0.008764278118745413,0.014121640473604202,0.0028734794602792344,0.007258636923506856,0.013184635865971565,0.009617836587131024,0.0157104476743367,0.012485521193593741,0.0015720231403936534,2.941185037741434e-07,1.5872170524993293e-07,766.0
1.1,-0.014956300565972924,0.01058642181315763,-0.012336821481585502,0.008764278703939126,0.014121639728546142,0.0028734788877200117,0.007258633594028651,0.013184637448592685,0.009617830766364932,0.015710445676699117,0.012485519889742136,0.0015720232881001636,2.948874239905308e-07,1.5837542563209465e-07,766.0
1.11,-0.014956301217898727,0.010586423095912916,-0.012336819525808096,0.008764279400474214,0.014121639542281628,0.0028734782185946893,0.007258631556760519,0.01318463625630642,0.009617837332189082,0.015710444691249693,0.012485520541667938,0.0015720226941202075,2.9436091288914665e-07,1.5853828529026828e-07,766.0
1.12,-0.0149562997976318,0.010586424849540862,-0.012336820550262927,0.008764278810563532,0.014121639914810658,0.0028734795468687902,0.0072586378897540275,0.01318463878103353,0.009617829322814941,0.01571044729464471,0.012485520634800195,0.0015720236832911156,2.9455795207411485e-07,1.5882175282938638e-07,766.0
1.1300000000000001,-0.014956299983896314,0.010586419870781192,-0.012336820550262927,0.008764279120583255,0.014121640846133232,0.0028734794109382747,0.007258634082973003,0.013184643323708299,0.009617837285622955,0.015710448136653243,0.012485520634800195,0.0015720233477472599,2.94843928827504e-07,1.5814143574224076e-07,766.0
1.1400000000000001,-0.01495629942510277,0.010586422107396373,-0.012336821109056473,0.008764278822934958,0.014121640659868716,0.0028734795675338974,0.007258637738414109,0.013184639079655081,0.009617829974740744,0.015710445486942386,0.012485520634800195,0.0015720227732601852,2.94771345821232e-07,1.5886306375776078e-07,766.0
1.1500000000000001,-0.014313569129444658,0.01335024662863475,-0.011869431589730084,0.012342907919630065,0.015764447394758463,0.0028954027640744296,0.008090846287086607,0.018500267049606056,0.006525023747235537,0.017533369057887712,0.014436385966837407,0.0020698359548794835,4.2484870945713735e-07,1.1791058780070387e-07,1036.0
1.1600000000000001,-0.014313564042095096,0.013350246889777566,-0.011869431659579276,0.01234291364404686,0.01576444720849395,0.0028954035879731376,0.008090846054255963,0.018500266898249962,0.006525022257119417,0.017533364246683905,0.014436386339366437,0.002069835409114597,4.2487510185651447e-07,1.1769103617283168e-07,1036.0
1.1700000000000002,-0.0143135612946935,0.013350250869844984,-0.011869430402293801,0.01234291001030497,0.01576444720849395,0.0028954026009961886,0.008090856578201055,0.018500271984937762,0.006525014434009791,0.017533365142528113,0.014436385687440633,0.0020698361944683466,4.247935834200689e-07,1.1778966059649776e-07,1036.0
1.1800000000000002,-0.014313567208591848,0.013350247503121913,-0.011869431124068797,0.012342910839442776,0.01576444646343589,0.0028954020557781495,0.008090848941355944,0.018500265304646567,0.006525018811225891,0.01753336215655138,0.014436386339366437,0.002069835578737062,4.2578542860383093e-07,1.1879007519163141e-07,1036.0
1.1900000000000002,-0.014313564426265657,0.013350248659720005,-0.011869431822560728,0.012342908024764997,0.015764446649700403,0.0028954022084351047,0.008090849453583359,0.018500270849844035,0.006525024818256497,0.017533368127856903,0.014436385687440633,0.0020698345166259543,4.2553098325015524e-07,1.1757975930343921e-07,1036.0
1.2000000000000002,-0.014313568733632565,0.013350244471235215,-0.011869432008825242,0.012342912585551438,0.01576444720849395,0.0028954027068771025,0.008090852061286569,0.018500268176267706,0.006525012012571096,0.01753336454095406,0.014436386525630951,0.002069835530387701,4.249403751543923e-07,1.1769163772607155e-07,1036.0
1.2100000000000002,-0.014313566323835403,0.01335024754141032,-0.011869430891238153,0.012342909605665168,0.015764447581022977,0.002895402726996976,0.008090851781889796,0.0185002696643695,0.006525019044056534,0.01753336332613797,0.014436385966837407,0.0020698346769933693,4.2574212386625734e-07,1.1857889968279433e-07,1036.0
1.2200000000000002,-0.01431356524117291,0.013350246714356721,-0.011869433359242976,0.01234290699349743,0.015764447394758463,0.00289540243187656,0.0080908487085253,0.018500267038324095,0.006525015784427523,0.01753336675790448,0.01443638578057289,0.002069836551337402,4.2544682870016005e-07,1.1829577409860602e-07,1036.0
1.2300000000000002,-0.01431356460088864,0.013350246707063659,-0.011869429727084935,0.012342911805811978,0.015764448419213296,0.002895402329725671,0.00809085271321237,0.018500266183709025,0.006525018950924277,0.01753336674174257,0.01443638587370515,0.0020698345040310894,4.24722959024848e-07,1.170524064305213e-07,1036.0
1.2400000000000002,-0.014313568593934178,0.013350244184687391,-0.011869434243999421,0.01234291225862835,0.015764447581022977,0.0028954027347025705,0.008090850710868836,0.01850026975316938,0.006525018950924277,0.01753336818727013,0.014436387363821268,0.002069834670365327,4.247979809690605e-07,1.1769497123108299e-07,1036.0
