alpha,replica,seed,runtime_sec,final_loss,steps_taken,cosine_similarity
1.4000000000000001,4,103,17.2965,3.3068029881e+00,6000,1.8469500542e-01
1.4000000000000001,5,104,17.2982,3.2419965267e+00,6000,1.8972456455e-01
1.4000000000000001,6,105,17.4051,3.2670242786e+00,6000,1.8801166117e-01
1.4000000000000001,7,106,17.6814,3.2857563496e+00,6000,1.8662296236e-01
1.4000000000000001,8,107,17.5392,3.1983284950e+00,6000,1.9401347637e-01
1.4000000000000001,9,108,17.2762,3.2802259922e+00,6000,1.8850116432e-01
1.4000000000000001,10,109,17.7434,3.3173933029e+00,6000,1.8735808134e-01
1.6,1,100,16.6780,5.4152770042e+00,6000,2.2586816549e-01
1.6,2,101,16.8703,5.4352993965e+00,6000,2.2138254344e-01
1.6,3,102,16.6982,5.4387826920e+00,6000,2.2284437716e-01
1.6,4,103,16.8646,5.4881825447e+00,6000,2.2255058587e-01
1.6,5,104,16.6435,5.4058508873e+00,6000,2.2775425017e-01
1.6,6,105,16.7590,5.4748654366e+00,6000,2.2364832461e-01
1.6,7,106,17.0935,5.3892688751e+00,6000,2.2345256805e-01
1.6,8,107,16.5731,5.3122057915e+00,6000,2.3194876313e-01
1.6,9,108,16.9109,5.3493943214e+00,6000,2.2661966085e-01
1.6,10,109,16.8335,5.3976597786e+00,6000,2.2392752767e-01
1.8,1,100,16.4920,7.7671651840e+00,6000,2.6570513844e-01
1.8,2,101,16.5319,7.7958784103e+00,6000,2.6018422842e-01
1.8,3,102,16.6149,7.7445054054e+00,6000,2.6459518075e-01
1.8,4,103,16.6292,7.7623476982e+00,6000,2.6320561767e-01
1.8,5,104,16.6772,7.7309451103e+00,6000,2.6804766059e-01
1.8,6,105,16.6259,7.8022689819e+00,6000,2.6190233231e-01
1.8,7,106,16.8355,7.7860875130e+00,6000,2.6475921273e-01
1.8,8,107,16.7138,7.6394824982e+00,6000,2.7175581455e-01
1.8,9,108,16.7837,7.7289757729e+00,6000,2.6507866383e-01
1.8,10,109,16.7965,7.7828207016e+00,6000,2.6293414831e-01
2.0,1,100,16.8738,9.9520502090e+00,6000,3.1082203984e-01
2.0,2,101,16.8036,1.0085467339e+01,6000,3.0531707406e-01
2.0,3,102,16.5406,1.0082630157e+01,6000,3.0730223656e-01
