replica,seed,runtime_sec,initial_loss,final_loss,final_mse,estimated_convergence_step,qy
1,42,32.5231,7.9640176000e+07,1.3007808924e+00,3.2519523074e-08,,2.4994504452e-01
2,1042,32.1280,7.9033880000e+07,1.1324518919e+00,2.8311298195e-08,,2.4441558123e-01
3,2042,32.1936,7.9804888000e+07,1.2837783098e+00,3.2094458646e-08,,2.4643559754e-01
