step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,mse_mean,mse_std,loss_replica_1,loss_replica_2,loss_replica_3,mse_replica_1,mse_replica_2,mse_replica_3
25,2.7129534375e+05,1.9145946782e+03,5.4334315028e+00,3.0696588566e-03,6.7823835028e-03,4.7864672531e-05,2.7329131250e+05,2.7188184375e+05,2.6871287500e+05,6.8322825246e-03,6.7970459349e-03,6.7178220488e-03
26,2.4438791146e+05,1.7319303584e+03,5.3880687939e+00,3.0820573141e-03,6.1096978995e-03,4.3298313925e-05,2.4623551562e+05,2.4485664062e+05,2.4207157812e+05,6.1558880843e-03,6.1214161105e-03,6.0517895035e-03
27,2.2058882812e+05,1.5675608610e+03,5.3435725299e+00,3.0899922046e-03,5.5147206100e-03,3.9189067375e-05,2.2229951562e+05,2.2095456250e+05,2.1851240625e+05,5.5574877188e-03,5.5238641798e-03,5.4628099315e-03
28,1.9947698958e+05,1.4199529937e+03,5.2998817870e+00,3.0946820124e-03,4.9869247402e-03,3.5498558239e-05,2.0106185938e+05,1.9975251562e+05,1.9761659375e+05,5.0265463069e-03,4.9938126467e-03,4.9404152669e-03
29,1.8069764062e+05,1.2872008232e+03,5.2569414508e+00,3.0962780993e-03,4.5174411498e-03,3.2180287781e-05,1.8216632812e+05,1.8089471875e+05,1.7903187500e+05,4.5541585423e-03,4.5223683119e-03,4.4757965952e-03
30,1.6395080729e+05,1.1677770385e+03,5.2147025339e+00,3.0952583526e-03,4.0987702087e-03,2.9194359428e-05,1.6531223438e+05,1.6407968750e+05,1.6246050000e+05,4.1328058578e-03,4.1019921191e-03,4.0615126491e-03
31,1.4898060938e+05,1.0610487725e+03,5.1731187263e+00,3.0942422567e-03,3.7245152829e-03,2.6526131899e-05,1.5024384375e+05,1.4905035938e+05,1.4764762500e+05,3.7560961209e-03,3.7262588739e-03,3.6911908537e-03
32,1.3556865625e+05,9.6523391411e+02,5.1321482816e+00,3.0925364276e-03,3.3892165714e-03,2.4130817797e-05,1.3674137500e+05,1.3558732812e+05,1.3437726562e+05,3.4185345285e-03,3.3896833193e-03,3.3594318666e-03
33,1.2352775000e+05,8.7913472658e+02,5.0917535343e+00,3.0904393975e-03,3.0881937128e-03,2.1978359131e-05,1.2461701562e+05,1.2350219531e+05,1.2246403906e+05,3.1154253520e-03,3.0875548255e-03,3.0616009608e-03
34,1.1269681250e+05,8.0215422317e+02,5.0519006370e+00,3.0900231648e-03,2.8174202113e-03,2.0053919898e-05,1.1370919531e+05,1.1263389062e+05,1.1174735156e+05,2.8427299112e-03,2.8158470523e-03,2.7936836705e-03
35,1.0293611719e+05,7.3320252816e+02,5.0125567749e+00,3.0914030810e-03,2.5734028313e-03,1.8330046631e-05,1.0387779688e+05,1.0284118750e+05,1.0208936719e+05,2.5969448034e-03,2.5710295886e-03,2.5522341020e-03
36,9.4124929688e+04,6.7145224021e+02,4.9736936281e+00,3.0952339352e-03,2.3531232340e-03,1.6786299537e-05,9.5001523438e+04,9.4002796875e+04,9.3370468750e+04,2.3750381079e-03,2.3500698153e-03,2.3342617787e-03
