replica,seed,runtime_sec,initial_loss,final_loss,final_mse,estimated_convergence_step,cosine_similarity
1,42,2.5243,4.2589545898e+03,5.2732986163e-13,2.6366491875e-16,20,2.0619422197e-02
2,1042,2.2467,4.3832739258e+03,4.2413983567e-13,2.1206990523e-16,20,8.9318621904e-03
3,2042,2.2144,3.7609160156e+03,8.8332108555e-13,4.4166052816e-16,27,-1.8163872883e-03
