step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,mse_mean,mse_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,loss_replica_2,loss_replica_3,mse_replica_1,mse_replica_2,mse_replica_3,cosine_similarity_replica_1,cosine_similarity_replica_2,cosine_similarity_replica_3
17,7.6442444424e-05,9.7224248470e-05,-4.6343844359e+00,6.8340046317e-01,3.8221222335e-08,4.8612124429e-08,9.2446425309e-03,9.1624413210e-03,8.5995052359e-06,6.7934865911e-06,2.1393434145e-04,4.2997525540e-09,3.3967433311e-09,1.0696717112e-07,2.0619304851e-02,8.9320940897e-03,-1.8174713477e-03
18,4.2661936429e-05,5.5551210778e-05,-4.9529223429e+00,7.3302726565e-01,2.1330968732e-08,2.7775606028e-08,9.2447291827e-03,9.1623470974e-03,3.4999757190e-06,3.2627408473e-06,1.2122309272e-04,1.7499879323e-09,1.6313704831e-09,6.0611547781e-08,2.0619353279e-02,8.9320195839e-03,-1.8171853153e-03
19,2.3992580509e-05,3.1800416659e-05,-5.2689028643e+00,7.8336187821e-01,1.1996290609e-08,1.5900208863e-08,9.2447913485e-03,9.1622759107e-03,1.4278230083e-06,1.5848488601e-06,6.8965069659e-05,7.1391148548e-10,7.9242440387e-10,3.4482535938e-08,2.0619381219e-02,8.9319711551e-03,-1.8169783289e-03
20,1.3573660359e-05,1.8233636253e-05,-5.5826014475e+00,8.3424346684e-01,6.7868304495e-09,9.1168185080e-09,9.2448360908e-03,9.1622213090e-03,5.8476598497e-07,7.7653675135e-07,3.9359678340e-05,2.9238300669e-10,3.8826836191e-10,1.9679839980e-08,2.0619396120e-02,8.9319385588e-03,-1.8168264069e-03
21,7.7119566508e-06,1.0465819471e-05,-5.8945628593e+00,8.8561629126e-01,3.8559783838e-09,5.2329098199e-09,9.2448684930e-03,9.1621806865e-03,2.4030342161e-07,3.8293512716e-07,2.2512631404e-05,1.2015170803e-10,1.9146756403e-10,1.1256315879e-08,2.0619405434e-02,8.9319152758e-03,-1.8167152302e-03
22,4.3965777484e-06,6.0131129556e-06,-6.2042256163e+00,9.3673912379e-01,2.1982888392e-09,3.0065564297e-09,9.2448921641e-03,9.1621504780e-03,9.9583097324e-08,1.8990640172e-07,1.2900243746e-05,4.9791549356e-11,9.4953198082e-11,6.4501217700e-09,2.0619411021e-02,8.9318994433e-03,-1.8166339723e-03
23,2.5128809540e-06,3.4578821720e-06,-6.5135811421e+00,9.8898358798e-01,1.2564404661e-09,1.7289410698e-09,9.2449097428e-03,9.1621275615e-03,4.1138790152e-08,9.4536432016e-08,7.4029676398e-06,2.0569395145e-11,4.7268217118e-11,3.7014837861e-09,2.0619414747e-02,8.9318873361e-03,-1.8165728543e-03
24,1.4390888137e-06,1.9898271291e-06,-6.8221854859e+00,1.0417155986e+00,7.1954442983e-10,9.9491359728e-10,9.2449227426e-03,9.1621093175e-03,1.7026540178e-08,4.7164370187e-08,4.2530755309e-06,8.5132699501e-12,2.3582184816e-11,2.1265378347e-09,2.0619414747e-02,8.9318808168e-03,-1.8165273359e-03
25,8.2502763539e-07,1.1450947025e-06,-7.1297439122e+00,1.0943815390e+00,4.1251382236e-10,5.7254735737e-10,9.2449332199e-03,9.1620948472e-03,7.0740120428e-09,2.3600911447e-08,2.4444079827e-06,3.5370059746e-12,1.1800456445e-11,1.2222040047e-09,2.0619414747e-02,8.9318761602e-03,-1.8164912472e-03
26,4.7357752260e-07,6.5932412217e-07,-7.4362025782e+00,1.1465341079e+00,2.3678874298e-10,3.2966203510e-10,9.2449412526e-03,9.1620867334e-03,2.9675992774e-09,1.1776199571e-08,1.4059887690e-06,1.4837996283e-12,5.8880999035e-12,7.0299432942e-10,2.0619418472e-02,8.9318724349e-03,-1.8164671492e-03
27,2.7232407866e-07,3.8002811049e-07,-7.7345574480e+00,1.1920505807e+00,1.3616203839e-10,1.9001405387e-10,9.2449473062e-03,9.1620798527e-03,1.3083306660e-09,5.9054725554e-09,8.0975843275e-07,6.5416530699e-13,2.9527363627e-12,4.0487921349e-10,2.0619420335e-02,8.9318696409e-03,-1.8164480571e-03
28,1.5654064106e-07,2.1891891972e-07,-8.0449873472e+00,1.2491506156e+00,7.8270318142e-11,1.0945945652e-10,9.2449530105e-03,9.1620741221e-03,5.3223075946e-10,2.9541036284e-09,4.6613558879e-07,2.6611536325e-13,1.4770517708e-12,2.3306778729e-10,2.0619422197e-02,8.9318687096e-03,-1.8164318753e-03
29,9.0114810031e-08,1.2620214631e-07,-8.3408959610e+00,1.2952242641e+00,4.5057409044e-11,6.3101078863e-11,9.2449552224e-03,9.1620692029e-03,2.3213178602e-10,1.5222556549e-09,2.6859004265e-07,1.1606588900e-13,7.6112781442e-13,1.3429503343e-10,2.0619420335e-02,8.9318668470e-03,-1.8164215144e-03
30,5.1869487148e-08,7.2752100300e-08,-8.6514170484e+00,1.3530394827e+00,2.5934742925e-11,3.6376049235e-11,9.2449579388e-03,9.1620667154e-03,9.4723499877e-11,7.5795641985e-10,1.5475578152e-07,4.7361748990e-14,3.7897820732e-13,7.7377888819e-11,2.0619422197e-02,8.9318649843e-03,-1.8164133653e-03
