alpha,num_replicas_observed,mean_cosine_similarity,std_cosine_similarity,mean_loss,std_loss,mean_steps,std_steps,mean_runtime_sec,std_runtime_sec
0.2,5,0.05563990102000001,0.00987176479038544,3.1029829144320002,1.216292862795571,50000.0,0.0,1638.08,4.573576281204883
0.4,5,0.09625175222,0.021786856427969622,1.257444220758,0.5354896470506918,43400.2,13199.6,1420.6200000000001,432.1601804886702
0.6,5,0.11650148036,0.016148418189450665,0.2570348531,0.13652139959129403,30480.6,16749.65624244271,998.0,548.3362654430217
0.8,5,0.22561775448,0.03230025953185992,0.40369235574999995,0.2200145000342529,48360.2,3279.6,1584.6200000000001,107.06068185846756
1.0,5,0.21315091551999998,0.060547424946373836,0.227211308476,0.09772825238203789,17530.8,17273.928683423466,575.06,567.5763793534752
1.2,5,0.30414763094,0.046342998436557335,0.1492503300294,0.0659803247250632,39390.6,13737.027052459349,1290.3600000000001,449.90564610815903
1.4,5,0.30585284826,0.012359699375471683,0.08511118441820001,0.0018189770421879713,17751.0,1021.7631819555841,581.2,33.33952609141288
1.6,5,0.3416293353,0.06605143652020148,0.186284720899,0.11926513927243641,21650.8,18468.504545847776,709.38,605.1882695492371
1.8,5,0.52905495764,0.03839084584731672,0.11801246702799999,0.004432998441148981,10161.0,1693.9303409526615,332.78000000000003,55.33788575650502
2.0,5,0.9198990941,0.021587026145811483,0.0423019079492,0.021239615365766396,9871.0,9660.310554014297,323.54,316.60203157907875
2.2,5,0.9904353261000001,0.0010721754306462089,0.000881311809644,1.1075587303580886e-05,11711.0,513.2250968142537,385.48,18.287963254556256
2.4,5,0.9995256900799999,7.862691237388285e-05,0.000226538514834,3.542135299423978e-06,23491.0,702.4243731534377,792.4399999999999,18.200175823326553
