replica,seed,runtime_sec,final_loss,estimated_convergence_step,qy
1,42,110.3249,1.1183707237e+01,,9.8605728149e-01
2,1042,109.6053,1.1491477966e+01,,9.8837614059e-01
3,2042,110.7349,1.2199889183e+01,,1.0003510714e+00
4,3042,110.5529,1.1872453690e+01,,9.9493557215e-01
5,4042,109.9112,1.1686321259e+01,,1.0038220882e+00
