step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,qy_mean,qy_std,loss_replica_1,loss_replica_2,loss_replica_3,loss_replica_4,loss_replica_5,qy_replica_1,qy_replica_2,qy_replica_3,qy_replica_4,qy_replica_5
19,1.9365988970e+00,5.4181397698e-03,2.8703798085e-01,1.2148378470e-03,3.1487954315e-03,7.4886659139e-04,1.9368855953e+00,1.9296875000e+00,1.9401068687e+00,1.9317631721e+00,1.9445513487e+00,3.1085999217e-03,4.1537699290e-03,2.6184660383e-03,2.0899074152e-03,3.7732338533e-03
20,1.9233716726e+00,5.3607119172e-03,2.8406152905e-01,1.2102234787e-03,3.8704065606e-03,7.4948808333e-04,1.9236819744e+00,1.9165381193e+00,1.9267976284e+00,1.9185816050e+00,1.9312590361e+00,3.8387714885e-03,4.8659741879e-03,3.3423609566e-03,2.8031470720e-03,4.5017790981e-03
21,1.9079302549e+00,5.2937279125e-03,2.8056082360e-01,1.2047683812e-03,4.7196791042e-03,7.5027194710e-04,1.9082680941e+00,1.9011882544e+00,1.9112598896e+00,1.9031931162e+00,1.9157419205e+00,4.6981805936e-03,5.7039614767e-03,4.1944230907e-03,3.6425280850e-03,5.3593022749e-03
22,1.8900434494e+00,5.2158445406e-03,2.7647013480e-01,1.1982706975e-03,5.7127350010e-03,7.5128499939e-04,1.8904123306e+00,1.8834084272e+00,1.8932615519e+00,1.8853681087e+00,1.8977668285e+00,5.7031461038e-03,6.6836066544e-03,5.1908376627e-03,4.6239751391e-03,6.3621094450e-03
23,1.8694712162e+00,5.1265924512e-03,2.7171715029e-01,1.1907185075e-03,6.8672169000e-03,7.5261802205e-04,1.8698748350e+00,1.8629597425e+00,1.8725610971e+00,1.8648668528e+00,1.8770935535e+00,6.8715275265e-03,7.8222835436e-03,6.3493112102e-03,5.7649132796e-03,7.5280489400e-03
24,1.8459665298e+00,5.0243394922e-03,2.6622221413e-01,1.1818179327e-03,8.2024403848e-03,7.5439183618e-04,1.8464093208e+00,1.8395972252e+00,1.8489097357e+00,1.8414438963e+00,1.8534724712e+00,8.2228835672e-03,9.1390097514e-03,7.6892292127e-03,7.0844120346e-03,8.8766673580e-03
25,1.8192775011e+00,4.9082958973e-03,2.5989736852e-01,1.1714469223e-03,9.7395541146e-03,7.5676569185e-04,1.8197637796e+00,1.8130706549e+00,1.8220539093e+00,1.8148481846e+00,1.8266509771e+00,9.7786160186e-03,1.0654609650e-02,9.2318058014e-03,8.6033558473e-03,1.0429383256e-02
26,1.7891497135e+00,4.7772158235e-03,2.5264513557e-01,1.1593468920e-03,1.1501728743e-02,7.5994288141e-04,1.7896840572e+00,1.7831271887e+00,1.7917381525e+00,1.7848268747e+00,1.7963722944e+00,1.1562182568e-02,1.2391895056e-02,1.1000282131e-02,1.0344621725e-02,1.2209662236e-02
27,1.7553313732e+00,4.6303261839e-03,2.4435760460e-01,1.1453302650e-03,1.3514353521e-02,7.6418540287e-04,1.7559180260e+00,1.7495173216e+00,1.7577093840e+00,1.7511285543e+00,1.7623835802e+00,1.3599278405e-02,1.4375858940e-02,1.3020118698e-02,1.2333272956e-02,1.4243238606e-02
28,1.7175778389e+00,4.4666417875e-03,2.3491495995e-01,1.1291052726e-03,1.5805256553e-02,7.6983372847e-04,1.7182215452e+00,1.7119979858e+00,1.7197215557e+00,1.7135100365e+00,1.7244380713e+00,1.5918083489e-02,1.6633905470e-02,1.5319197439e-02,1.4596763998e-02,1.6558332369e-02
