alpha,F1_mean,F1_std,Frandom_mean,Frandom_std,diff
0.5,0.0005688487144652754,0.00021250389439954649,0.00017608007883609388,0.0001352331560583539,0.0003927686356291815
1.0,0.0011169532197527587,0.00024884620523549266,0.00012262679119885435,0.00021557778765063344,0.0009943264285539044
1.5,0.0023291412740945815,0.0003733232485886615,0.00030345990671776235,0.00014779935021333796,0.002025681367376819
2.0,0.003667773026973009,0.0008039556707070057,0.00026560802725725805,0.00030348316734594245,0.0034021649997157508
2.5,0.005676456913352013,0.0010660977836057127,0.0001185388959129341,0.0003250979299673154,0.005557918017439079
3.0,0.009136301558464765,0.002441814008121704,0.0007508528244215996,0.00043961759546905157,0.008385448734043165
3.5,0.012780969962477684,0.001403085009181738,0.0009348280727863312,0.0004054248296643179,0.011846141889691353
4.0,0.019503595307469368,0.0036381766223340484,0.0011163710558321327,0.0007733459499006572,0.018387224251637236
4.5,0.025066910684108733,0.0020844112332611747,0.0015456881490536034,0.0011543478852114244,0.02352122253505513
5.0,0.031629998609423636,0.005818707803000419,0.001945531228557229,0.0008505074714528169,0.029684467380866407
5.5,0.03986724428832531,0.01056781936557046,0.004112481651827693,0.0017784197025505753,0.03575476263649762
6.0,0.06128631681203842,0.009388281744265297,0.004840366006828844,0.0018995692831025879,0.05644595080520958
6.5,0.07664301097393036,0.017796883403038307,0.008514749864116312,0.004281657408332258,0.06812826110981406
7.0,0.10856076776981353,0.022172340815581136,0.006992619065567851,0.0022952744580680127,0.10156814870424569
