alpha,lr,num_observed,effective_epochs,cosine_similarity_mean,cosine_similarity_std,Loss_mean,Loss_std,Steps_mean,cosine_similarity_replica_0,loss_replica_0,cosine_similarity_replica_1,loss_replica_1,cosine_similarity_replica_2,loss_replica_2,cosine_similarity_replica_3,loss_replica_3,cosine_similarity_replica_4,loss_replica_4
0.0,0.001,1000,600000.0,0.0006663221050985157,0.001189093501490186,1.045778524541574e-12,4.3782586146587925e-14,201.0,0.0010603335686028004,1.1111862298351927e-12,0.0022409644443541765,1.0464284603758922e-12,-0.0014373894082382321,9.733094321826008e-13,0.0007226522429846227,1.0448817375566244e-12,0.0007450496777892113,1.0530867627575602e-12
0.2,0.001,20000,30000.0,0.020302841439843178,0.0010580780125044973,2.252412336645193e-08,1.6017403147467098e-09,601.0,0.02074011228978634,2.307225166475746e-08,0.021309928968548775,2.043322666622771e-08,0.018292250111699104,2.2002383914809798e-08,0.02089371345937252,2.1860461885125915e-08,0.02027820236980915,2.5252292701338774e-08
0.4,0.001,40000,15000.0,0.04157720059156418,0.0007847181108660127,3.297743342045578e-06,1.5053283018495047e-07,1301.0,0.042095839977264404,3.309853354949155e-06,0.04245815798640251,3.1596966891811462e-06,0.040157612413167953,3.288426341896411e-06,0.04149125516414642,3.571359911802574e-06,0.0416831374168396,3.1593804123986047e-06
0.6000000000000001,0.0015,60000,10000.0,0.0646800771355629,0.0011589647850055514,8.004449591680896e-06,1.5959745027711647e-06,1921.0,0.06538518518209457,4.886725037067663e-06,0.06623537838459015,9.364453035232145e-06,0.06276753544807434,8.796941983746365e-06,0.06430423259735107,8.676774086779915e-06,0.06470805406570435,8.29735381557839e-06
0.8,0.0015,80000,7500.0,0.09220470041036606,0.0016878663641173536,2.259632310597226e-05,1.2920055609953737e-06,3601.0,0.09442348778247833,2.116897485393565e-05,0.09240750968456268,2.3848944692872465e-05,0.08918830007314682,2.4427967218798585e-05,0.09255082905292511,2.1689123968826607e-05,0.09245337545871735,2.1846604795427993e-05
1.0,0.0015,100000,6000.0,0.12764505445957183,0.0013105856676420473,5.7549789926270026e-05,1.5419666779355044e-06,6921.0,0.1293845772743225,5.886526560061611e-05,0.127983957529068,5.668971061822958e-05,0.12589070200920105,5.778902050224133e-05,0.12640665471553802,5.933784632361494e-05,0.12855938076972961,5.506710658664815e-05
1.2000000000000002,0.0015,120000,5000.0,0.1771206796169281,0.002941301939753542,0.00015964006015565247,2.151473726190322e-06,14741.0,0.18270643055438995,0.00016025132208596915,0.17548303306102753,0.00015580216131638736,0.17524877190589905,0.0001624598226044327,0.17471978068351746,0.00015978327428456396,0.17744538187980652,0.00015990372048690915
1.4000000000000001,0.0015,140000,4285.714285714285,0.24801724553108215,0.002539070826518782,0.000768574676476419,5.708577702588616e-05,36381.0,0.249136820435524,0.0007640174590051174,0.2496921420097351,0.0007806834182702005,0.24704863131046295,0.0006670477450825274,0.24352866411209106,0.000789075274951756,0.25067996978759766,0.0008420494850724936
1.6,0.0015,160000,3750.0,0.34260886907577515,0.004234953128635803,0.051786860823631285,0.012780106947525382,46241.0,0.3429573178291321,0.054101526737213135,0.3458356559276581,0.03593249246478081,0.33884385228157043,0.06313619017601013,0.3370051980018616,0.06752327084541321,0.34840232133865356,0.03824082389473915
1.8,0.0015,180000,3333.3333333333335,0.43538737297058105,0.013604250614982062,0.4581113576889038,0.1388072232858762,39661.0,0.44784682989120483,0.32886672019958496,0.4505508840084076,0.2961117923259735,0.4271688759326935,0.5074462890625,0.4137604236602783,0.6832178235054016,0.43760985136032104,0.47491416335105896
2.0,0.0015,200000,3000.0,0.5679369568824768,0.01375762874291449,0.8287141919136047,0.11910543688975522,53961.0,0.546330451965332,1.025534749031067,0.587166965007782,0.6770800948143005,0.5768028497695923,0.7382925152778625,0.5624486804008484,0.8511055707931519,0.5669358372688293,0.8515580296516418
2.2,0.0015,220000,2727.2727272727275,0.7484068155288697,0.08067301353924153,1.1207656383514404,0.5602962576363058,66901.0,0.8335534930229187,0.5868573784828186,0.8173383474349976,0.6388660669326782,0.6629943251609802,1.6583683490753174,0.6402959823608398,1.9295248985290527,0.7878519296646118,0.7902114987373352
2.4000000000000004,0.0015,240000,2500.0,0.9998894214630127,9.152090865537816e-06,0.000980828725732863,7.205475751982253e-05,93181.0,0.9998998641967773,0.0008954224758781493,0.9998732805252075,0.0010974889155477285,0.9998896718025208,0.000984218087978661,0.9998962879180908,0.0009163687354885042,0.999888002872467,0.0010106454137712717
2.6,0.0015,260000,2307.6923076923076,0.99996258020401,9.050489852954057e-07,0.000355780404061079,8.0505003027142e-06,43161.0,0.999963104724884,0.0003695573250297457,0.9999626874923706,0.0003497576981317252,0.999961256980896,0.0003590452251955867,0.9999619722366333,0.00035391832352615893,0.9999638795852661,0.0003466234484221786
2.8000000000000003,0.0015,280000,2142.8571428571427,0.999982750415802,3.1898231888436445e-07,0.0002712669258471578,6.0873917171322674e-06,28761.0,0.9999826550483704,0.00026849424466490746,0.9999823570251465,0.00027689451235346496,0.9999833106994629,0.00026160155539400876,0.9999828338623047,0.00027084373869001865,0.9999825954437256,0.00027850057813338935
3.0,0.0015,300000,2000.0,0.9999907493591309,2.676241912918526e-07,0.00024571249377913773,7.148752665504813e-06,22721.0,0.9999909996986389,0.0002403424005024135,0.9999903440475464,0.00025691447081044316,0.9999905228614807,0.00024941720766946673,0.9999908804893494,0.0002455269277561456,0.9999909996986389,0.00023636146215721965
3.2,0.0015,320000,1875.0,0.999994421005249,1.338120956459263e-07,0.00022263358114287256,4.482381469705668e-06,19381.0,0.9999943375587463,0.00022120613721199334,0.9999942779541016,0.00023126979067455977,0.9999943375587463,0.00022168521536514163,0.9999945163726807,0.00021821084374096245,0.9999946355819702,0.00022079591872170568
3.4000000000000004,0.0015,340000,1764.7058823529412,0.9999963045120239,2.2302015940987714e-07,0.000205423726583831,9.476165123336088e-06,17341.0,0.9999964237213135,0.0001929022400872782,0.9999964833259583,0.00020317365124356002,0.9999960660934448,0.0002171596570406109,0.999996542930603,0.00019843276822939515,0.9999960064888,0.0002154503163183108
3.6,0.0015,360000,1666.6666666666667,0.9999974966049194,9.973764735866494e-08,0.00018302011594641953,5.891347562318296e-06,16021.0,0.9999974370002747,0.00018771870236378163,0.9999973773956299,0.00019170381710864604,0.999997615814209,0.0001752711832523346,0.9999974370002747,0.0001799358578864485,0.999997615814209,0.00018047101912088692
3.8000000000000003,0.0015,380000,1578.9473684210527,0.9999981164932251,8.085167387873254e-08,0.00017461325041949748,2.6580966373841976e-06,14901.0,0.9999980330467224,0.0001762051833793521,0.9999980926513672,0.00017631151422392577,0.9999980926513672,0.0001713306992314756,0.9999980926513672,0.00017151638166978955,0.9999982714653015,0.00017770247359294444
4.0,0.0015,400000,1500.0,0.9999985218048095,2.3841857910156248e-08,0.000164047020371072,3.6976057970736035e-06,14101.0,0.9999985694885254,0.00016805568884592503,0.9999985098838806,0.0001579618256073445,0.9999985098838806,0.00016775235417298973,0.9999985098838806,0.000163553879247047,0.9999985098838806,0.0001629113539820537
