step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,mse_mean,mse_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,mse_replica_1,cosine_similarity_replica_1
0,1.0040653992e+02,0.0000000000e+00,2.0017620012e+00,0.0000000000e+00,1.0040653944e+00,0.0000000000e+00,-3.0342309401e-05,0.0000000000e+00,1.0040653992e+02,1.0040653944e+00,-3.0342309401e-05
100,1.4148107910e+02,0.0000000000e+00,2.1506983636e+00,0.0000000000e+00,1.4148107767e+00,0.0000000000e+00,7.9671844840e-02,0.0000000000e+00,1.4148107910e+02,1.4148107767e+00,7.9671844840e-02
200,1.4071646118e+02,0.0000000000e+00,2.1483449047e+00,0.0000000000e+00,1.4071646929e+00,0.0000000000e+00,8.0153346062e-02,0.0000000000e+00,1.4071646118e+02,1.4071646929e+00,8.0153346062e-02
300,1.4059410095e+02,0.0000000000e+00,2.1479670989e+00,0.0000000000e+00,1.4059410095e+00,0.0000000000e+00,7.9386457801e-02,0.0000000000e+00,1.4059410095e+02,1.4059410095e+00,7.9386457801e-02
400,1.4126078796e+02,0.0000000000e+00,2.1500216245e+00,0.0000000000e+00,1.4126079082e+00,0.0000000000e+00,7.8612700105e-02,0.0000000000e+00,1.4126078796e+02,1.4126079082e+00,7.8612700105e-02
500,1.4098402405e+02,0.0000000000e+00,2.1491699023e+00,0.0000000000e+00,1.4098403454e+00,0.0000000000e+00,7.9120509326e-02,0.0000000000e+00,1.4098402405e+02,1.4098403454e+00,7.9120509326e-02
600,1.4177012634e+02,0.0000000000e+00,2.1515847264e+00,0.0000000000e+00,1.4177011251e+00,0.0000000000e+00,7.8994743526e-02,0.0000000000e+00,1.4177012634e+02,1.4177011251e+00,7.8994743526e-02
700,3.3437281250e+04,0.0000000000e+00,4.5242309582e+00,0.0000000000e+00,3.3437283325e+02,0.0000000000e+00,-5.3203053540e-04,0.0000000000e+00,3.3437281250e+04,3.3437283325e+02,-5.3203053540e-04
800,3.3425511719e+04,0.0000000000e+00,4.5240780647e+00,0.0000000000e+00,3.3425509644e+02,0.0000000000e+00,4.6321851551e-04,0.0000000000e+00,3.3425511719e+04,3.3425509644e+02,4.6321851551e-04
900,3.3431484375e+04,0.0000000000e+00,4.5241556599e+00,0.0000000000e+00,3.3431481934e+02,0.0000000000e+00,3.2374510192e-04,0.0000000000e+00,3.3431484375e+04,3.3431481934e+02,3.2374510192e-04
1000,3.3414980469e+04,0.0000000000e+00,4.5239412116e+00,0.0000000000e+00,3.3414978027e+02,0.0000000000e+00,2.7952942764e-04,0.0000000000e+00,3.3414980469e+04,3.3414978027e+02,2.7952942764e-04
1100,3.3411777344e+04,0.0000000000e+00,4.5238995786e+00,0.0000000000e+00,3.3411779785e+02,0.0000000000e+00,-2.3733227863e-04,0.0000000000e+00,3.3411777344e+04,3.3411779785e+02,-2.3733227863e-04
1200,3.3423429688e+04,0.0000000000e+00,4.5240510122e+00,0.0000000000e+00,3.3423425293e+02,0.0000000000e+00,1.5463383170e-03,0.0000000000e+00,3.3423429688e+04,3.3423425293e+02,1.5463383170e-03
1300,3.3422464844e+04,0.0000000000e+00,4.5240384751e+00,0.0000000000e+00,3.3422463989e+02,0.0000000000e+00,9.5509231323e-04,0.0000000000e+00,3.3422464844e+04,3.3422463989e+02,9.5509231323e-04
1400,3.3430906250e+04,0.0000000000e+00,4.5241481497e+00,0.0000000000e+00,3.3430905151e+02,0.0000000000e+00,1.0122376261e-04,0.0000000000e+00,3.3430906250e+04,3.3430905151e+02,1.0122376261e-04
1500,3.3433738281e+04,0.0000000000e+00,4.5241849385e+00,0.0000000000e+00,3.3433737183e+02,0.0000000000e+00,-5.3735067922e-05,0.0000000000e+00,3.3433738281e+04,3.3433737183e+02,-5.3735067922e-05
1600,3.3430734375e+04,0.0000000000e+00,4.5241459169e+00,0.0000000000e+00,3.3430734253e+02,0.0000000000e+00,8.5048544861e-05,0.0000000000e+00,3.3430734375e+04,3.3430734253e+02,8.5048544861e-05
1700,3.3436820312e+04,0.0000000000e+00,4.5242249713e+00,0.0000000000e+00,3.3436819458e+02,0.0000000000e+00,-4.5977486297e-04,0.0000000000e+00,3.3436820312e+04,3.3436819458e+02,-4.5977486297e-04
1800,3.3421917969e+04,0.0000000000e+00,4.5240313689e+00,0.0000000000e+00,3.3421917725e+02,0.0000000000e+00,1.7436118796e-03,0.0000000000e+00,3.3421917969e+04,3.3421917725e+02,1.7436118796e-03
1900,3.3440277344e+04,0.0000000000e+00,4.5242698707e+00,0.0000000000e+00,3.3440277100e+02,0.0000000000e+00,-1.4611475635e-03,0.0000000000e+00,3.3440277344e+04,3.3440277100e+02,-1.4611475635e-03
2000,3.3429386719e+04,0.0000000000e+00,4.5241284093e+00,0.0000000000e+00,3.3429385376e+02,0.0000000000e+00,1.6136285558e-04,0.0000000000e+00,3.3429386719e+04,3.3429385376e+02,1.6136285558e-04
2100,3.3447539062e+04,0.0000000000e+00,4.5243641696e+00,0.0000000000e+00,3.3447537231e+02,0.0000000000e+00,-2.0661526360e-03,0.0000000000e+00,3.3447539062e+04,3.3447537231e+02,-2.0661526360e-03
2200,3.3438687500e+04,0.0000000000e+00,4.5242492226e+00,0.0000000000e+00,3.3438687134e+02,0.0000000000e+00,-7.5391709106e-04,0.0000000000e+00,3.3438687500e+04,3.3438687134e+02,-7.5391709106e-04
2300,3.3441433594e+04,0.0000000000e+00,4.5242848868e+00,0.0000000000e+00,3.3441430664e+02,0.0000000000e+00,-1.1811938602e-03,0.0000000000e+00,3.3441433594e+04,3.3441430664e+02,-1.1811938602e-03
2400,3.3414730469e+04,0.0000000000e+00,4.5239379624e+00,0.0000000000e+00,3.3414730835e+02,0.0000000000e+00,9.1154978145e-04,0.0000000000e+00,3.3414730469e+04,3.3414730835e+02,9.1154978145e-04
2500,3.3427875000e+04,0.0000000000e+00,4.5241087695e+00,0.0000000000e+00,3.3427874756e+02,0.0000000000e+00,4.2608418153e-04,0.0000000000e+00,3.3427875000e+04,3.3427874756e+02,4.2608418153e-04
2600,3.3429664062e+04,0.0000000000e+00,4.5241320124e+00,0.0000000000e+00,3.3429663086e+02,0.0000000000e+00,5.5695197079e-04,0.0000000000e+00,3.3429664062e+04,3.3429663086e+02,5.5695197079e-04
2700,3.3431683594e+04,0.0000000000e+00,4.5241582479e+00,0.0000000000e+00,3.3431683350e+02,0.0000000000e+00,2.8825004119e-04,0.0000000000e+00,3.3431683594e+04,3.3431683350e+02,2.8825004119e-04
