replica,seed,runtime_sec,final_loss,estimated_convergence_step,cosine_similarity
1,100,90.7729,1.3541033268e+00,,4.8954255879e-02
2,101,90.4231,1.8582428694e+00,2248,4.3910719454e-02
3,102,89.9528,8.5824579000e-01,11,8.8967286050e-02
