step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,loss_replica_2,loss_replica_3,cosine_similarity_replica_1,cosine_similarity_replica_2,cosine_similarity_replica_3
26,1.0021004478e+00,2.0214354850e-03,9.1037180582e-04,8.7665969555e-04,5.0014227629e-01,3.3626657879e-04,1.0032892227e+00,9.9925452471e-01,1.0037575960e+00,5.0024968386e-01,4.9968737364e-01,5.0048977137e-01
27,1.0020996730e+00,2.1276197956e-03,9.0994066440e-04,9.2269192630e-04,5.0013664365e-01,3.1170063723e-04,1.0031650066e+00,9.9913001060e-01,1.0040040016e+00,5.0026834011e-01,4.9970647693e-01,5.0043511391e-01
28,1.0021000504e+00,2.2520585210e-03,9.0998637818e-04,9.7661265742e-04,5.0013004740e-01,2.8750649374e-04,1.0030322075e+00,9.9899655581e-01,1.0042713881e+00,5.0028830767e-01,4.9972656369e-01,5.0037527084e-01
29,1.0021001697e+00,2.3938658022e-03,9.0989557514e-04,1.0380359454e-03,5.0012289484e-01,2.6507710825e-04,1.0028902292e+00,9.9885421991e-01,1.0045560598e+00,5.0030922890e-01,4.9974802136e-01,5.0031143427e-01
30,1.0020992359e+00,2.5526381795e-03,9.0932109162e-04,1.1067857579e-03,5.0011540453e-01,2.4641907049e-04,1.0027389526e+00,9.9870252609e-01,1.0048562288e+00,5.0033164024e-01,4.9977061152e-01,5.0024396181e-01
31,1.0020960768e+00,2.7277246876e-03,9.0775218298e-04,1.1825798797e-03,5.0010750691e-01,2.3342468736e-04,1.0025775433e+00,9.9854069948e-01,1.0051699877e+00,5.0035530329e-01,4.9979472160e-01,5.0017249584e-01
32,1.0020895799e+00,2.9176059038e-03,9.0470486248e-04,1.2647609479e-03,5.0009919206e-01,2.2877488002e-04,1.0024058819e+00,9.9836862087e-01,1.0054942369e+00,5.0038027763e-01,4.9981990457e-01,5.0009739399e-01
33,1.0019443035e+00,2.9609349866e-03,8.4168354758e-04,1.2836956065e-03,5.0011753043e-01,2.2898605609e-04,1.0022238493e+00,9.9818623066e-01,1.0054228306e+00,5.0040662289e-01,4.9984660745e-01,5.0009936094e-01
34,1.0018742482e+00,3.1072106472e-03,8.1112479319e-04,1.3470845310e-03,5.0011977553e-01,2.3368530244e-04,1.0020304918e+00,9.9799299240e-01,1.0055992603e+00,5.0043433905e-01,4.9987474084e-01,5.0005024672e-01
35,1.0017059048e+00,3.1508441161e-03,7.3808510225e-04,1.3661939573e-03,5.0014064709e-01,2.3635488851e-04,1.0018258095e+00,9.9778836966e-01,1.0055035353e+00,5.0046348572e-01,4.9990421534e-01,5.0005424023e-01
