step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,mse_mean,mse_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,mse_replica_1,cosine_similarity_replica_1
0,1.0027471161e+02,0.0000000000e+00,2.0011914216e+00,0.0000000000e+00,1.0027470589e+00,0.0000000000e+00,-3.0342509490e-05,0.0000000000e+00,1.0027471161e+02,1.0027470589e+00,-3.0342509490e-05
100,1.4417460632e+02,0.0000000000e+00,2.1588887742e+00,0.0000000000e+00,1.4417461157e+00,0.0000000000e+00,9.0442657471e-02,0.0000000000e+00,1.4417460632e+02,1.4417461157e+00,9.0442657471e-02
200,1.1011917114e+02,0.0000000000e+00,2.0418629338e+00,0.0000000000e+00,1.1011917591e+00,0.0000000000e+00,1.7489279807e-01,0.0000000000e+00,1.1011917114e+02,1.1011917591e+00,1.7489279807e-01
300,8.7831443787e+01,0.0000000000e+00,1.9436500218e+00,0.0000000000e+00,8.7831437588e-01,0.0000000000e+00,2.5821691751e-01,0.0000000000e+00,8.7831443787e+01,8.7831437588e-01,2.5821691751e-01
400,7.2337142944e+01,0.0000000000e+00,1.8593613517e+00,0.0000000000e+00,7.2337138653e-01,0.0000000000e+00,3.3658340573e-01,0.0000000000e+00,7.2337142944e+01,7.2337138653e-01,3.3658340573e-01
500,6.0761280060e+01,0.0000000000e+00,1.7836269146e+00,0.0000000000e+00,6.0761278868e-01,0.0000000000e+00,4.0707883239e-01,0.0000000000e+00,6.0761280060e+01,6.0761278868e-01,4.0707883239e-01
600,5.1848594666e+01,0.0000000000e+00,1.7147369895e+00,0.0000000000e+00,5.1848596334e-01,0.0000000000e+00,4.7090008855e-01,0.0000000000e+00,5.1848594666e+01,5.1848596334e-01,4.7090008855e-01
700,4.4793491364e+01,0.0000000000e+00,1.6512149142e+00,0.0000000000e+00,4.4793492556e-01,0.0000000000e+00,5.2576363087e-01,0.0000000000e+00,4.4793491364e+01,4.4793492556e-01,5.2576363087e-01
800,3.9114620209e+01,0.0000000000e+00,1.5923391177e+00,0.0000000000e+00,3.9114621282e-01,0.0000000000e+00,5.7461977005e-01,0.0000000000e+00,3.9114620209e+01,3.9114621282e-01,5.7461977005e-01
900,3.4349601746e+01,0.0000000000e+00,1.5359217061e+00,0.0000000000e+00,3.4349602461e-01,0.0000000000e+00,6.1836552620e-01,0.0000000000e+00,3.4349601746e+01,3.4349602461e-01,6.1836552620e-01
1000,3.0471397400e+01,0.0000000000e+00,1.4838923712e+00,0.0000000000e+00,3.0471399426e-01,0.0000000000e+00,6.5568232536e-01,0.0000000000e+00,3.0471397400e+01,3.0471399426e-01,6.5568232536e-01
1100,2.7076637268e+01,0.0000000000e+00,1.4325947270e+00,0.0000000000e+00,2.7076637745e-01,0.0000000000e+00,6.8914186954e-01,0.0000000000e+00,2.7076637268e+01,2.7076637745e-01,6.8914186954e-01
1200,2.4202068329e+01,0.0000000000e+00,1.3838524827e+00,0.0000000000e+00,2.4202066660e-01,0.0000000000e+00,7.1889305115e-01,0.0000000000e+00,2.4202068329e+01,2.4202066660e-01,7.1889305115e-01
1300,2.1627790451e+01,0.0000000000e+00,1.3350121531e+00,0.0000000000e+00,2.1627789736e-01,0.0000000000e+00,7.4614232779e-01,0.0000000000e+00,2.1627790451e+01,2.1627789736e-01,7.4614232779e-01
1400,1.9408666611e+01,0.0000000000e+00,1.2879957001e+00,0.0000000000e+00,1.9408668578e-01,0.0000000000e+00,7.7036201954e-01,0.0000000000e+00,1.9408666611e+01,1.9408668578e-01,7.7036201954e-01
1500,1.7475038528e+01,0.0000000000e+00,1.2424181419e+00,0.0000000000e+00,1.7475038767e-01,0.0000000000e+00,7.9156768322e-01,0.0000000000e+00,1.7475038528e+01,1.7475038767e-01,7.9156768322e-01
