step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,loss_replica_2,cosine_similarity_replica_1,cosine_similarity_replica_2
1,4.7984051228e+06,5.5951595306e+03,6.6810966168e+00,5.0640743094e-04,1.5050958609e-05,8.3460364840e-04,4.8040002823e+06,4.7928099632e+06,-8.1955268979e-04,8.4965460701e-04
2,4.7984051228e+06,5.5951595306e+03,6.6810966168e+00,5.0640743094e-04,1.5222176444e-05,8.3460117457e-04,4.8040002823e+06,4.7928099632e+06,-8.1937899813e-04,8.4982335102e-04
3,4.7983939648e+06,5.5948734283e+03,6.6810956070e+00,5.0638271385e-04,1.6230536858e-05,8.3458804875e-04,4.8039888382e+06,4.7927990913e+06,-8.1835751189e-04,8.5081858560e-04
4,4.7983539104e+06,5.5948734283e+03,6.6810919817e+00,5.0638694089e-04,1.9246246666e-05,8.3454797277e-04,4.8039487839e+06,4.7927590370e+06,-8.1530172611e-04,8.5379421944e-04
5,4.7982574940e+06,5.5945873260e+03,6.6810832551e+00,5.0637122087e-04,2.5934103178e-05,8.3445970085e-04,4.8038520813e+06,4.7926629066e+06,-8.0852559768e-04,8.6039380403e-04
6,4.7980715275e+06,5.5940151215e+03,6.6810664228e+00,5.0633905431e-04,3.8463040255e-05,8.3429180086e-04,4.8036655426e+06,4.7924775124e+06,-7.9582876060e-04,8.7275484111e-04
7,4.7977525234e+06,5.5925846100e+03,6.6810375475e+00,5.0624323033e-04,5.9490004787e-05,8.3401214215e-04,4.8033451080e+06,4.7921599388e+06,-7.7452213736e-04,8.9350214694e-04
8,4.7972521305e+06,5.5900096893e+03,6.6809922496e+00,5.0606292824e-04,9.2170725111e-05,8.3357578842e-04,4.8028421402e+06,4.7916621208e+06,-7.4140506331e-04,9.2574651353e-04
9,4.7965114117e+06,5.5874347687e+03,6.6809251874e+00,5.0590793545e-04,1.4015243505e-04,8.3293541684e-04,4.8020988464e+06,4.7909239769e+06,-6.9278298179e-04,9.7308785189e-04
10,4.7954662800e+06,5.5831432343e+03,6.6808305472e+00,5.0562953680e-04,2.0757172024e-04,8.3203386748e-04,4.8010494232e+06,4.7898831367e+06,-6.2446214724e-04,1.0396055877e-03
11,4.7940440655e+06,5.5779933929e+03,6.6807017277e+00,5.0531301147e-04,2.9905635165e-04,8.3081069170e-04,4.7996220589e+06,4.7884660721e+06,-5.3175434005e-04,1.1298670433e-03
12,4.7921652317e+06,5.5702686310e+03,6.6805314905e+00,5.0481106174e-04,4.1973619955e-04,8.2919799024e-04,4.7977355003e+06,4.7865949631e+06,-4.0946179070e-04,1.2489341898e-03
13,4.7897428036e+06,5.5608272552e+03,6.6803119009e+00,5.0421030437e-04,5.7524073054e-04,8.2711872528e-04,4.7953036308e+06,4.7841819763e+06,-2.5187799474e-04,1.4023594558e-03
14,4.7866822243e+06,5.5486679077e+03,6.6800343049e+00,5.0342947801e-04,7.7171476551e-04,8.2449354704e-04,4.7922308922e+06,4.7811335564e+06,-5.2778781537e-05,1.5962083125e-03
15,4.7828829288e+06,5.5339336395e+03,6.6796894600e+00,5.0249147869e-04,1.0158398072e-03,8.2123273751e-04,4.7884168625e+06,4.7773489952e+06,1.9460706972e-04,1.8370725447e-03
16,4.7782370567e+06,5.5160522461e+03,6.6792674027e+00,5.0135480683e-04,1.3148527069e-03,8.1724222400e-04,4.7837531090e+06,4.7727210045e+06,4.9761048285e-04,2.1320949309e-03
17,4.7726283073e+06,5.4937362671e+03,6.6787573251e+00,4.9991330688e-04,1.6765812761e-03,8.1241928274e-04,4.7781220436e+06,4.7671345711e+06,8.6416199338e-04,2.4890005589e-03
18,4.7659346581e+06,5.4677009583e+03,6.6781477980e+00,4.9824296115e-04,2.1094919066e-03,8.0665509449e-04,4.7714023590e+06,4.7604669571e+06,1.3028368121e-03,2.9161470011e-03
19,4.7580245018e+06,5.4373741150e+03,6.6774263906e+00,4.9630316138e-04,2.6227381895e-03,7.9983315663e-04,4.7634618759e+06,4.7525871277e+06,1.8229050329e-03,3.4225713462e-03
20,4.7487605095e+06,5.4016113281e+03,6.6765799867e+00,4.9400069771e-04,3.2262442401e-03,7.9182453919e-04,4.7541621208e+06,4.7433588982e+06,2.4344197009e-03,4.0180687793e-03
21,4.7379949093e+06,5.3599834442e+03,6.6755943119e+00,4.9130745611e-04,3.9307867410e-03,7.8249897342e-04,4.7433548927e+06,4.7326349258e+06,3.1482877675e-03,4.7132857144e-03
22,4.7255732059e+06,5.3122043610e+03,6.6744542210e+00,4.8820786643e-04,4.7481199726e-03,7.7170878649e-04,4.7308854103e+06,4.7202610016e+06,3.9764111862e-03,5.5198287591e-03
23,4.7113288879e+06,5.2579879761e+03,6.6731431520e+00,4.8468620347e-04,5.6911120191e-03,7.5929751620e-04,4.7165868759e+06,4.7060709000e+06,4.9318145029e-03,6.4504095353e-03
24,4.6950858593e+06,5.1957607269e+03,6.6716432727e+00,4.8060700097e-04,6.7739344668e-03,7.4509740807e-04,4.7002816200e+06,4.6898900986e+06,6.0288370587e-03,7.5190318748e-03
25,4.6766540051e+06,5.1259517670e+03,6.6699349796e+00,4.7601842171e-04,8.0122856889e-03,7.2892359458e-04,4.6817799568e+06,4.6715280533e+06,7.2833620943e-03,8.7412092835e-03
26,4.6558309078e+06,5.0469875336e+03,6.6679969439e+00,4.7078163662e-04,9.4236736186e-03,7.1057444438e-04,4.6608778954e+06,4.6507839203e+06,8.7130991742e-03,1.0134248063e-02
27,4.6323975563e+06,4.9595832825e+03,6.6658055749e+00,4.6496883070e-04,1.1027778964e-02,6.8982737139e-04,4.6373571396e+06,4.6274379730e+06,1.0337951593e-02,1.1717606336e-02
28,4.6061140537e+06,4.8610210419e+03,6.6633344456e+00,4.5832894584e-04,1.2846906669e-02,6.6643673927e-04,4.6109750748e+06,4.6012530327e+06,1.2180469930e-02,1.3513343409e-02
29,4.5767204762e+06,4.7525882721e+03,6.6605541545e+00,4.5098310329e-04,1.4906561002e-02,6.4011663198e-04,4.5814730644e+06,4.5719678879e+06,1.4266444370e-02,1.5546677634e-02
30,4.5439280033e+06,4.6309947968e+03,6.6574312160e+00,4.4261620801e-04,1.7236199230e-02,6.1056017876e-04,4.5485589981e+06,4.5392970085e+06,1.6625639051e-02,1.7846759409e-02
31,4.5074172020e+06,4.4978141785e+03,6.6539275416e+00,4.3336936413e-04,1.9870193675e-02,5.7739764452e-04,4.5119150162e+06,4.5029193878e+06,1.9292796031e-02,2.0447591320e-02
32,4.4668305874e+06,4.3494701385e+03,6.6499992755e+00,4.2288406520e-04,2.2849102505e-02,5.4020155221e-04,4.4711800575e+06,4.4624811172e+06,2.2308900952e-02,2.3389304057e-02
33,4.4217604637e+06,4.1859626770e+03,6.6455950176e+00,4.1113512368e-04,2.6221361943e-02,4.9846898764e-04,4.4259464264e+06,4.4175745010e+06,2.5722892955e-02,2.6719830930e-02
34,4.3717450619e+06,4.0050029755e+03,6.6406546459e+00,3.9786198743e-04,3.0045594089e-02,4.5156758279e-04,4.3757500648e+06,4.3677400589e+06,2.9594026506e-02,3.0497161672e-02
