step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,loss_replica_2,cosine_similarity_replica_1,cosine_similarity_replica_2
1,2.0003117323e+00,5.3952932358e-03,3.0109610244e-01,1.1713933008e-03,1.5050958609e-05,8.3460364840e-04,1.9949164391e+00,2.0057070255e+00,-8.1955268979e-04,8.4965460701e-04
2,2.0003413558e+00,5.3957104683e-03,3.0110253385e-01,1.1714665394e-03,1.5059078578e-05,8.3461153554e-04,1.9949456453e+00,2.0057370663e+00,-8.1955245696e-04,8.4967061412e-04
3,2.0003758073e+00,5.3965449333e-03,3.0111001312e-01,1.1716275327e-03,1.5135476133e-05,8.3462751354e-04,1.9949792624e+00,2.0057723522e+00,-8.1949203741e-04,8.4976298967e-04
4,2.0003727078e+00,5.3974986076e-03,3.0110933965e-01,1.1718363988e-03,1.5387893654e-05,8.3464698400e-04,1.9949752092e+00,2.0057702065e+00,-8.1925909035e-04,8.5003487766e-04
5,2.0002707243e+00,5.3988695145e-03,3.0108719680e-01,1.1721937955e-03,1.5971163521e-05,8.3466692013e-04,1.9948718548e+00,2.0056695938e+00,-8.1869575661e-04,8.5063808365e-04
6,1.9999903440e+00,5.4000616074e-03,3.0102631583e-01,1.1726169899e-03,1.7084821593e-05,8.3468412049e-04,1.9945902824e+00,2.0053904057e+00,-8.1759929890e-04,8.5176894208e-04
7,1.9994333982e+00,5.4010152817e-03,3.0090535772e-01,1.1731507740e-03,1.8979684683e-05,8.3469194942e-04,1.9940323830e+00,2.0048344135e+00,-8.1571226474e-04,8.5367163410e-04
8,1.9984838367e+00,5.4014325142e-03,3.0069905387e-01,1.1737988591e-03,2.1956104320e-05,8.3468487719e-04,1.9930824041e+00,2.0038852692e+00,-8.1272877287e-04,8.5664098151e-04
9,1.9970074892e+00,5.4014921188e-03,3.0037810494e-01,1.1746795916e-03,2.6361551136e-05,8.3465373609e-04,1.9916059971e+00,2.0024089813e+00,-8.0829218496e-04,8.6101528723e-04
10,1.9948516488e+00,5.4001212120e-03,2.9990901277e-01,1.1756506175e-03,3.2596290112e-05,8.3458999870e-04,1.9894515276e+00,2.0002517700e+00,-8.0199370859e-04,8.6718628881e-04
11,1.9918478131e+00,5.3978562355e-03,2.9925455842e-01,1.1769297335e-03,4.1114195483e-05,8.3448461373e-04,1.9864499569e+00,1.9972456694e+00,-7.9337041825e-04,8.7559880922e-04
12,1.9878091812e+00,5.3935050964e-03,2.9837309354e-01,1.1783702741e-03,5.2421994042e-05,8.3432410611e-04,1.9824156761e+00,1.9932026863e+00,-7.8190211207e-04,8.8674610015e-04
