step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,loss_replica_2,loss_replica_3,cosine_similarity_replica_1,cosine_similarity_replica_2,cosine_similarity_replica_3
26,5.9366412958e-01,6.0323589909e-02,-2.2861266478e-01,4.2798480538e-02,3.6607274413e-01,4.7582273953e-03,5.5683881044e-01,6.7872005701e-01,5.4543352127e-01,3.6518663168e-01,3.7229266763e-01,3.6073893309e-01
27,6.3866559664e-01,1.0136393221e-01,-1.9995884823e-01,6.6630149019e-02,3.6118058364e-01,2.7524658090e-04,5.9440344572e-01,7.7887552977e-01,5.4271781445e-01,3.6102280021e-01,3.6095130444e-01,3.6156764627e-01
28,6.9566857815e-01,1.4562498591e-01,-1.6674091289e-01,8.8170467093e-02,3.5219730934e-01,8.0165020905e-03,6.4328056574e-01,8.9434903860e-01,5.4937613010e-01,3.5496884584e-01,3.4129127860e-01,3.6033180356e-01
29,7.5743788481e-01,1.8561208303e-01,-1.3333788988e-01,1.0418376268e-01,3.4321797887e-01,1.5847316714e-02,7.0220011473e-01,1.0072939396e+00,5.6281960011e-01,3.4854313731e-01,3.2170233130e-01,3.5940846801e-01
30,8.3200709025e-01,2.2811482809e-01,-9.5962918961e-02,1.1774123874e-01,3.2925187548e-01,2.7321500707e-02,7.7363240719e-01,1.1359649897e+00,5.8642387390e-01,3.3964049816e-01,2.9182785749e-01,3.5628727078e-01
31,9.2705154419e-01,2.9248613005e-01,-5.4291822566e-02,1.3589938642e-01,3.1706972917e-01,3.7331783448e-02,8.4940260649e-01,1.3177285194e+00,6.1402350664e-01,3.3122172952e-01,2.6594507694e-01,3.5404238105e-01
32,9.7900664806e-01,2.8655973166e-01,-2.8200097042e-02,1.2906885146e-01,3.1072598696e-01,3.5588400901e-02,9.3567693233e-01,1.3496222496e+00,6.5172076225e-01,3.1915110350e-01,2.6354175806e-01,3.4948509932e-01
33,1.0231099129e+00,2.7343293386e-01,-6.3962112120e-03,1.2058133814e-01,3.1134666006e-01,2.7341819216e-02,1.0179885626e+00,1.3605268002e+00,6.9081437588e-01,3.0851149559e-01,2.7936762571e-01,3.4616085887e-01
34,1.0861143470e+00,2.7493280902e-01,2.0914810159e-02,1.1605558153e-01,3.0242560307e-01,2.8182150785e-02,1.1096069813e+00,1.4104753733e+00,7.3826068640e-01,2.9406908154e-01,2.7285513282e-01,3.4035259485e-01
35,1.1246978045e+00,2.5477930933e-01,3.8725162996e-02,1.0592154484e-01,3.0061383049e-01,2.5342700256e-02,1.1946859360e+00,1.3958001137e+00,7.8360736370e-01,2.8106945753e-01,2.8436887264e-01,3.3640316129e-01
36,1.1758107344e+00,2.4461489270e-01,5.9805500505e-02,9.8269153715e-02,2.9271027446e-01,2.7400708083e-02,1.2856066227e+00,1.4050136805e+00,8.3681190014e-01,2.6535078883e-01,2.8262466192e-01,3.3015537262e-01
37,1.2033694585e+00,2.2449290583e-01,7.1937520993e-02,8.8051107532e-02,2.9143995047e-01,2.8240851952e-02,1.3534958363e+00,1.3705708981e+00,8.8604164124e-01,2.5593000650e-01,2.9336452484e-01,3.2502532005e-01
38,1.2431498766e+00,2.1455766716e-01,8.7372431061e-02,8.0713666226e-02,2.8569622835e-01,2.9439956795e-02,1.4168269634e+00,1.3717868328e+00,9.4083583355e-01,2.4689602852e-01,2.9202058911e-01,3.1817206740e-01
39,1.2597199281e+00,1.9314553727e-01,9.4786122914e-02,7.0256992533e-02,2.8599256277e-01,2.8750679479e-02,1.4477887154e+00,1.3372384310e+00,9.9413263798e-01,2.4572682381e-01,3.0123615265e-01,3.1101471186e-01
40,1.2819279830e+00,1.7472976864e-01,1.0362322441e-01,6.1432276744e-02,2.8385988375e-01,2.6416385837e-02,1.4675455093e+00,1.3303825855e+00,1.0478558540e+00,2.4652503431e-01,3.0137842894e-01,3.0367618799e-01
41,1.2892468373e+00,1.4989468996e-01,1.0735091053e-01,5.1134335300e-02,2.8554608425e-01,2.5123774901e-02,1.4684388638e+00,1.2977339029e+00,1.1015677452e+00,2.5087341666e-01,3.0960258842e-01,2.9616224766e-01
42,1.3050380548e+00,1.3221788823e-01,1.1340569845e-01,4.3829995556e-02,2.8375124931e-01,2.4014816898e-02,1.4746969938e+00,1.2882838249e+00,1.1521333456e+00,2.5229215622e-01,3.1056281924e-01,2.8839877248e-01
43,1.3033080896e+00,1.0891023611e-01,1.1356981948e-01,3.5582043646e-02,2.8616928061e-01,2.3796388531e-02,1.4534327984e+00,1.2580633163e+00,1.1984281540e+00,2.5906288624e-01,3.1699484587e-01,2.8245010972e-01
44,1.3100112677e+00,9.5617206086e-02,1.1615337306e-01,3.0966363306e-02,2.8516875704e-01,2.4521136069e-02,1.4451285601e+00,1.2470854521e+00,1.2378197908e+00,2.6116552949e-01,3.1884554029e-01,2.7549520135e-01
45,1.3063288132e+00,8.3473609774e-02,1.1517876976e-01,2.7446229730e-02,2.8784400225e-01,2.6292103757e-02,1.4185090065e+00,1.2184036970e+00,1.2820737362e+00,2.6764491200e-01,3.2497888803e-01,2.7090820670e-01
46,1.3075089852e+00,8.2069208775e-02,1.1558603099e-01,2.7334627980e-02,2.8782214721e-01,2.7438312684e-02,1.4075620174e+00,1.2065405846e+00,1.3084243536e+00,2.6952818036e-01,3.2660508156e-01,2.6733317971e-01
47,1.2976169984e+00,8.6513865437e-02,1.1215422479e-01,2.9558348694e-02,2.9148414731e-01,2.9410921967e-02,1.3809051514e+00,1.1783566475e+00,1.3335891962e+00,2.7516514063e-01,3.3277627826e-01,2.6651102304e-01
48,1.2910976807e+00,8.8723957053e-02,1.0989954107e-01,3.0580792773e-02,2.9304797451e-01,2.9210402369e-02,1.3686224222e+00,1.1668932438e+00,1.3377773762e+00,2.7687364817e-01,3.3405420184e-01,2.6821607351e-01
49,1.2745332718e+00,9.5244605780e-02,1.0409037074e-01,3.3408508507e-02,2.9772908489e-01,3.0296598894e-02,1.3404477835e+00,1.1398471594e+00,1.3433048725e+00,2.8316766024e-01,3.3990678191e-01,2.7011281252e-01
50,1.2634807030e+00,9.5858785651e-02,1.0026832293e-01,3.3932145161e-02,2.9988930623e-01,2.9540126178e-02,1.3280184269e+00,1.1279668808e+00,1.3344568014e+00,2.8440916538e-01,3.4123298526e-01,2.7402576804e-01
51,1.2460480134e+00,1.0182771358e-01,9.4023978367e-02,3.6588657362e-02,3.0435114106e-01,3.0382688882e-02,1.3037534952e+00,1.1029329300e+00,1.3314576149e+00,2.9007521272e-01,3.4658625722e-01,2.7639195323e-01
52,1.2303411961e+00,9.9347246864e-02,8.8551777333e-02,3.6130405169e-02,3.0701254805e-01,2.9280677188e-02,1.2855889797e+00,1.0908442736e+00,1.3145903349e+00,2.9217070341e-01,3.4791222215e-01,2.8095471859e-01
53,1.2125487725e+00,1.0424070321e-01,8.2026509680e-02,3.8503697298e-02,3.1119917830e-01,3.0235680591e-02,1.2658426762e+00,1.0668681860e+00,1.3049354553e+00,2.9666426778e-01,3.5329258442e-01,2.8364068270e-01
54,1.1952169339e+00,1.0052517607e-01,7.5846327474e-02,3.7658876563e-02,3.1385173400e-01,2.8967711484e-02,1.2482801676e+00,1.0544654131e+00,1.2829052210e+00,2.9869112372e-01,3.5439124703e-01,2.8847283125e-01
55,1.1781986952e+00,1.0438438190e-01,6.9442666395e-02,3.9669835381e-02,3.1759255131e-01,2.9650361766e-02,1.2273023129e+00,1.0330824852e+00,1.2742112875e+00,3.0320969224e-01,3.5889506340e-01,2.9067289829e-01
56,1.1596373320e+00,1.0049869025e-01,6.2622382079e-02,3.8813939434e-02,3.2073340813e-01,2.8666579809e-02,1.2099728584e+00,1.0193620920e+00,1.2495770454e+00,3.0532765388e-01,3.6091175675e-01,2.9596081376e-01
57,1.1423784296e+00,1.0330347973e-01,5.5959992838e-02,4.0489096912e-02,3.2425780098e-01,2.9130402089e-02,1.1889190674e+00,9.9917942286e-01,1.2390367985e+00,3.0996948481e-01,3.6486467719e-01,2.9793924093e-01
58,1.1247171362e+00,9.9446440993e-02,4.9273461044e-02,3.9608300703e-02,3.2710243265e-01,2.8123194285e-02,1.1730110645e+00,9.8617976904e-01,1.2149605751e+00,3.1151959300e-01,3.6658379436e-01,3.0320391059e-01
