lambda	m_w	m_x	m_y
0.1	6.0571252031532995e-15	6.0571252031532995e-15	3.66887657266749e-29
0.2	5.561737273421732e-14	5.561737273421732e-14	3.09329214985686e-27
0.4	4.467864905106274e-13	4.467864905106274e-13	1.9961816810280293e-25
0.8	0.15370879821098446	0.15370879821098446	0.02362639464746514
1.	0.38196601124792384	0.38196601124792384	0.14589803374864907
2.	0.7928932188120141	0.7928932188120141	0.6286796564380766
3.	0.8990747874210414	0.8990747874210414	0.8083354733761908
5.	0.9614835192849298	0.9614835192849298	0.924450557856534
8.	0.9846117967964825	0.9846117967964825	0.9694603903907977
10.	0.9900980486391839	0.9900980486391839	0.9802941459191198
15.	0.9955751349841383	0.9955751349841383	0.9911698493986852
20.	0.9975062189420367	0.9975062189420367	0.9950186568280385
30.	0.9988901207195696	0.9988901207195696	0.9977814732711564
40.	0.999375390136127	0.999375390136127	0.998751170409736
50.	0.9996001598707647	0.9996001598707647	0.9992004796136583
60.	0.9997222993385109	0.9997222993385109	0.9994446757946791
80.	0.9998437744050628	0.9998437744050628	0.9996875732165621
100.	0.999900009996625	0.999900009996625	0.9998000299912507
120.	0.9999305603760397	0.9999305603760397	0.9998611255739407
240.	0.9999826391889074	0.9999826391889074	0.9999652786792126
480.	0.9999956597396801	0.9999956597396801	0.999991319498198
960.	0.9999989149303528	0.9999989149303528	0.9999978298618829
