lambda	m_w	m_x	m_y
0.1	9.830735744020708e-16	9.830735744020708e-16	9.664336526876639e-31
0.2	3.8031790711842367e-14	3.8031790711842367e-14	1.4464171047493792e-27
0.4	1.9311612929149498e-13	1.9311612929149498e-13	3.7293839392529406e-26
0.8	1.0434292286503887e-12	1.0434292286503887e-12	1.0887445552019452e-24
1.	1.7029456827956886e-12	1.7029456827956886e-12	2.900023998552474e-24
2.	0.11690481050647959	0.11690481050647959	0.0136667347195559
3.	0.25154586509296895	0.25154586509296895	0.06327532224537014
5.	0.3394448724489878	0.3394448724489878	0.1152228214319096
8.	0.3749999999959757	0.3749999999959757	0.1406249999969818
10.	0.3837722339787063	0.3837722339787063	0.1472811275730069
15.	0.39268185141933243	0.39268185141933243	0.15419903643411467
20.	0.3958618734805943	0.3958618734805943	0.15670662287556605
30.	0.3981538287240504	0.3981538287240504	0.1585264713276205
40.	0.39896013552541215	0.39896013552541215	0.15916918973845523
50.	0.3993340724277243	0.3993340724277243	0.15946770140171093
60.	0.39953739370732605	0.39953739370732605	0.15963012897044287
80.	0.3997396962593667	0.3997396962593667	0.15979182476553072
100.	0.39983337959989396	0.39983337959989396	0.1598667314422729
120.	0.39988428157314376	0.39988428157314376	0.15990743864926932
240.	0.39997106620604317	0.39997106620604317	0.15997685380199897
480.	0.3999927662868676	0.3999927662868676	0.15999421308182069
960.	0.3999981915523293	0.3999981915523293	0.15999855324513393
