lambda	m_w	m_x	m_y
0.1	5.709256473727019e-15	5.709256473727019e-15	3.2595609482793875e-29
0.2	2.5273788078957077e-14	2.5273788078957077e-14	6.387643638600329e-28
0.4	1.2805464360802877e-13	1.2805464360802877e-13	1.6397991749579263e-26
0.8	2.1195477806507815e-12	2.1195477806507815e-12	4.492482794461653e-24
1.	8.880758023118156e-12	8.880758023118156e-12	7.88678630651775e-23
2.	0.39009804863785064	0.39009804863785064	0.1521764875510589
3.	0.5519897830327352	0.5519897830327352	0.30469272057252605
5.	0.6763932022457835	0.6763932022457835	0.4575077640443054
8.	0.7399218940578216	0.7399218940578216	0.5474844093061142
10.	0.7585786437557638	0.7585786437557638	0.5754415587623339
15.	0.7798149574764639	0.7798149574764639	0.6081113679040192
20.	0.7881966011159619	0.7881966011159619	0.6212538820107547
30.	0.7945907446518122	0.7945907446518122	0.6313744514863214
40.	0.7969223593504686	0.7969223593504686	0.6350852468327175
50.	0.798019609718748	0.798019609718748	0.6368352974956628
60.	0.7986206244853582	0.7986206244853582	0.6377949018533835
80.	0.7992217781363011	0.7992217781363011	0.638755450647351
100.	0.7995012437791733	0.7995012437791733	0.6392022388044452
120.	0.7996533785001378	0.7996533785001378	0.6394455257466847
240.	0.7999132320782517	0.7999132320782517	0.639861178853875
480.	0.7999783009556753	0.7999783009556753	0.6399652819999291
960.	0.7999945747902322	0.7999945747902322	0.6399913196938044
