replica,seed,runtime_sec,initial_loss,final_loss,final_mse,estimated_convergence_step,cosine_similarity
1,42,9.1389,1.0027930000e+07,1.0015326208e+10,1.0015326538e+03,,-2.6569196489e-03
2,1042,8.4117,1.0027918000e+07,1.0013078528e+10,1.0013078613e+03,,-1.5355963260e-03
3,2042,8.8596,1.0027916000e+07,1.0009449472e+10,1.0009449463e+03,,3.0685003730e-04
