step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,mse_mean,mse_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,loss_replica_2,loss_replica_3,mse_replica_1,mse_replica_2,mse_replica_3,cosine_similarity_replica_1,cosine_similarity_replica_2,cosine_similarity_replica_3
0,1.0027921333e+07,6.1824123303e+00,7.0012109184e+00,2.6775110517e-07,1.0027921200e+00,6.8133784133e-07,-3.2239236680e-04,7.2508971102e-04,1.0027930000e+07,1.0027918000e+07,1.0027916000e+07,1.0027930737e+00,1.0027917624e+00,1.0027915239e+00,3.9439278771e-04,-1.3158415677e-03,-4.5728320401e-05
5,3.3471949383e+09,4.7103193061e+09,8.1450467756e+00,1.3119139016e+00,3.3471947833e+02,4.7103190869e+02,1.4616142881e-02,9.9585739616e-03,1.6467475000e+07,1.6524956000e+07,1.0008592384e+10,1.6467474699e+00,1.6524956226e+00,1.0008591919e+03,2.2808080539e-02,2.0441308618e-02,5.9903948568e-04
10,6.6401685420e+09,4.6858963394e+09,9.0435110607e+00,1.3498046286e+00,6.6401684181e+02,4.6858962486e+02,1.2012064922e-02,1.6318633499e-02,1.3633306000e+07,9.8967808000e+09,1.0010091520e+10,1.3633306026e+00,9.8967810059e+02,1.0010090942e+03,3.5082876682e-02,9.7659148742e-04,-2.3273403713e-05
15,6.6793264327e+09,4.7148114707e+09,9.0215741627e+00,1.3845133552e+00,6.6793265601e+02,4.7148115609e+02,1.3751797281e-02,2.1707779736e-02,1.1576482000e+07,1.0011264000e+10,1.0015138816e+10,1.1576482058e+00,1.0011264038e+03,1.0015139160e+03,4.4429630041e-02,-5.8988068486e-04,-2.5843575131e-03
20,9.7007639893e+09,4.3854101806e+08,9.9863519956e+00,1.9967791476e-02,9.7007639567e+02,4.3854071980e+01,-2.4772833664e-04,4.1112313934e-04,9.0805739520e+09,1.0011617280e+10,1.0010100736e+10,9.0805743408e+02,1.0011616821e+03,1.0010100708e+03,1.8279816140e-04,-8.0139748752e-04,-1.2458568381e-04
25,1.0010812757e+10,1.1313074061e+06,1.0000469336e+01,4.9079224258e-05,1.0010812581e+03,1.1314263395e-01,-4.3231391949e-04,5.5281529441e-04,1.0010876928e+10,1.0012165120e+10,1.0009396224e+10,1.0010877075e+03,1.0012164917e+03,1.0009395752e+03,-4.2150731315e-04,-1.1147102341e-03,2.3927578877e-04
30,1.0008593749e+10,4.3975132336e+06,1.0000373020e+01,1.9084418273e-04,1.0008593547e+03,4.3976407200e-01,6.7586059837e-05,1.4447103398e-03,1.0010846208e+10,1.0012487680e+10,1.0002447360e+10,1.0010846558e+03,1.0012487183e+03,1.0002446899e+03,-5.2354257787e-04,-1.3305754401e-03,2.0568761975e-03
35,1.0013166933e+10,1.2677131948e+06,1.0000571453e+01,5.4985968466e-05,1.0013166911e+03,1.2679743227e-01,-1.6361801148e-03,6.6361337790e-04,1.0014255104e+10,1.0013856768e+10,1.0011388928e+10,1.0014255371e+03,1.0013856812e+03,1.0011388550e+03,-2.2824148182e-03,-1.9024349749e-03,-7.2369055124e-04
40,1.0008156501e+10,7.6905801138e+05,1.0000354087e+01,3.3373112858e-05,1.0008156535e+03,7.6907789901e-02,7.0214735266e-04,4.8094216479e-04,1.0008952832e+10,1.0008399872e+10,1.0007116800e+10,1.0008952637e+03,1.0008400269e+03,1.0007116699e+03,5.4868607549e-04,2.0503543783e-04,1.3527205447e-03
45,1.0009252181e+10,1.8191932482e+06,1.0000401624e+01,7.8937958359e-05,1.0009252523e+03,1.8190754201e-01,3.4784545763e-04,9.1899322963e-04,1.0010143744e+10,1.0010896384e+10,1.0006716416e+10,1.0010144043e+03,1.0010896606e+03,1.0006716919e+03,-5.9163932747e-05,-5.1756534958e-04,1.6202656552e-03
50,1.0005833387e+10,4.9639636430e+06,1.0000253213e+01,2.1547434064e-04,1.0005833333e+03,4.9638790845e-01,5.2129733376e-04,8.9872683879e-04,9.9992637440e+09,1.0011260928e+10,1.0006975488e+10,9.9992639160e+02,1.0011260986e+03,1.0006975098e+03,6.5184908453e-04,-6.3886761200e-04,1.5509105287e-03
55,1.0008440491e+10,3.3618209902e+06,1.0000366387e+01,1.4589592478e-04,1.0008440959e+03,3.3616824813e-01,2.6028456826e-04,1.0688482193e-03,1.0003695616e+10,1.0010553344e+10,1.0011072512e+10,1.0003696289e+03,1.0010553589e+03,1.0011072998e+03,1.7507082084e-03,-2.6667784550e-04,-7.0317665813e-04
60,1.0010743125e+10,7.4266493725e+05,1.0000466316e+01,3.2218157881e-05,1.0010743408e+03,7.4282685565e-02,-4.1146223278e-04,2.9578742322e-04,1.0010362880e+10,1.0011781120e+10,1.0010085376e+10,1.0010363159e+03,1.0011781616e+03,1.0010085449e+03,-1.6384426272e-04,-8.2724605454e-04,-2.4329638109e-04
65,1.0011870208e+10,1.3893263794e+06,1.0000515207e+01,6.0268882105e-05,1.0011870321e+03,1.3891666221e-01,-9.4066782670e-04,6.8212737581e-04,1.0012626944e+10,1.0013062144e+10,1.0009921536e+10,1.0012626953e+03,1.0013062134e+03,1.0009921875e+03,-1.3244176516e-03,-1.5152775450e-03,1.7691716494e-05
