step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,mse_mean,mse_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,loss_replica_2,loss_replica_3,mse_replica_1,mse_replica_2,mse_replica_3,cosine_similarity_replica_1,cosine_similarity_replica_2,cosine_similarity_replica_3
0,1.2064240104e+05,4.0846418503e-01,5.0814999720e+00,1.4704078731e-06,1.0053533316e+00,3.3843683163e-06,-8.0198719030e-03,8.9955920155e-03,1.2064207031e+05,1.2064215625e+05,1.2064297656e+05,1.0053505898e+00,1.0053513050e+00,1.0053580999e+00,-3.1363202725e-03,-2.8843749897e-04,-2.0634857938e-02
5,1.7949540625e+05,1.8984893071e+03,5.2540291588e+00,4.5774691363e-03,1.4957950115e+00,1.5820694976e-02,1.0907583684e-01,1.0384937145e-02,1.7841778125e+05,1.7790456250e+05,1.8216387500e+05,1.4868147373e+00,1.4825381041e+00,1.5180321932e+00,1.0638958216e-01,1.2292329967e-01,9.7914628685e-02
10,1.3112964062e+05,2.0476738469e+03,5.1176478417e+00,6.7893032487e-03,1.0927469730e+00,1.7063950000e-02,2.1316808959e-01,1.1321869860e-02,1.3130021875e+05,1.2854082812e+05,1.3354787500e+05,1.0941684246e+00,1.0711735487e+00,1.1128989458e+00,2.0897340775e-01,2.2864753008e-01,2.0188333094e-01
15,1.0053969531e+05,1.9745259831e+03,5.0022539354e+00,8.5197059941e-03,8.3783076207e-01,1.6454393893e-02,3.0702132980e-01,1.3482447466e-02,1.0036019531e+05,9.8216156250e+04,1.0304273438e+05,8.3633494377e-01,8.1846791506e-01,8.5868942738e-01,3.0683478713e-01,3.2362636924e-01,2.9060283303e-01
20,8.1182109375e+04,2.2996858410e+03,4.9092882733e+00,1.2185886493e-02,6.7651756605e-01,1.9164057709e-02,3.8394243519e-01,1.6719927508e-02,7.9718656250e+04,7.9398570312e+04,8.4429101562e+04,6.6432207823e-01,6.6165477037e-01,7.0357584953e-01,3.9191609621e-01,3.9923381805e-01,3.6067739129e-01
25,6.7412834635e+04,1.8403691506e+03,4.8285810789e+00,1.1838233581e-02,5.6177361806e-01,1.5336413583e-02,4.5154694716e-01,1.6453278844e-02,6.5251386719e+04,6.7237953125e+04,6.9749164062e+04,5.4376155138e-01,5.6031626463e-01,5.8124303818e-01,4.6393075585e-01,4.6241512895e-01,4.2829495668e-01
30,5.7507773438e+04,2.5637137913e+03,4.7592910432e+00,1.9493522085e-02,4.7923146685e-01,2.1364286814e-02,5.0713159641e-01,1.9797780095e-02,5.4167781250e+04,5.7956179688e+04,6.0399359375e+04,4.5139819384e-01,4.8296818137e-01,5.0332802534e-01,5.2740985155e-01,5.1371139288e-01,4.8027354479e-01
35,4.9802261719e+04,2.4364022276e+03,4.6967222163e+00,2.1464527409e-02,4.1501885653e-01,2.0303347453e-02,5.5544737975e-01,2.0075067013e-02,4.6556992188e+04,5.0422273438e+04,5.2427519531e+04,3.8797494769e-01,4.2018562555e-01,4.3689599633e-01,5.7941573858e-01,5.5664086342e-01,5.3028553724e-01
40,4.3655299479e+04,1.5642017757e+03,4.6397540336e+00,1.5734150986e-02,3.6379415790e-01,1.3035009483e-02,5.9611086051e-01,1.6974860828e-02,4.1487675781e+04,4.4356820312e+04,4.5121402344e+04,3.4573063254e-01,3.6964017153e-01,3.7601166964e-01,6.1709231138e-01,5.9572225809e-01,5.7551801205e-01
45,3.8653031250e+04,1.5376276006e+03,4.5868331247e+00,1.7531145145e-02,3.2210859656e-01,1.2813565229e-02,6.3065026204e-01,1.5006040945e-02,3.6480875000e+04,3.9651070312e+04,3.9827148438e+04,3.0400729179e-01,3.3042559028e-01,3.3189290762e-01,6.4958941936e-01,6.2947243452e-01,6.1288893223e-01
50,3.4485420573e+04,1.3201219732e+03,4.5373112167e+00,1.6862538727e-02,2.8737849991e-01,1.1001016439e-02,6.6141239802e-01,1.2250790159e-02,3.2618605469e+04,3.5437105469e+04,3.5400550781e+04,2.7182170749e-01,2.9530921578e-01,2.9500457644e-01,6.7698365450e-01,6.6020512581e-01,6.4704841375e-01
55,3.0978479818e+04,1.1837943025e+03,4.4907369401e+00,1.6832516966e-02,2.5815399985e-01,9.8649543252e-03,6.8737989664e-01,1.1604293986e-02,2.9304455078e+04,3.1798630859e+04,3.1832353516e+04,2.4420379102e-01,2.6498860121e-01,2.6526960731e-01,7.0169144869e-01,6.8717926741e-01,6.7326897383e-01
60,2.7983921875e+04,1.0001619828e+03,4.4466262861e+00,1.5726801430e-02,2.3319935302e-01,8.3346821878e-03,7.1020998557e-01,9.5203175764e-03,2.6570712891e+04,2.8639376953e+04,2.8741675781e+04,2.2142261267e-01,2.3866148293e-01,2.3951396346e-01,7.2251719236e-01,7.0878440142e-01,6.9932836294e-01
65,2.5496780599e+04,8.3157093286e+02,4.4062506693e+00,1.4333302777e-02,2.1247317394e-01,6.9297648063e-03,7.3109434048e-01,8.2157079525e-03,2.4322535156e+04,2.6139814453e+04,2.6027992188e+04,2.0268778503e-01,2.1783179045e-01,2.1689994633e-01,7.4237591028e-01,7.2786009312e-01,7.2304701805e-01
70,2.3198093750e+04,6.9541726921e+02,4.3652542693e+00,1.3162965243e-02,1.9331744313e-01,5.7951474590e-03,7.4963186185e-01,7.1360573566e-03,2.2214644531e+04,2.3684480469e+04,2.3695156250e+04,1.8512202799e-01,1.9737066329e-01,1.9745963812e-01,7.5937062502e-01,7.4705427885e-01,7.4247068167e-01
75,2.1190053385e+04,5.2557054666e+02,4.3259969870e+00,1.0860858344e-02,1.7658377687e-01,4.3797491113e-03,7.6657430331e-01,6.6811147232e-03,2.0454523438e+04,2.1650464844e+04,2.1465171875e+04,1.7045436800e-01,1.8042053282e-01,1.7887642980e-01,7.7584892511e-01,7.6349967718e-01,7.6037430763e-01
80,1.9536431641e+04,2.8741040732e+02,4.2907979227e+00,6.4219238856e-03,1.6280359526e-01,2.3950936029e-03,7.8160289923e-01,5.9844211351e-03,1.9131531250e+04,1.9769685547e+04,1.9708078125e+04,1.5942941606e-01,1.6474738717e-01,1.6423398256e-01,7.8989964724e-01,7.7890121937e-01,7.7600783110e-01
85,1.7992203125e+04,2.3486247238e+02,4.2550474709e+00,5.6545475826e-03,1.4993502696e-01,1.9571959867e-03,7.9504670699e-01,4.9155035377e-03,1.7744285156e+04,1.8307585938e+04,1.7924738281e+04,1.4786903560e-01,1.5256322920e-01,1.4937281609e-01,8.0180907249e-01,7.9306054115e-01,7.9027050734e-01
90,1.6594591146e+04,1.9660691190e+02,4.2199362174e+00,5.1275108129e-03,1.3828825951e-01,1.6383938355e-03,8.0807002385e-01,3.5853623999e-03,1.6502912109e+04,1.6867757812e+04,1.6413103516e+04,1.3752427697e-01,1.4056465030e-01,1.3677585125e-01,8.1287097931e-01,8.0708211660e-01,8.0425697565e-01
95,1.5306841797e+04,1.8726505306e+02,4.1848531900e+00,5.3012296291e-03,1.2755701939e-01,1.5605411492e-03,8.1933027506e-01,3.0900784099e-03,1.5256867188e+04,1.5557060547e+04,1.5106597656e+04,1.2714056671e-01,1.2964217365e-01,1.2588831782e-01,8.2357192039e-01,8.1812006235e-01,8.1629884243e-01
100,1.4211333659e+04,2.0372137736e+02,4.1525904651e+00,6.1992551438e-03,1.1842778077e-01,1.6976763792e-03,8.3012940486e-01,3.1264356184e-03,1.4114248047e+04,1.4494790039e+04,1.4024962891e+04,1.1761873215e-01,1.2078991532e-01,1.1687469482e-01,8.3447438478e-01,8.2866597176e-01,8.2724785805e-01
105,1.3350736979e+04,1.9647574886e+02,4.1254583182e+00,6.3803876079e-03,1.1125613997e-01,1.6372990979e-03,8.3899140358e-01,3.1622947811e-03,1.3317634766e+04,1.3606207031e+04,1.3128369141e+04,1.1098028719e-01,1.1338505894e-01,1.0940307379e-01,8.4335732460e-01,8.3764761686e-01,8.3596926928e-01
