replica,seed,runtime_sec,initial_loss,final_loss,final_mse,estimated_convergence_step,cosine_similarity
1,42,3.1002,1.2064207031e+05,6.2529556274e+01,5.2107963711e-04,,9.9930554628e-01
2,1042,2.9138,1.2064215625e+05,6.0541149139e+01,5.0450954586e-04,,9.9936091900e-01
3,2042,2.8840,1.2064297656e+05,6.0579627991e+01,5.0483027007e-04,,9.9935579300e-01
