alpha,Q_Y_mean_sigmaInit0.0,Q_Y_std_sigmaInit0.0,Q_Y_mean_sigmaInit0.1,Q_Y_std_sigmaInit0.1,Q_Y_mean_sigmaInit0.5,Q_Y_std_sigmaInit0.5,Q_Y_mean_sigmaInit1.0,Q_Y_std_sigmaInit1.0
1.5,0.9796408414840698,0.002623011776317816,0.9772287249565125,0.002569358687625983,0.9201203465461731,0.0029372393541059966,0.7605547785758973,0.005659520852167899
1.75,0.9343650102615356,0.002943916764251875,0.9336924195289612,0.0027999146495926224,0.9143264532089234,0.0031224437229679172,0.8401622176170349,0.004185742750244171
2.0,0.9115267395973206,0.0032675548641925454,0.9113028883934021,0.0033275731511116877,0.9079228639602661,0.003059739111529625,0.8923600077629089,0.00464090750925359
2.25,0.9432163238525391,0.0020769074101412753,0.943205201625824,0.0021088384339068744,0.9429051160812378,0.00238751555454389,0.9421321153640747,0.0031105398825449367
2.5,0.9772311449050903,0.003702839657309007,0.9772308826446533,0.003703284292582948,0.9772297739982605,0.003705163873142167,0.9772288084030152,0.003706157831133436
2.75,0.9873872876167298,0.003316481289767699,0.9873871803283691,0.00331653253135068,0.9873869776725769,0.003316717619756847,0.9873868584632873,0.003316857346859306
3.0,0.9904760360717774,0.0032323726959438952,0.9904760837554931,0.003232320506724568,0.990476107597351,0.0032322911035899864,0.9904760837554931,0.003232320506724568
3.25,0.9925427317619324,0.003085362473733487,0.9925428628921509,0.003085206980935529,0.9925428628921509,0.003085240594884333,0.9925426602363586,0.00308544044621624
3.5,0.994418740272522,0.0031706903137858826,0.9944163799285889,0.0031696176883518564,0.9944163680076599,0.0031695484073296543,0.9944178223609924,0.003170641975343462
