replica,seed,runtime_sec,final_loss,estimated_convergence_step,qy
1,42,481.6331,4.3889825439e+02,276,1.4290876687e-01
2,1042,475.0197,2.3510880768e-01,488,8.1596034765e-01
3,2042,471.0839,9.2679382324e+02,225,1.1499565095e-01
4,3042,470.5139,2.3875255883e-01,184,8.1490534544e-01
5,4042,470.3124,2.9038027954e+02,171,2.0076493919e-01
