step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,replica_1,replica_2,replica_3,replica_4,replica_5
34,2.6400355101e-01,1.2886554132e-02,-5.7890003913e-01,2.0966317114e-02,2.7104565501e-01,2.4895745516e-01,2.6041060686e-01,2.5440418720e-01,2.8519985080e-01
35,2.6367329955e-01,1.2831126280e-02,-5.7944060332e-01,2.0904016404e-02,2.7079677582e-01,2.4888822436e-01,2.6023316383e-01,2.5372597575e-01,2.8472235799e-01
36,2.6359250247e-01,1.2753288251e-02,-5.7956738552e-01,2.0768086242e-02,2.7052092552e-01,2.4917028844e-01,2.5996020436e-01,2.5362911820e-01,2.8468197584e-01
37,2.6307757795e-01,1.2733302048e-02,-5.8041673584e-01,2.0768225056e-02,2.6979452372e-01,2.4864356220e-01,2.5935783982e-01,2.5333651900e-01,2.8425544500e-01
38,2.6222513020e-01,1.2749979553e-02,-5.8183088775e-01,2.0864626335e-02,2.6869058609e-01,2.4748380482e-01,2.5864964724e-01,2.5280985236e-01,2.8349176049e-01
39,2.6118582487e-01,1.2795382422e-02,-5.8356318943e-01,2.1020237544e-02,2.6758956909e-01,2.4636846781e-01,2.5767859817e-01,2.5174018741e-01,2.8255230188e-01
40,2.6035523713e-01,1.2698673615e-02,-5.8494151747e-01,2.0913440090e-02,2.6682907343e-01,2.4609161913e-01,2.5654414296e-01,2.5067818165e-01,2.8163316846e-01
41,2.5983239114e-01,1.2593747748e-02,-5.8580790302e-01,2.0773078165e-02,2.6618441939e-01,2.4587734044e-01,2.5588014722e-01,2.5019025803e-01,2.8102979064e-01
42,2.5945577919e-01,1.2518467438e-02,-5.8643364881e-01,2.0689536863e-02,2.6581603289e-01,2.4540337920e-01,2.5569212437e-01,2.4992172420e-01,2.8044563532e-01
43,2.5926979780e-01,1.2512746193e-02,-5.8674571953e-01,2.0707331193e-02,2.6545771956e-01,2.4487775564e-01,2.5591221452e-01,2.4989622831e-01,2.8020507097e-01
44,2.5902712345e-01,1.2513515791e-02,-5.8715318450e-01,2.0721170459e-02,2.6531383395e-01,2.4491693079e-01,2.5556400418e-01,2.4936302006e-01,2.7997782826e-01
45,2.5884155631e-01,1.2453567004e-02,-5.8745976737e-01,2.0617767170e-02,2.6495349407e-01,2.4514682591e-01,2.5510248542e-01,2.4913235009e-01,2.7987262607e-01
46,2.5842322707e-01,1.2475007949e-02,-5.8816536746e-01,2.0681605421e-02,2.6445198059e-01,2.4466499686e-01,2.5459069014e-01,2.4885877967e-01,2.7954968810e-01
47,2.5798190534e-01,1.2493214101e-02,-5.8891119333e-01,2.0758850367e-02,2.6390165091e-01,2.4379508197e-01,2.5441372395e-01,2.4871197343e-01,2.7908709645e-01
48,2.5758043826e-01,1.2499723009e-02,-5.8958979927e-01,2.0806838126e-02,2.6349210739e-01,2.4330635369e-01,2.5416618586e-01,2.4827805161e-01,2.7865949273e-01
49,2.5737838149e-01,1.2412048826e-02,-5.8992396350e-01,2.0664417543e-02,2.6341587305e-01,2.4370706081e-01,2.5367438793e-01,2.4773478508e-01,2.7835980058e-01
50,2.5728429854e-01,1.2336775413e-02,-5.9007682061e-01,2.0537593009e-02,2.6317194104e-01,2.4385541677e-01,2.5347301364e-01,2.4767960608e-01,2.7824151516e-01
51,2.5708164573e-01,1.2359669339e-02,-5.9042189743e-01,2.0600413405e-02,2.6302295923e-01,2.4338710308e-01,2.5335967541e-01,2.4763250351e-01,2.7800598741e-01
52,2.5692715943e-01,1.2378615922e-02,-5.9068544503e-01,2.0656608467e-02,2.6269114017e-01,2.4277766049e-01,2.5354456902e-01,2.4777737260e-01,2.7784505486e-01
53,2.5671403408e-01,1.2353917311e-02,-5.9104451244e-01,2.0626700126e-02,2.6262772083e-01,2.4288895726e-01,2.5317719579e-01,2.4728968740e-01,2.7758660913e-01
54,2.5663394034e-01,1.2292154608e-02,-5.9117487685e-01,2.0513137428e-02,2.6241537929e-01,2.4326699972e-01,2.5287884474e-01,2.4705661833e-01,2.7755185962e-01
55,2.5639091730e-01,1.2289767615e-02,-5.9158704555e-01,2.0527840032e-02,2.6215505600e-01,2.4297234416e-01,2.5258350372e-01,2.4692767859e-01,2.7731600404e-01
56,2.5618291497e-01,1.2349054087e-02,-5.9194544754e-01,2.0655957054e-02,2.6191547513e-01,2.4227960408e-01,2.5260162354e-01,2.4698494375e-01,2.7713292837e-01
57,2.5605499446e-01,1.2331655200e-02,-5.9216165088e-01,2.0643262356e-02,2.6176318526e-01,2.4203661084e-01,2.5260287523e-01,2.4693353474e-01,2.7693876624e-01
