step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,mse_mean,mse_std,qy_mean,qy_std,loss_replica_1,loss_replica_2,loss_replica_3,mse_replica_1,mse_replica_2,mse_replica_3,qy_replica_1,qy_replica_2,qy_replica_3
17,6.8975181250e+05,4.4129303676e+03,5.8386839363e+00,2.7845732812e-03,1.7243795718e-02,1.1032240925e-04,2.2006364663e-01,2.1251989033e-03,6.9343212500e+05,6.9227656250e+05,6.8354675000e+05,1.7335802317e-02,1.7306914553e-02,1.7088670284e-02,2.2296154499e-01,2.1792452037e-01,2.1930487454e-01
18,6.0689358333e+05,3.9735920667e+03,5.7831032098e+00,2.8497040736e-03,1.5172339665e-02,9.9339888316e-05,2.2173953056e-01,2.1367669335e-03,6.1028506250e+05,6.0907825000e+05,6.0131743750e+05,1.5257126652e-02,1.5226956457e-02,1.5032935888e-02,2.2465251386e-01,2.1958693862e-01,2.2097913921e-01
19,5.3611054167e+05,3.5791463209e+03,5.7292446405e+00,2.9057010060e-03,1.3402763133e-02,8.9478677033e-05,2.2326412300e-01,2.1465794173e-03,5.3923906250e+05,5.3799225000e+05,5.3110031250e+05,1.3480976224e-02,1.3449805789e-02,1.3277507387e-02,2.2618947923e-01,2.2109900415e-01,2.2250388563e-01
20,4.7528906250e+05,3.2249661848e+03,5.6769477942e+00,2.9531248081e-03,1.1882226604e-02,8.0624295172e-05,2.2465662162e-01,2.1549029319e-03,4.7817762500e+05,4.7690137500e+05,4.7078818750e+05,1.1954440735e-02,1.1922534555e-02,1.1769704521e-02,2.2759208083e-01,2.2247986495e-01,2.2389791906e-01
21,4.2274860417e+05,2.9062718397e+03,5.6260718909e+00,2.9919103794e-03,1.0568715011e-02,7.2656549718e-05,2.2593313456e-01,2.1619757792e-03,4.2541700000e+05,4.2412168750e+05,4.1870712500e+05,1.0635424405e-02,1.0603042319e-02,1.0467678308e-02,2.2887679935e-01,2.2374552488e-01,2.2517707944e-01
22,3.7714162500e+05,2.6200820305e+03,5.5764939592e+00,3.0232636779e-03,9.4285405551e-03,6.5501797390e-05,2.2710715234e-01,2.1680103960e-03,3.7960881250e+05,3.7830218750e+05,3.7351387500e+05,9.4902198762e-03,9.4575546682e-03,9.3378471211e-03,2.3005746305e-01,2.2490939498e-01,2.2635459900e-01
23,3.3737843750e+05,2.3628786503e+03,5.5281066436e+00,3.0475570875e-03,8.4344608088e-03,5.9072175455e-05,2.2819019357e-01,2.1731944770e-03,3.3966065625e+05,3.3835118750e+05,3.3412346875e+05,8.4915161133e-03,8.4587801248e-03,8.3530861884e-03,2.3114585876e-01,2.2598284483e-01,2.2744187713e-01
24,3.0256945833e+05,2.1319575381e+03,5.4808142803e+00,3.0657299690e-03,7.5642365652e-03,5.3299087826e-05,2.2919205825e-01,2.1776077182e-03,3.0468215625e+05,3.0337596875e+05,2.9965025000e+05,7.6170540415e-03,7.5843995437e-03,7.4912561104e-03,2.3215195537e-01,2.2697575390e-01,2.2844846547e-01
25,2.7198375000e+05,1.9248764461e+03,5.4345320565e+00,3.0788167768e-03,6.7995938783e-03,4.8122040609e-05,2.3012118042e-01,2.1814281957e-03,2.7394078125e+05,2.7264390625e+05,2.6936656250e+05,6.8485196680e-03,6.8160980009e-03,6.7341639660e-03,2.3308444023e-01,2.2789640725e-01,2.2938269377e-01
26,2.4501660417e+05,1.7391133255e+03,5.3891845537e+00,3.0873790371e-03,6.1254150545e-03,4.3477777138e-05,2.3098482192e-01,2.1847104795e-03,2.4683089062e+05,2.4554753125e+05,2.4267139062e+05,6.1707720160e-03,6.1386884190e-03,6.0667847283e-03,2.3395067453e-01,2.2875207663e-01,2.3025171459e-01
