step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,mse_mean,mse_std,qy_mean,qy_std,loss_replica_1,loss_replica_2,loss_replica_3,mse_replica_1,mse_replica_2,mse_replica_3,qy_replica_1,qy_replica_2,qy_replica_3
77,4.0372922363e+03,6.9365446218e+01,3.6060258905e+00,7.4787662980e-03,1.0093230473e-04,1.7341366160e-06,2.4501106640e-01,2.2218848285e-03,4.1158203125e+03,3.9471130371e+03,4.0489433594e+03,1.0289550846e-04,9.8677825008e-05,1.0122358071e-04,2.4796749651e-01,2.4261100590e-01,2.4445469677e-01
78,3.7642079264e+03,6.6067706389e+01,3.5756064891e+00,7.6414981338e-03,9.4105198514e-05,1.6516930940e-06,2.4508106709e-01,2.2222939894e-03,3.8385302734e+03,3.6780104980e+03,3.7760830078e+03,9.5963259810e-05,9.1950263595e-05,9.4402072136e-05,2.4803751707e-01,2.4267956614e-01,2.4452611804e-01
79,3.5101844889e+03,6.2877199455e+01,3.5452600176e+00,7.8002963639e-03,8.7754611741e-05,1.5719314332e-06,2.4514847000e-01,2.2227404339e-03,3.5804802246e+03,3.4278752441e+03,3.5221979980e+03,8.9512002887e-05,8.5696876340e-05,8.8054955995e-05,2.4810500443e-01,2.4274551868e-01,2.4459488690e-01
80,3.2738975423e+03,5.9843417488e+01,3.5149922513e+00,7.9613371990e-03,8.1847438802e-05,1.4960864905e-06,2.4521332979e-01,2.2231733007e-03,3.3403830566e+03,3.1953049316e+03,3.2860046387e+03,8.3509577962e-05,7.9882622231e-05,8.2150116214e-05,2.4816995859e-01,2.4280899763e-01,2.4466103315e-01
81,3.0539927572e+03,5.6963608000e+01,3.4847921459e+00,8.1254697335e-03,7.6349822242e-05,1.4240886658e-06,2.4527580043e-01,2.2235760568e-03,3.1169086914e+03,2.9789633789e+03,3.0661062012e+03,7.7922719356e-05,7.4474090070e-05,7.6652657299e-05,2.4823248386e-01,2.4287012219e-01,2.4472479522e-01
82,2.8493121745e+03,5.4192728438e+01,3.4546611390e+00,8.2870995331e-03,7.1232806173e-05,1.3548188256e-06,2.4533595641e-01,2.2240081319e-03,2.9088305664e+03,2.7777385254e+03,2.8613674316e+03,7.2720766184e-05,6.9443463872e-05,7.1534188464e-05,2.4829274416e-01,2.4292892218e-01,2.4478620291e-01
83,2.6587611491e+03,5.1564200761e+01,3.4245972714e+00,8.4518543920e-03,6.6469030571e-05,1.2891054461e-06,2.4539389213e-01,2.2244083684e-03,2.7150883789e+03,2.5904885254e+03,2.6707065430e+03,6.7877212132e-05,6.4762214606e-05,6.6767664975e-05,2.4835075438e-01,2.4298556149e-01,2.4484536052e-01
84,2.4813133138e+03,4.9024578315e+01,3.3945964269e+00,8.6119150398e-03,6.2032834345e-05,1.2256165948e-06,2.4544968704e-01,2.2248385901e-03,2.5345610352e+03,2.4162365723e+03,2.4931423340e+03,6.3364030211e-05,6.0405913246e-05,6.2328559579e-05,2.4840669334e-01,2.4304008484e-01,2.4490228295e-01
85,2.3160805664e+03,4.6648108469e+01,3.3646651227e+00,8.7807265917e-03,5.7902014911e-05,1.1662032504e-06,2.4550341566e-01,2.2252361610e-03,2.3664809570e+03,2.2540168457e+03,2.3277438965e+03,5.9162026446e-05,5.6350421801e-05,5.8193596487e-05,2.4846051633e-01,2.4309256673e-01,2.4495716393e-01
86,2.1620954590e+03,4.4339312597e+01,3.3347830491e+00,8.9422471898e-03,5.4052386986e-05,1.1084807865e-06,2.4555520713e-01,2.2256611926e-03,2.2097463379e+03,2.1029711914e+03,2.1735688477e+03,5.5243657698e-05,5.2574283472e-05,5.4339219787e-05,2.4851246178e-01,2.4314312637e-01,2.4501003325e-01
87,2.0186625977e+03,4.2165615871e+01,3.3049684593e+00,9.1098263864e-03,5.0466567094e-05,1.0541414156e-06,2.4560512106e-01,2.2260547677e-03,2.0637438965e+03,1.9623186035e+03,2.0299252930e+03,5.1593600801e-05,4.9057965953e-05,5.0748134527e-05,2.4856248498e-01,2.4319183826e-01,2.4506103992e-01
88,1.8849632975e+03,4.0076175378e+01,3.2752041640e+00,9.2741809674e-03,4.7124081902e-05,1.0019050652e-06,2.4565319220e-01,2.2264385678e-03,1.9276174316e+03,1.8313156738e+03,1.8959567871e+03,4.8190435336e-05,4.5782890084e-05,4.7398920287e-05,2.4861067533e-01,2.4323876202e-01,2.4511013925e-01
89,1.7603382161e+03,3.8105742994e+01,3.2454937409e+00,9.4442804376e-03,4.4008456219e-05,9.5264279777e-07,2.4569954971e-01,2.2268221073e-03,1.8006961670e+03,1.7092319336e+03,1.7710865479e+03,4.5017404773e-05,4.2730800487e-05,4.4277163397e-05,2.4865716696e-01,2.4328400195e-01,2.4515748024e-01
90,1.6441763509e+03,3.6200661699e+01,3.2158424583e+00,9.6077845549e-03,4.1104408107e-05,9.0501513912e-07,2.4574421346e-01,2.2272005257e-03,1.6823322754e+03,1.5955378418e+03,1.6546589355e+03,4.2058305553e-05,3.9888447645e-05,4.1366471123e-05,2.4870195985e-01,2.4332755804e-01,2.4520312250e-01
91,1.5358499349e+03,3.4403432487e+01,3.1862391018e+00,9.7766431811e-03,3.8396249389e-05,8.6008493195e-07,2.4578727782e-01,2.2275840266e-03,1.5719400635e+03,1.4895467529e+03,1.5460629883e+03,3.9298502088e-05,3.7238671212e-05,3.8651574869e-05,2.4874517322e-01,2.4336953461e-01,2.4524712563e-01
92,1.4348225505e+03,3.2694178965e+01,3.1566846731e+00,9.9468316841e-03,3.5870564413e-05,8.1735477668e-07,2.4582880239e-01,2.2279330142e-03,1.4689829102e+03,1.3907578125e+03,1.4447269287e+03,3.6724573874e-05,3.4768945625e-05,3.6118173739e-05,2.4878680706e-01,2.4341002107e-01,2.4528957903e-01
93,1.3406111654e+03,3.1052142345e+01,3.1271855013e+00,1.0112990574e-02,3.3515278725e-05,7.7630257417e-07,2.4586882194e-01,2.2283056208e-03,1.3729158936e+03,1.2986972656e+03,1.3502203369e+03,3.4322896681e-05,3.2467432902e-05,3.3755506593e-05,2.4882698059e-01,2.4344900250e-01,2.4533048272e-01
94,1.2526923828e+03,2.9490245306e+01,3.0977232062e+00,1.0280315516e-02,3.1317310156e-05,7.3725698749e-07,2.4590744575e-01,2.2286526679e-03,1.2832313232e+03,1.2128253174e+03,1.2620205078e+03,3.2080784877e-05,3.0320632504e-05,3.1550513086e-05,2.4886573851e-01,2.4348664284e-01,2.4536995590e-01
95,1.1706697998e+03,2.8027430213e+01,3.0683090004e+00,1.0456838442e-02,2.9266745211e-05,7.0068626765e-07,2.4594466388e-01,2.2290011121e-03,1.1995778809e+03,1.1327307129e+03,1.1797008057e+03,2.9989447285e-05,2.8318267141e-05,2.9492521207e-05,2.4890309572e-01,2.4352288246e-01,2.4540801346e-01
96,1.0941333415e+03,2.6603482941e+01,3.0389408653e+00,1.0621803572e-02,2.7353333887e-05,6.6508610624e-07,2.4598056575e-01,2.2293545287e-03,1.1214575195e+03,1.0580734863e+03,1.1028690186e+03,2.8036436561e-05,2.6451838494e-05,2.7571726605e-05,2.4893915653e-01,2.4355782568e-01,2.4544471502e-01
97,1.0227066650e+03,2.5255579322e+01,3.0096175897e+00,1.0789792079e-02,2.5567667763e-05,6.3139000568e-07,2.4601519605e-01,2.2296937518e-03,1.0485458984e+03,9.8843249512e+02,1.0311416016e+03,2.6213649107e-05,2.4710812795e-05,2.5778541385e-05,2.4897392094e-01,2.4359150231e-01,2.4548016489e-01
98,9.5604003906e+02,2.3975262583e+01,2.9803383812e+00,1.0958969561e-02,2.3901001138e-05,5.9938171366e-07,2.4604861438e-01,2.2300132999e-03,9.8047973633e+02,9.2346716309e+02,9.6417321777e+02,2.4511993615e-05,2.3086678993e-05,2.4104330805e-05,2.4900747836e-01,2.4362404644e-01,2.4551431835e-01
99,8.9378733317e+02,2.2766129075e+01,2.9510921029e+00,1.1133052226e-02,2.2344684112e-05,5.6915273065e-07,2.4608083566e-01,2.2303623845e-03,9.1691101074e+02,8.6282403564e+02,9.0162695312e+02,2.2922775315e-05,2.1570602257e-05,2.2540674763e-05,2.4903987348e-01,2.4365535378e-01,2.4554727972e-01
100,8.3566945394e+02,2.1600433389e+01,2.9218881658e+00,1.1299778597e-02,2.0891736009e-05,5.4001070798e-07,2.4611193935e-01,2.2306792092e-03,8.5751171875e+02,8.0625360107e+02,8.4324304199e+02,2.1437792384e-05,2.0156339815e-05,2.1081075829e-05,2.4907112122e-01,2.4368560314e-01,2.4557909369e-01
101,7.8139693197e+02,2.0515077660e+01,2.8927206661e+00,1.1479454979e-02,1.9534923316e-05,5.1287731275e-07,2.4614193042e-01,2.2309710067e-03,8.0207031250e+02,7.5343182373e+02,7.8868865967e+02,2.0051758838e-05,1.8835795345e-05,1.9717215764e-05,2.4910122156e-01,2.4371476471e-01,2.4560980499e-01
102,7.3071573893e+02,1.9465567804e+01,2.8635929323e+00,1.1649635877e-02,1.8267893514e-05,4.8663913326e-07,2.4617088338e-01,2.2312850781e-03,7.5026800537e+02,7.0415734863e+02,7.3772186279e+02,1.8756700229e-05,1.7603933884e-05,1.8443046429e-05,2.4913032353e-01,2.4374288321e-01,2.4563944340e-01
103,6.8337396240e+02,1.8467824418e+01,2.8344983264e+00,1.1820309383e-02,1.7084349868e-05,4.6169603179e-07,2.4619883299e-01,2.2316160018e-03,7.0185687256e+02,6.5815197754e+02,6.9011303711e+02,1.7546422896e-05,1.6453799617e-05,1.7252827092e-05,2.4915845692e-01,2.4377000332e-01,2.4566803873e-01
104,6.3914046224e+02,1.7529942477e+01,2.8054313632e+00,1.1998641719e-02,1.5978511631e-05,4.3824825313e-07,2.4622581402e-01,2.2319032982e-03,6.5662908936e+02,6.1517907715e+02,6.4561322021e+02,1.6415726350e-05,1.5379477190e-05,1.6140331354e-05,2.4918556213e-01,2.4379619956e-01,2.4569568038e-01
105,5.9784031169e+02,1.6625282164e+01,2.7764155854e+00,1.2167697602e-02,1.4946008074e-05,4.1563214926e-07,2.4625181158e-01,2.2321977864e-03,6.1436907959e+02,5.7509490967e+02,6.0405694580e+02,1.5359228200e-05,1.4377373191e-05,1.5101422832e-05,2.4921171367e-01,2.4382144213e-01,2.4572227895e-01
106,5.5922849528e+02,1.5771838321e+01,2.7474147985e+00,1.2342407622e-02,1.3980712538e-05,3.9429559497e-07,2.4627694488e-01,2.2324881462e-03,5.7484783936e+02,5.3762921143e+02,5.6520843506e+02,1.4371195903e-05,1.3440730982e-05,1.4130210729e-05,2.4923700094e-01,2.4384583533e-01,2.4574799836e-01
107,5.2316103109e+02,1.4958021832e+01,2.7184560094e+00,1.2514608982e-02,1.3079025848e-05,3.7395072384e-07,2.4630117913e-01,2.2327642589e-03,5.3793457031e+02,5.0266241455e+02,5.2888610840e+02,1.3448364371e-05,1.2566560144e-05,1.3222153029e-05,2.4926136434e-01,2.4386933446e-01,2.4577283859e-01
108,4.8945974731e+02,1.4188162619e+01,2.6895325584e+00,1.2690161449e-02,1.2236493603e-05,3.5470389488e-07,2.4632461369e-01,2.2330505820e-03,5.0342456055e+02,4.6999960327e+02,4.9495507812e+02,1.2585614058e-05,1.1749990335e-05,1.2373876416e-05,2.4928495288e-01,2.4389204383e-01,2.4579684436e-01
109,4.5795574951e+02,1.3454512479e+01,2.6606340261e+00,1.2864020436e-02,1.1448893626e-05,3.3636245906e-07,2.4634720385e-01,2.2333195912e-03,4.7116052246e+02,4.3948907471e+02,4.6321765137e+02,1.1779012311e-05,1.0987227142e-05,1.1580441424e-05,2.4930767715e-01,2.4391393363e-01,2.4582000077e-01
110,4.2850481160e+02,1.2750849083e+01,2.6317612737e+00,1.3031331739e-02,1.0712620072e-05,3.1877125057e-07,2.4636901915e-01,2.2335879638e-03,4.4098254395e+02,4.1099182129e+02,4.3354006958e+02,1.1024563719e-05,1.0274795386e-05,1.0838501112e-05,2.4932964146e-01,2.4393507838e-01,2.4584233761e-01
111,4.0097406006e+02,1.2095193302e+01,2.6029164346e+00,1.3212288205e-02,1.0024351468e-05,3.0237969180e-07,2.4639007946e-01,2.2338510018e-03,4.1277752686e+02,3.8435089111e+02,4.0579376221e+02,1.0319437934e-05,9.6087724160e-06,1.0144844055e-05,2.4935084581e-01,2.4395547807e-01,2.4586391449e-01
112,3.7523139445e+02,1.1468610517e+01,2.5740939457e+00,1.3389673453e-02,9.3807851348e-06,2.8671511534e-07,2.4641044438e-01,2.2340889538e-03,3.8639059448e+02,3.5945877075e+02,3.7984481812e+02,9.6597650554e-06,8.9864697657e-06,9.4961205832e-06,2.4937132001e-01,2.4397520721e-01,2.4588480592e-01
113,3.5117116292e+02,1.0861270008e+01,2.5453086493e+00,1.3551779893e-02,8.7792789903e-06,2.7153168008e-07,2.4643008908e-01,2.2343556486e-03,3.6170391846e+02,3.3622250366e+02,3.5558706665e+02,9.0425983217e-06,8.4055627667e-06,8.8896758825e-06,2.4939112365e-01,2.4399420619e-01,2.4590493739e-01
114,3.2867936198e+02,1.0299140202e+01,2.5165566345e+00,1.3731983089e-02,8.2169838909e-06,2.5747877991e-07,2.4644903839e-01,2.2345887517e-03,3.3864733887e+02,3.1449819946e+02,3.3289254761e+02,8.4661833171e-06,7.8624543676e-06,8.3223139882e-06,2.4941019714e-01,2.4401256442e-01,2.4592435360e-01
115,3.0763254801e+02,9.7621868142e+00,2.4878109062e+00,1.3909080692e-02,7.6908139211e-06,2.4405489139e-07,2.4646736681e-01,2.2348327505e-03,3.1705175781e+02,2.9418170166e+02,3.1166418457e+02,7.9262945292e-06,7.3545425039e-06,7.7916047303e-06,2.4942865968e-01,2.4403028190e-01,2.4594315886e-01
116,2.8795825195e+02,9.2532973262e+00,2.4591024702e+00,1.4087255851e-02,7.1989563063e-06,2.3133221519e-07,2.4648504456e-01,2.2350748895e-03,2.9686285400e+02,2.7520135498e+02,2.9181054688e+02,7.4215708992e-06,6.8800341069e-06,7.2952639130e-06,2.4944648147e-01,2.4404737353e-01,2.4596127868e-01
117,2.6955696615e+02,8.7702255417e+00,2.4304177382e+00,1.4265721586e-02,6.7389241849e-06,2.1925574115e-07,2.4650215109e-01,2.2353062497e-03,2.7797647095e+02,2.5745993042e+02,2.7323449707e+02,6.9494117270e-06,6.4364980972e-06,6.8308627306e-06,2.4946372211e-01,2.4406391382e-01,2.4597881734e-01
118,2.5233852132e+02,8.3142947253e+00,2.4017447171e+00,1.4449769169e-02,6.3084630710e-06,2.0785725208e-07,2.4651866655e-01,2.2355322456e-03,2.6029220581e+02,2.4086198425e+02,2.5586137390e+02,6.5073049882e-06,6.0215497797e-06,6.3965344452e-06,2.4948036671e-01,2.4407987297e-01,2.4599575996e-01
119,2.3624068197e+02,7.8738330834e+00,2.3731102467e+00,1.4619087444e-02,5.9060169709e-06,1.9684576970e-07,2.4653458595e-01,2.2357582945e-03,2.4375691223e+02,2.2536740112e+02,2.3959773254e+02,6.0939228206e-06,5.6341850723e-06,5.9899430198e-06,2.4949641526e-01,2.4409523606e-01,2.4601210654e-01
120,2.2117609660e+02,7.4570674463e+00,2.3444880020e+00,1.4790708861e-02,5.5294021877e-06,1.8642663621e-07,2.4655000369e-01,2.2359704557e-03,2.2827952576e+02,2.1087399292e+02,2.2437477112e+02,5.7069878494e-06,5.2718496590e-06,5.6093690546e-06,2.4951195717e-01,2.4411013722e-01,2.4602791667e-01
121,2.0708439636e+02,7.0631303764e+00,2.3158912774e+00,1.4965307204e-02,5.1771098697e-06,1.7657818756e-07,2.4656487505e-01,2.2361849796e-03,2.1379423523e+02,1.9732125854e+02,2.1013769531e+02,5.3448557082e-06,4.9330315051e-06,5.2534423958e-06,2.4952696264e-01,2.4412450194e-01,2.4604316056e-01
122,1.9389753723e+02,6.6928247221e+00,2.2873099394e+00,1.5147844091e-02,4.8474383523e-06,1.6732075840e-07,2.4657926460e-01,2.2363887020e-03,2.0023942566e+02,1.8464167786e+02,1.9681150818e+02,5.0059857131e-06,4.6160416787e-06,4.9202876653e-06,2.4954147637e-01,2.4413840473e-01,2.4605791271e-01
123,1.8156413269e+02,6.3392789303e+00,2.2587615670e+00,1.5324909107e-02,4.5391032775e-06,1.5848199093e-07,2.4659313758e-01,2.2365793055e-03,1.8755717468e+02,1.7279333496e+02,1.8434188843e+02,4.6889294936e-06,4.3198333515e-06,4.6085469876e-06,2.4955545366e-01,2.4415180087e-01,2.4607215822e-01
124,1.7002521769e+02,5.9982723799e+00,2.2302391640e+00,1.5487039402e-02,4.2506305059e-06,1.4995673171e-07,2.4660656850e-01,2.2367645266e-03,1.7568453979e+02,1.6172308350e+02,1.7266802979e+02,4.3921136239e-06,4.0430772970e-06,4.3167005970e-06,2.4956898391e-01,2.4416476488e-01,2.4608595669e-01
125,1.5921696472e+02,5.6829578966e+00,2.2017086184e+00,1.5671753964e-02,3.9804240259e-06,1.4207403422e-07,2.4661953251e-01,2.2369749439e-03,1.6456666565e+02,1.5134793091e+02,1.6173629761e+02,4.1141665861e-06,3.7836980482e-06,4.0434074435e-06,2.4958208203e-01,2.4417723715e-01,2.4609927833e-01
126,1.4910829671e+02,5.3857332803e+00,2.1732142635e+00,1.5862108341e-02,3.7277075080e-06,1.3464342553e-07,2.4663205445e-01,2.2371594359e-03,1.5416278076e+02,1.4164665222e+02,1.5151545715e+02,3.8540697460e-06,3.5411662793e-06,3.7878864987e-06,2.4959471822e-01,2.4418932199e-01,2.4611212313e-01
127,1.3964960734e+02,5.0951769075e+00,2.1447462598e+00,1.6025172458e-02,3.4912401740e-06,1.2737944923e-07,2.4664414922e-01,2.2373470756e-03,1.4442364502e+02,1.3258843994e+02,1.4193673706e+02,3.6105911931e-06,3.3147109662e-06,3.5484183627e-06,2.4960692227e-01,2.4420095980e-01,2.4612456560e-01
128,1.3078768412e+02,4.8273814397e+00,2.1162664419e+00,1.6214828040e-02,3.2696920395e-06,1.2068449510e-07,2.4665587644e-01,2.2375319704e-03,1.3529768372e+02,1.2409417725e+02,1.3297119141e+02,3.3824419461e-06,3.1023544125e-06,3.3242797599e-06,2.4961878359e-01,2.4421228468e-01,2.4613656104e-01
129,1.2250346375e+02,4.5686904187e+00,2.0878416071e+00,1.6386249161e-02,3.0625865293e-06,1.1421733799e-07,2.4666716158e-01,2.2377010942e-03,1.2676472473e+02,1.1616680908e+02,1.2457885742e+02,3.1691181448e-06,2.9041700600e-06,3.1144713830e-06,2.4963015318e-01,2.4422313273e-01,2.4614819884e-01
130,1.1474158986e+02,4.3247540166e+00,2.0594074676e+00,1.6563405719e-02,2.8685397713e-06,1.0811880972e-07,2.4667808910e-01,2.2378771601e-03,1.1876754761e+02,1.0874125671e+02,1.1671596527e+02,2.9691886994e-06,2.7185315048e-06,2.9178991099e-06,2.4964119494e-01,2.4423365295e-01,2.4615941942e-01
131,1.0748081462e+02,4.0942062288e+00,2.0310107728e+00,1.6742587523e-02,2.6870204692e-06,1.0235515613e-07,2.4668863912e-01,2.2380544021e-03,1.1128434753e+02,1.0179835510e+02,1.0935974121e+02,2.7821088224e-06,2.5449589884e-06,2.7339935968e-06,2.4965186417e-01,2.4424380064e-01,2.4617025256e-01
132,1.0067527262e+02,3.8756062455e+00,2.0025957390e+00,1.6922971016e-02,2.5168818259e-06,9.6890208459e-08,2.4669886629e-01,2.2382262417e-03,1.0426805878e+02,9.5294273376e+01,1.0246348572e+02,2.6067016279e-06,2.3823567972e-06,2.5615870527e-06,2.4966220558e-01,2.4425363541e-01,2.4618075788e-01
133,9.4313341777e+01,3.6665742853e+00,1.9742394799e+00,1.7093330816e-02,2.3578335610e-06,9.1664332178e-08,2.4670872589e-01,2.2383892305e-03,9.7702285767e+01,8.9220054626e+01,9.6017684937e+01,2.4425571610e-06,2.2305014227e-06,2.4004420993e-06,2.4967215955e-01,2.4426309764e-01,2.4619092047e-01
134,8.8350855509e+01,3.4708830252e+00,1.9458699736e+00,1.7276046538e-02,2.2087713963e-06,8.6772058611e-08,2.4671824773e-01,2.2385537086e-03,9.1552604675e+01,8.3527847290e+01,8.9972114563e+01,2.2888150397e-06,2.0881961973e-06,2.2493029519e-06,2.4968180060e-01,2.4427226186e-01,2.4620068073e-01
135,8.2768898010e+01,3.2867205424e+00,1.9175189059e+00,1.7465623271e-02,2.0692224704e-06,8.2168005208e-08,2.4672747155e-01,2.2386984777e-03,8.5796653748e+01,7.8200790405e+01,8.4309249878e+01,2.1449163796e-06,1.9550197976e-06,2.1077312340e-06,2.4969111383e-01,2.4428114295e-01,2.4621015787e-01
136,7.7544848124e+01,3.1111338361e+00,1.8891973565e+00,1.7649368965e-02,1.9386211155e-06,7.7778315788e-08,2.4673636258e-01,2.2388409715e-03,8.0405769348e+01,7.3219551086e+01,7.9009223938e+01,2.0101440441e-06,1.8304887135e-06,1.9752305889e-06,2.4970008433e-01,2.4428968132e-01,2.4621932209e-01
137,7.2649482727e+01,2.9412468375e+00,1.8608703570e+00,1.7812742644e-02,1.8162370073e-06,7.3531191502e-08,2.4674499532e-01,2.2390163619e-03,7.5349372864e+01,6.8559219360e+01,7.4039855957e+01,1.8837342850e-06,1.7139803958e-06,1.8509963411e-06,2.4970884621e-01,2.4429793656e-01,2.4622820318e-01
138,6.8068257650e+01,2.7825687847e+00,1.8325753105e+00,1.7988732446e-02,1.7017063859e-06,6.9564243933e-08,2.4675329030e-01,2.2391340442e-03,7.0619644165e+01,6.4197982788e+01,6.9387145996e+01,1.7654911062e-06,1.6049494889e-06,1.7346785626e-06,2.4971720576e-01,2.4430593848e-01,2.4623672664e-01
139,6.3774021149e+01,2.6322982624e+00,1.8042671885e+00,1.8166493020e-02,1.5943505408e-06,6.5807471893e-08,2.4676133692e-01,2.2392823240e-03,6.6181221008e+01,6.0111248016e+01,6.5029594421e+01,1.6545304788e-06,1.5027811742e-06,1.6257399693e-06,2.4972535670e-01,2.4431365728e-01,2.4624499679e-01
140,5.9757139842e+01,2.4916752567e+00,1.7760053612e+00,1.8355510349e-02,1.4939284938e-06,6.2291844901e-08,2.4676910043e-01,2.2394220493e-03,6.2029518127e+01,5.6288593292e+01,6.0953308105e+01,1.5507379203e-06,1.4072148815e-06,1.5238326796e-06,2.4973322451e-01,2.4432112277e-01,2.4625295401e-01
141,5.5993147532e+01,2.3568810107e+00,1.7477430436e+00,1.8532001746e-02,1.3998287235e-06,5.8922024887e-08,2.4677663545e-01,2.2395526325e-03,5.8143817902e+01,5.2712524414e+01,5.7123100281e+01,1.4535954733e-06,1.3178131439e-06,1.4280775531e-06,2.4974082410e-01,2.4432832003e-01,2.4626076221e-01
142,5.2465831757e+01,2.2290348499e+00,1.7194772802e+00,1.8708256852e-02,1.3116458225e-06,5.5725850653e-08,2.4678391218e-01,2.2396912416e-03,5.4496234894e+01,4.9362331390e+01,5.3538928986e+01,1.3624058965e-06,1.2340583453e-06,1.3384732256e-06,2.4974820018e-01,2.4433529377e-01,2.4626824260e-01
143,4.9163547516e+01,2.1085313688e+00,1.6912362064e+00,1.8889716270e-02,1.2290886389e-06,5.2713292168e-08,2.4679093063e-01,2.2398224314e-03,5.1075901031e+01,4.6225948334e+01,5.0188793182e+01,1.2768974784e-06,1.1556486470e-06,1.2547197912e-06,2.4975532293e-01,2.4434204400e-01,2.4627542496e-01
144,4.6072427114e+01,1.9960095819e+00,1.6630256816e+00,1.9084870080e-02,1.1518106930e-06,4.9900290861e-08,2.4679770569e-01,2.2399316233e-03,4.7879760742e+01,4.3290931702e+01,4.7046588898e+01,1.1969940488e-06,1.0822732293e-06,1.1761648011e-06,2.4976216257e-01,2.4434855580e-01,2.4628239870e-01
145,4.3175134023e+01,1.8868625333e+00,1.6348108956e+00,1.9254785779e-02,1.0793783076e-06,4.7171587773e-08,2.4680427214e-01,2.2400451159e-03,4.4882190704e+01,4.0545417786e+01,4.4097793579e+01,1.1220547549e-06,1.0136353694e-06,1.1024447986e-06,2.4976879358e-01,2.4435484409e-01,2.4628917873e-01
146,4.0458952586e+01,1.7826155221e+00,1.6065848053e+00,1.9415215354e-02,1.0114737847e-06,4.4565407098e-08,2.4681065480e-01,2.2401837732e-03,4.2069164276e+01,3.7973968506e+01,4.1333724976e+01,1.0517291003e-06,9.4934915751e-07,1.0333430964e-06,2.4977527559e-01,2.4436092377e-01,2.4629576504e-01
147,3.7919406891e+01,1.6891651308e+00,1.5784220348e+00,1.9633823864e-02,9.4798516178e-07,4.2229137737e-08,2.4681676428e-01,2.2402746968e-03,3.9441238403e+01,3.5563831329e+01,3.8753150940e+01,9.8603095466e-07,8.8909575879e-07,9.6882877187e-07,2.4978144467e-01,2.4436682463e-01,2.4630202353e-01
148,3.5536724091e+01,1.5953416723e+00,1.5502309388e+00,1.9789391338e-02,8.8841812840e-07,3.9883556905e-08,2.4682269494e-01,2.2404188082e-03,3.6972473145e+01,3.3311653137e+01,3.6326045990e+01,9.2431184839e-07,8.3279132923e-07,9.0815120757e-07,2.4978747964e-01,2.4437244236e-01,2.4630816281e-01
149,3.3307513555e+01,1.5078945098e+00,1.5220880847e+00,1.9959924963e-02,8.3268785526e-07,3.7697393301e-08,2.4682843188e-01,2.2405294664e-03,3.4661884308e+01,3.1203836441e+01,3.4056819916e+01,8.6654716824e-07,7.8009588833e-07,8.5142050921e-07,2.4979330599e-01,2.4437795579e-01,2.4631403387e-01
150,3.1216666540e+01,1.4266969202e+00,1.4939235952e+00,2.0153587708e-02,7.8041663680e-07,3.5667406388e-08,2.4683399498e-01,2.2406278579e-03,3.2496417999e+01,2.9225912094e+01,3.1927669525e+01,8.1241040562e-07,7.3064779826e-07,7.9819170651e-07,2.4979892373e-01,2.4438327551e-01,2.4631978571e-01
151,2.9257481893e+01,1.3473696980e+00,1.4657668321e+00,2.0310219552e-02,7.3143703124e-07,3.3684227331e-08,2.4683935940e-01,2.2407351111e-03,3.0465528488e+01,2.7377302170e+01,2.9929615021e+01,7.6163820495e-07,6.8443256396e-07,7.4824032481e-07,2.4980436265e-01,2.4438840151e-01,2.4632531404e-01
152,2.7423006058e+01,1.2746865876e+00,1.4376360015e+00,2.0503792161e-02,6.8557515457e-07,3.1867167071e-08,2.4684454004e-01,2.2408237943e-03,2.8563827515e+01,2.5643821716e+01,2.8061368942e+01,7.1409567681e-07,6.4109553932e-07,7.0153424758e-07,2.4980959296e-01,2.4439336360e-01,2.4633066356e-01
153,2.5701538722e+01,1.2055069889e+00,1.4094712071e+00,2.0693840179e-02,6.4253847161e-07,3.0137671500e-08,2.4684957663e-01,2.2409344798e-03,2.6777854919e+01,2.4018379211e+01,2.6308382034e+01,6.6944636501e-07,6.0045948658e-07,6.5770956326e-07,2.4981471896e-01,2.4439817667e-01,2.4633583426e-01
154,2.4092926025e+01,1.1404398799e+00,1.3813925192e+00,2.0887193257e-02,6.0232313596e-07,2.8511013243e-08,2.4685441454e-01,2.2410231782e-03,2.5111209869e+01,2.2500627518e+01,2.4666940689e+01,6.2778025267e-07,5.6251565184e-07,6.1667350337e-07,2.4981960654e-01,2.4440279603e-01,2.4634084105e-01
155,2.2583154043e+01,1.0775386392e+00,1.3532794467e+00,2.1058449985e-02,5.6457884057e-07,2.6938485568e-08,2.4685912828e-01,2.2411284424e-03,2.3542654037e+01,2.1078145981e+01,2.3128662109e+01,5.8856636542e-07,5.2695361319e-07,5.7821654309e-07,2.4982440472e-01,2.4440729618e-01,2.4634568393e-01
156,2.1169830958e+01,1.0177151588e+00,1.3252044904e+00,2.1220444383e-02,5.2924576721e-07,2.5442891476e-08,2.4686364830e-01,2.2412182931e-03,2.2074789047e+01,1.9748123169e+01,2.1686580658e+01,5.5186973213e-07,4.9370305533e-07,5.4216451417e-07,2.4982897937e-01,2.4441160262e-01,2.4635036290e-01
