alpha,F1_mean,F1_std,Frandom_mean,Frandom_std,diff
0.5,0.0010604638955555856,0.0003758564328809023,-0.00010986691995640285,0.0002490539172083111,0.0011703308155119885
1.0,0.0017166673671454192,0.0005661160971947325,0.0001738164050038904,0.000381886903252718,0.0015428509621415287
1.5,0.003183212922886014,0.0004049339797778992,-8.551474820706062e-07,0.000300415144416096,0.0031840680703680846
2.0,0.005261366162449122,0.000669697794363038,0.00046250697487266735,0.0004259878958357248,0.004798859187576454
2.5,0.008644279651343822,0.0016780977071804656,0.0005767432827269659,0.0004090174722734316,0.008067536368616856
3.0,0.013960784301161766,0.003414312819790884,0.000776108296122402,0.00035146505800988723,0.013184676005039364
3.5,0.018941067904233933,0.002488000218238926,0.0016794042196124793,0.000651029702997416,0.017261663684621453
4.0,0.02529727891087532,0.002697185196048318,0.0018737679114565254,0.0008301177807492082,0.023423510999418792
4.5,0.03976084813475609,0.005113054898373675,0.0028723795898258687,0.0005425583802452169,0.03688846854493022
5.0,0.04833958297967911,0.006091386087953963,0.003300810419023037,0.0013319590946187143,0.04503877256065607
