step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,loss_replica_2,cosine_similarity_replica_1,cosine_similarity_replica_2
1,4.7984124184e+06,5.5953025818e+03,6.6810972771e+00,5.0641960827e-04,1.5050958609e-05,8.3460364840e-04,4.8040077209e+06,4.7928171158e+06,-8.1955268979e-04,8.4965460701e-04
2,4.7984129906e+06,5.5958747864e+03,6.6810973288e+00,5.0647133701e-04,1.5067053027e-05,8.3460361930e-04,4.8040088654e+06,4.7928171158e+06,-8.1953656627e-04,8.4967067232e-04
3,4.7984128475e+06,5.5954456329e+03,6.6810973159e+00,5.0643251026e-04,1.5160389012e-05,8.3460213500e-04,4.8040082932e+06,4.7928174019e+06,-8.1944174599e-04,8.4976252401e-04
4,4.7984109879e+06,5.5950164795e+03,6.6810971477e+00,5.0639386467e-04,1.5432829969e-05,8.3459855523e-04,4.8040060043e+06,4.7928159714e+06,-8.1916572526e-04,8.5003138520e-04
5,4.7984046936e+06,5.5955886841e+03,6.6810965779e+00,5.0644631815e-04,1.6038015019e-05,8.3459093003e-04,4.8040002823e+06,4.7928091049e+06,-8.1855291501e-04,8.5062894505e-04
6,4.7983903885e+06,5.5950164795e+03,6.6810952833e+00,5.0639603861e-04,1.7170270439e-05,8.3457620349e-04,4.8039854050e+06,4.7927953720e+06,-8.1740593305e-04,8.5174647393e-04
7,4.7983649254e+06,5.5953025818e+03,6.6810929786e+00,5.0642462069e-04,1.9066967070e-05,8.3455030108e-04,4.8039602280e+06,4.7927696228e+06,-8.1548333401e-04,8.5361726815e-04
8,4.7983234406e+06,5.5950164795e+03,6.6810892239e+00,5.0640310403e-04,2.2016960429e-05,8.3451197133e-04,4.8039184570e+06,4.7927284241e+06,-8.1249501090e-04,8.5652893176e-04
9,4.7982604980e+06,5.5944442749e+03,6.6810835270e+00,5.0635795615e-04,2.6346708182e-05,8.3445425844e-04,4.8038549423e+06,4.7926660538e+06,-8.0810755026e-04,8.6080096662e-04
10,4.7981708050e+06,5.5943012238e+03,6.6810754087e+00,5.0635447366e-04,3.2431300497e-05,8.3437297144e-04,4.8037651062e+06,4.7925765038e+06,-8.0194167094e-04,8.6680427194e-04
11,4.7980474949e+06,5.5934429169e+03,6.6810642475e+00,5.0628979740e-04,4.0688057197e-05,8.3426336641e-04,4.8036409378e+06,4.7924540520e+06,-7.9357530922e-04,8.7495142361e-04
12,4.7978825569e+06,5.5930137634e+03,6.6810493180e+00,5.0626835612e-04,5.1580660511e-05,8.3411863307e-04,4.8034755707e+06,4.7922895432e+06,-7.8253797255e-04,8.8569929358e-04
13,4.7976689816e+06,5.5920124054e+03,6.6810299852e+00,5.0620024840e-04,6.5616302891e-05,8.3393094246e-04,4.8032609940e+06,4.7920769691e+06,-7.6831463957e-04,8.9954724535e-04
14,4.7973976135e+06,5.5910110474e+03,6.6810054198e+00,5.0613823182e-04,8.3344202721e-05,8.3369450294e-04,4.8029886246e+06,4.7918066025e+06,-7.5035030022e-04,9.1703870567e-04
15,4.7970591545e+06,5.5895805359e+03,6.6809747791e+00,5.0604443333e-04,1.0536031914e-04,8.3340037963e-04,4.8026487350e+06,4.7914695740e+06,-7.2804006049e-04,9.3876069877e-04
16,4.7966430187e+06,5.5880069733e+03,6.6809371034e+00,5.0594586292e-04,1.3230214245e-04,8.3304053987e-04,4.8022310257e+06,4.7910550117e+06,-7.0073839743e-04,9.6534268232e-04
17,4.7961399078e+06,5.5858612061e+03,6.6808915488e+00,5.0580463497e-04,1.6485291417e-04,8.3260508836e-04,4.8017257690e+06,4.7905540466e+06,-6.6775217419e-04,9.9745800253e-04
18,4.7955363750e+06,5.5834293365e+03,6.6808368952e+00,5.0564805624e-04,2.0373941516e-04,8.3208581782e-04,4.8011198044e+06,4.7899529457e+06,-6.2834640266e-04,1.0358252330e-03
19,4.7948224068e+06,5.5804252625e+03,6.6807722320e+00,5.0545125279e-04,2.4973149993e-04,8.3147009718e-04,4.8004028320e+06,4.7892419815e+06,-5.8173859725e-04,1.0812015971e-03
20,4.7939841270e+06,5.5769920349e+03,6.6806962979e+00,5.0522861462e-04,3.0364378472e-04,8.3075030125e-04,4.7995611191e+06,4.7884071350e+06,-5.2710651653e-04,1.1343940860e-03
21,4.7930086613e+06,5.5737018585e+03,6.6806079201e+00,5.0503331480e-04,3.6633634591e-04,8.2991094678e-04,4.7985823631e+06,4.7874349594e+06,-4.6357460087e-04,1.1962472927e-03
