replica,seed,runtime_sec,final_loss,estimated_convergence_step,cosine_similarity
1,100,192.6063,3.4827849595e-04,2073,9.9989938736e-01
2,101,191.3268,3.3092955709e-04,2093,9.9990004301e-01
3,102,190.0294,3.0147432699e-04,2054,9.9990075827e-01
