step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,loss_replica_2,loss_replica_3,cosine_similarity_replica_1,cosine_similarity_replica_2,cosine_similarity_replica_3
25,3.7782363097e+05,3.7981178403e+02,5.5772888979e+00,4.3669032410e-04,5.7506053708e-03,1.0430966526e-03,3.7796356678e+05,3.7730455399e+05,3.7820277214e+05,5.9752636589e-03,4.3756510131e-03,6.9009014405e-03
26,3.7369178931e+05,3.8460812671e+02,5.5725133256e+00,4.4709620737e-04,6.9326201143e-03,1.0434445449e-03,3.7383224964e+05,3.7316648960e+05,3.7407662868e+05,7.1598147042e-03,5.5563068017e-03,8.0817388371e-03
27,3.6903287570e+05,3.8964926304e+02,5.5670648153e+00,4.5867685314e-04,8.2851556751e-03,1.0440110223e-03,3.6917369366e+05,3.6850109100e+05,3.6942384243e+05,8.5154511034e-03,6.9070109166e-03,9.4330050051e-03
28,3.6380288601e+05,3.9486776289e+02,5.5608658840e+00,4.7150413566e-04,9.8289496576e-03,1.0448638950e-03,3.6394371986e+05,3.6326448917e+05,3.6420044899e+05,1.0063038208e-02,8.4483735263e-03,1.0975437239e-02
29,3.5795619488e+05,4.0016139230e+02,5.5538296114e+00,4.8563192373e-04,1.1587480083e-02,1.0460941845e-03,3.5809669495e+05,3.5741119385e+05,3.5836069584e+05,1.1826199479e-02,1.0203711689e-02,1.2732529081e-02
30,3.5144606431e+05,4.0538721236e+02,5.5458583952e+00,5.0108935318e-04,1.3587462716e-02,1.0478136047e-03,3.5158574581e+05,3.5089468956e+05,3.5185775757e+05,1.3831823133e-02,1.2199547142e-02,1.4731017873e-02
31,3.4422497749e+05,4.1037146794e+02,5.5368420715e+00,5.1789340599e-04,1.5859450214e-02,1.0501752934e-03,3.4436330795e+05,3.4366769791e+05,3.4464392662e+05,1.6110688448e-02,1.4466171153e-02,1.7001491040e-02
32,3.3624583085e+05,4.1484090203e+02,5.5266565775e+00,5.3595940107e-04,1.8438600625e-02,1.0533895242e-03,3.3638219833e+05,3.3568348885e+05,3.3667180538e+05,1.8698211759e-02,1.7038403079e-02,1.9579187036e-02
33,3.2746276855e+05,4.1849291661e+02,5.5151615745e+00,5.5518126357e-04,2.1365592256e-02,1.0577161817e-03,3.2759647369e+05,3.2689661980e+05,3.2789521217e+05,2.1635400131e-02,1.9956503063e-02,2.2504873574e-02
34,3.1783350309e+05,4.2093264724e+02,5.5021992936e+00,5.7533761840e-04,2.4687717979e-02,1.0634933437e-03,3.1796395779e+05,3.1726527214e+05,3.1827127934e+05,2.4969952181e-02,2.3267231882e-02,2.5825969875e-02
35,3.0732185841e+05,4.2166687118e+02,5.4875930418e+00,5.9605538001e-04,2.8460310151e-02,1.0711866909e-03,3.0744814873e+05,3.0675399303e+05,3.0776343346e+05,2.8757812455e-02,2.7025176212e-02,2.9597941786e-02
36,2.9590149721e+05,4.1991588660e+02,5.4711467251e+00,6.1648980079e-04,3.2748501748e-02,1.0814488461e-03,2.9602267742e+05,2.9533743858e+05,2.9634437561e+05,3.3064838499e-02,3.1294476241e-02,3.3886190504e-02
37,2.8356132507e+05,4.1482716859e+02,5.4526465322e+00,6.3552132420e-04,3.7629401932e-02,1.0951431558e-03,2.8367612362e+05,2.8300569057e+05,2.8400216103e+05,3.7969157100e-02,3.6150924861e-02,3.8768123835e-02
38,2.7031315168e+05,4.0519259910e+02,5.4318666881e+00,6.5118154874e-04,4.3194691340e-02,1.1134742936e-03,2.7042014599e+05,2.6977212429e+05,2.7074718475e+05,4.3563712388e-02,4.1684433818e-02,4.4335927814e-02
39,2.5620278517e+05,3.8939782504e+02,5.4085833448e+00,6.6025798288e-04,4.9553513527e-02,1.1382101173e-03,2.5630061626e+05,2.5568454266e+05,2.5662319660e+05,4.9959208816e-02,4.8001650721e-02,5.0699681044e-02
40,2.4132353465e+05,3.6587675808e+02,5.3825991785e+00,6.5861877565e-04,5.6836313258e-02,1.1715157810e-03,2.4141147137e+05,2.4083797932e+05,2.4172115326e+05,5.7287897915e-02,5.5230040103e-02,5.7991001755e-02
41,2.2583473523e+05,3.3321606951e+02,5.3537902679e+00,6.4095519315e-04,6.5198910733e-02,1.2162537301e-03,2.2591216564e+05,2.2539346218e+05,2.2619857788e+05,6.5708167851e-02,6.3521467149e-02,6.6367097199e-02
42,2.0998430252e+05,2.9027203612e+02,5.3221864150e+00,6.0048687632e-04,7.4826953312e-02,1.2760862249e-03,2.1005141735e+05,2.0960001945e+05,2.1030147076e+05,7.5408659875e-02,7.3056638241e-02,7.6015561819e-02
43,1.9413702885e+05,2.3673400533e+02,5.2881080557e+00,5.2970017391e-04,8.5938289762e-02,1.3554763827e-03,1.9419487715e+05,1.9382252693e+05,1.9439368248e+05,8.6611017585e-02,8.4047399461e-02,8.7156452239e-02
44,1.7880012194e+05,1.7362287231e+02,5.2523676058e+00,4.2180491302e-04,9.8783850670e-02,1.4597311966e-03,1.7885140181e+05,1.7856652737e+05,1.7898243666e+05,9.9570348859e-02,9.6737638116e-02,1.0004356503e-01
45,1.6463703712e+05,1.0432195678e+02,5.2165274545e+00,2.7524243494e-04,1.1364499480e-01,1.5949648279e-03,1.6468615532e+05,1.6449199915e+05,1.6473295689e+05,1.1457284540e-01,1.1140056700e-01,1.1496157199e-01
46,1.5245545705e+05,4.4892349056e+01,5.1831429555e+00,1.2788416653e-04,1.3082174460e-01,1.7670173803e-03,1.5250970125e+05,1.5239976645e+05,1.5245690346e+05,1.3192270696e-01,1.2832847238e-01,1.3221405447e-01
47,1.4314484994e+05,6.9822215941e+01,5.1557756759e+00,2.1186191409e-04,1.5060694516e-01,1.9803390848e-03,1.4321566820e+05,1.4316903353e+05,1.4304984808e+05,1.5191413462e-01,1.4780834317e-01,1.5209835768e-01
48,1.3754449288e+05,1.3009989630e+02,5.1384430121e+00,4.1092275328e-04,1.7324280242e-01,2.2338016737e-03,1.3764754534e+05,1.3762496710e+05,1.3736096621e+05,1.7478546500e-01,1.7008401453e-01,1.7485892773e-01
49,1.3626043002e+05,1.7951689255e+02,5.1343693781e+00,5.7241151442e-04,1.9885202249e-01,2.5173931855e-03,1.3641387224e+05,1.3635886908e+05,1.3600854874e+05,2.0064765215e-01,1.9529193640e-01,2.0061647892e-01
50,1.3950600624e+05,2.1263244410e+02,5.1445924013e+00,6.6216120120e-04,2.2734023134e-01,2.8091946098e-03,1.3972778320e+05,1.3957098722e+05,1.3921924829e+05,2.2938629985e-01,2.2336803377e-01,2.2926636040e-01
51,1.4707744916e+05,2.3717204511e+02,5.1675455245e+00,7.0022017859e-04,2.5827878714e-01,3.0740164191e-03,1.4738215208e+05,1.4704651833e+05,1.4680367708e+05,2.6054498553e-01,2.5393280387e-01,2.6035857201e-01
