alpha,lr,num_observed,effective_epochs,replica,seed,runtime_sec,final_loss,steps_taken,cosine_similarity
1.0,0.0015,100000,1000.0,6,105,14.0766,1.2464991596e-04,6451,1.2555424869e-01
1.0,0.0015,100000,1000.0,7,106,13.8775,1.2272578897e-04,6401,1.2657336891e-01
1.0,0.0015,100000,1000.0,8,107,13.6229,1.3121345546e-04,6301,1.2988869846e-01
1.0,0.0015,100000,1000.0,9,108,14.0624,1.2506359781e-04,6351,1.2930220366e-01
1.0,0.0015,100000,1000.0,10,109,14.2397,1.3493126608e-04,6451,1.2766118348e-01
1.2000000000000002,0.0015,120000,833.3333333333334,1,100,29.7658,3.4149538260e-04,13401,1.8259172142e-01
1.2000000000000002,0.0015,120000,833.3333333333334,2,101,29.2507,3.6277549225e-04,13251,1.7536014318e-01
1.2000000000000002,0.0015,120000,833.3333333333334,3,102,29.1202,3.8412641152e-04,13301,1.7511773109e-01
1.2000000000000002,0.0015,120000,833.3333333333334,4,103,29.4269,3.4084747313e-04,13401,1.7461189628e-01
1.2000000000000002,0.0015,120000,833.3333333333334,5,104,30.0936,3.4670610330e-04,13451,1.7732796073e-01
1.2000000000000002,0.0015,120000,833.3333333333334,6,105,29.2090,3.5916102934e-04,13301,1.7632725835e-01
1.2000000000000002,0.0015,120000,833.3333333333334,7,106,29.1885,3.4734807559e-04,13301,1.7389050126e-01
1.2000000000000002,0.0015,120000,833.3333333333334,8,107,29.0558,3.4484890057e-04,13251,1.8038071692e-01
1.2000000000000002,0.0015,120000,833.3333333333334,9,108,28.9126,3.6517833360e-04,13201,1.7692945898e-01
1.2000000000000002,0.0015,120000,833.3333333333334,10,109,29.7289,3.5265713814e-04,13501,1.7565502226e-01
1.4000000000000001,0.0015,140000,714.2857142857143,1,100,65.0618,1.9663970452e-03,30401,2.4845804274e-01
1.4000000000000001,0.0015,140000,714.2857142857143,2,101,69.1887,1.5583145432e-03,32251,2.4917706847e-01
1.4000000000000001,0.0015,140000,714.2857142857143,3,102,61.4278,2.5141248479e-03,29101,2.4598677456e-01
1.4000000000000001,0.0015,140000,714.2857142857143,4,103,67.0313,1.8287475687e-03,31401,2.4290567636e-01
1.4000000000000001,0.0015,140000,714.2857142857143,5,104,66.5492,1.6933921725e-03,31251,2.5017076731e-01
1.4000000000000001,0.0015,140000,714.2857142857143,6,105,66.8843,1.8643890508e-03,31251,2.4721887708e-01
1.4000000000000001,0.0015,140000,714.2857142857143,7,106,60.4991,2.9110463802e-03,28301,2.4447342753e-01
1.4000000000000001,0.0015,140000,714.2857142857143,8,107,63.5961,2.1367650479e-03,29651,2.5482013822e-01
1.4000000000000001,0.0015,140000,714.2857142857143,9,108,64.4440,2.4376718793e-03,29851,2.4688148499e-01
1.4000000000000001,0.0015,140000,714.2857142857143,10,109,69.1279,1.5775554348e-03,31851,2.4758063257e-01
1.6,0.0015,160000,625.0,1,100,51.9952,1.4545738697e-01,25301,3.3144557476e-01
1.6,0.0015,160000,625.0,2,101,52.5796,1.3900119066e-01,25601,3.3104097843e-01
1.6,0.0015,160000,625.0,3,102,52.9722,1.3741560280e-01,25551,3.2976210117e-01
1.6,0.0015,160000,625.0,4,103,48.0024,1.6820664704e-01,23301,3.2532793283e-01
1.6,0.0015,160000,625.0,5,104,60.4782,1.1191783100e-01,29201,3.3707416058e-01
1.6,0.0015,160000,625.0,6,105,53.8373,1.4299517870e-01,25751,3.3275789022e-01
1.6,0.0015,160000,625.0,7,106,62.9243,1.0780329257e-01,29901,3.3174240589e-01
1.6,0.0015,160000,625.0,8,107,58.0981,1.2358230352e-01,27301,3.4054556489e-01
1.6,0.0015,160000,625.0,9,108,43.8710,1.9901172817e-01,21001,3.2491770387e-01
1.6,0.0015,160000,625.0,10,109,68.2217,9.3208499253e-02,32351,3.3613690734e-01
1.8,0.0015,180000,555.5555555555555,1,100,90.8269,3.9404726028e-01,43001,4.4041386247e-01
1.8,0.0015,180000,555.5555555555555,2,101,30.9717,9.9703603983e-01,14351,3.9698883891e-01
1.8,0.0015,180000,555.5555555555555,3,102,58.0659,5.8328777552e-01,26751,4.2104101181e-01
1.8,0.0015,180000,555.5555555555555,4,103,100.5834,3.4031841159e-01,50000,4.4296264648e-01
1.8,0.0015,180000,555.5555555555555,5,104,43.8923,6.7312562466e-01,21751,4.2097279429e-01
1.8,0.0015,180000,555.5555555555555,6,105,50.1483,6.1618900299e-01,25001,4.2286407948e-01
1.8,0.0015,180000,555.5555555555555,7,106,52.9530,5.8458948135e-01,26301,4.2164665461e-01
1.8,0.0015,180000,555.5555555555555,8,107,36.2300,8.2090884447e-01,17851,4.1142478585e-01
1.8,0.0015,180000,555.5555555555555,9,108,54.6489,5.8430314064e-01,27151,4.2276263237e-01
1.8,0.0015,180000,555.5555555555555,10,109,42.0748,7.1784025431e-01,20851,4.1242763400e-01
2.0,0.0015,200000,500.0,1,100,54.9058,1.2200000286e+00,27051,5.2871167660e-01
2.0,0.0015,200000,500.0,2,101,77.9877,9.7625857592e-01,38551,5.5047106743e-01
2.0,0.0015,200000,500.0,3,102,65.1481,1.1153464317e+00,31951,5.3686642647e-01
2.0,0.0015,200000,500.0,4,103,47.0212,1.3298468590e+00,23101,5.1911747456e-01
2.0,0.0015,200000,500.0,5,104,94.8324,8.5962665081e-01,46601,5.6622171402e-01
