alpha,Q_Y_mean,Q_Y_std,Loss_mean,Loss_std,Steps_mean,qy_replica_0,qy_replica_1,qy_replica_2,qy_replica_3,qy_replica_4,qy_replica_5,qy_replica_6,qy_replica_7,qy_replica_8,qy_replica_9
0.5,3.372334758751094e-05,0.0012835931504657791,4420.940502929688,765.0470862535865,500.0,0.001627662917599082,-0.0015114700654521585,-0.0006767271552234888,0.0012918048305436969,0.0014187569031491876,0.0006517348228953779,-0.0018354328349232674,0.0002850884338840842,0.000792178325355053,-0.0017063627019524574
1.0,-0.00038620865670964123,0.0012282445392427527,1966.95205078125,258.0560683690755,500.0,-0.002634126925840974,-0.0016454822616651654,-2.3161035642260686e-05,8.203899051295593e-05,-0.0007734230603091419,-0.0014174861134961247,0.0020486637949943542,0.00015162047930061817,4.148535299464129e-05,0.00030778421205468476
1.5,0.000398148878957727,0.0006960045419013372,1332.032781982422,278.57392177628606,500.0,-0.0009550928953103721,0.0008874664199538529,0.0003910391533281654,0.0009806286543607712,3.11308576783631e-05,0.00020079995738342404,0.00046965020010247827,-0.0004923651576973498,0.001054203137755394,0.001414028462022543
2.0,0.0007585725325043313,0.0014089741186514755,1620.0981384277343,1254.640106189973,500.0,-0.00016351244994439185,-0.0007019218755885959,0.0028712444473057985,-0.00017069872410502285,0.002842631656676531,-0.0015905838226899505,0.0007934144232422113,0.001958271721377969,0.0011998976115137339,0.0005469823372550309
2.5,0.00034125951933674516,0.001779138103161865,5378.340405273438,4802.635167497338,500.0,0.00039066796307452023,-0.0012202522484585643,0.0013364176265895367,0.0024820417165756226,-0.0003521342878229916,-0.0035417594481259584,0.0002676880976650864,0.00048573320964351296,0.0031789387576282024,0.0003852538065984845
3.0,0.0013857953264960088,0.003193087164765443,2042.6987731933593,1529.3493430362937,500.0,-0.002466790145263076,-0.0005746401147916913,0.0028588715940713882,-0.0010154354386031628,0.003135181963443756,-0.0010238169925287366,0.009173651225864887,0.0007447872776538134,0.003152568358927965,-0.0001264244638150558
3.5,0.000927134312223643,0.0022260157639285754,5303.610144042968,4927.212729537418,500.0,-0.001933378167450428,0.0009200847707688808,0.0005888932500965893,0.004998442251235247,0.0015477911802008748,0.00132148084230721,-0.0015696160262450576,-0.0005108998157083988,-0.0006655053584836423,0.004574050195515156
4.0,0.0005892327106266748,0.0023880520548972615,2403.9942626953125,1458.693317346958,500.0,-0.00250669801607728,-0.00045074839727021754,-0.0005379425710998476,-0.003870369866490364,0.0014637099811807275,0.0029390493873506784,-5.4871874453965575e-05,0.0019880954641848803,0.0033025015145540237,0.003619601484388113
4.5,0.0017061361235391815,0.0020832521973137646,6568.03359375,7244.408157946298,500.0,0.005241047590970993,0.0024440211709588766,-7.45968718547374e-05,0.0007922996301203966,0.0007432943093590438,0.005580562632530928,-7.310273213079199e-05,0.0019957164768129587,0.0013603913830593228,-0.0009482723544351757
5.0,0.0008459166478132829,0.0027239332550254296,2477.863427734375,3357.4616684662697,500.0,0.004150961991399527,-0.001569706597365439,-0.0020019980147480965,0.0017744185170158744,0.0008035028586164117,-0.0025659208185970783,-0.0008736078161746264,-0.00036541445297189057,0.006120065692812204,0.0029868651181459427
