replica,seed,runtime_sec,final_loss,estimated_convergence_step,qy
1,42,235.0868,1.5655277967e+00,,-2.3916839564e-04
2,1042,234.3132,1.5413260460e+00,,-6.8328046473e-04
3,2042,237.5636,1.5537221432e+00,,-5.8641930809e-04
