label,alpha,mean_cosine_similarity,std_cosine_similarity,source_file
2000×100_alpha0-5,0.2,0.0098751169629395,0.0006082852607444798,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/2000×100_alpha0-5/metrics.csv
2000×100_alpha0-5,0.4,0.020492507331073283,0.0005073773449329699,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/2000×100_alpha0-5/metrics.csv
2000×100_alpha0-5,0.6000000000000001,0.03224963955581188,0.0004950108236206909,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/2000×100_alpha0-5/metrics.csv
2000×100_alpha0-5,0.8,0.046137817203998566,0.0006355626070639924,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/2000×100_alpha0-5/metrics.csv
2000×100_alpha0-5,1.0,0.0647389642894268,0.0010298402742752201,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/2000×100_alpha0-5/metrics.csv
2000×100_alpha0-5,1.2000000000000002,0.09139897897839547,0.001499134817495914,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/2000×100_alpha0-5/metrics.csv
2000×100_alpha0-5,1.4000000000000001,0.13313166350126265,0.0019432115342417032,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/2000×100_alpha0-5/metrics.csv
2000×100_alpha0-5,1.6,0.18263244926929473,0.0031488627236398474,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/2000×100_alpha0-5/metrics.csv
2000×100_alpha0-5,1.8,0.23910056352615355,0.007135996322027205,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/2000×100_alpha0-5/metrics.csv
2000×100_alpha0-5,2.0,0.3245813399553299,0.01588803096496292,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/2000×100_alpha0-5/metrics.csv
2000×100_alpha0-5,2.2,0.4046636879444122,0.02942911884611941,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/2000×100_alpha0-5/metrics.csv
2000×100_alpha0-5,2.4000000000000004,0.5770685762166977,0.061515650851664785,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/2000×100_alpha0-5/metrics.csv
2000×100_alpha0-5,2.6,0.9134146273136139,0.1702810312761884,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/2000×100_alpha0-5/metrics.csv
2000×100_alpha0-5,2.8000000000000003,0.9997574865818024,2.122528095711505e-05,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/2000×100_alpha0-5/metrics.csv
2000×100_alpha0-5,3.0,0.9999397695064545,1.6808615508322208e-06,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/2000×100_alpha0-5/metrics.csv
2000×100_alpha0-5,3.2,0.999958074092865,2.1313474184800264e-06,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/2000×100_alpha0-5/metrics.csv
2000×100_alpha0-5,3.4000000000000004,0.999970543384552,1.319351201941732e-06,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/2000×100_alpha0-5/metrics.csv
2000×100_alpha0-5,3.6,0.9999792397022247,6.125374205859761e-07,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/2000×100_alpha0-5/metrics.csv
2000×100_alpha0-5,3.8000000000000003,0.9999838709831238,4.806958473600376e-07,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/2000×100_alpha0-5/metrics.csv
2000×100_alpha0-5,4.0,0.9999871730804444,6.164399849819134e-07,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/2000×100_alpha0-5/metrics.csv
2000×100_alpha0-5,4.2,0.9999891877174377,6.686355429830625e-07,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/2000×100_alpha0-5/metrics.csv
2000×100_alpha0-5,4.4,0.9999913036823272,3.500472750669962e-07,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/2000×100_alpha0-5/metrics.csv
2000×100_alpha0-5,4.6000000000000005,0.9999922215938568,2.417480920633465e-07,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/2000×100_alpha0-5/metrics.csv
2000×100_alpha0-5,4.800000000000001,0.9999933004379272,2.016012015973063e-07,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/2000×100_alpha0-5/metrics.csv
2000×100_alpha0-5,5.0,0.9999939441680908,2.2961330752680566e-07,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/2000×100_alpha0-5/metrics.csv
4000_100_alpha0-5,0.0,0.00017224168968823505,0.0002243136696024484,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/4000_100_alpha0-5/metrics.csv
4000_100_alpha0-5,0.2,0.005048662051558494,0.00019336572840527918,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/4000_100_alpha0-5/metrics.csv
4000_100_alpha0-5,0.4,0.010301035456359386,0.00017464345964395974,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/4000_100_alpha0-5/metrics.csv
4000_100_alpha0-5,0.6000000000000001,0.016144923493266107,0.00024538351368239534,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/4000_100_alpha0-5/metrics.csv
4000_100_alpha0-5,0.8,0.023352359980344774,0.00021996045657871993,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/4000_100_alpha0-5/metrics.csv
4000_100_alpha0-5,1.0,0.03284544125199318,0.00037382511444224663,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/4000_100_alpha0-5/metrics.csv
4000_100_alpha0-5,1.2000000000000002,0.04685839414596558,0.0008898606890771612,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/4000_100_alpha0-5/metrics.csv
4000_100_alpha0-5,1.4000000000000001,0.06931023746728897,0.000980617614841796,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/4000_100_alpha0-5/metrics.csv
4000_100_alpha0-5,1.6,0.09568842649459838,0.003032728196603972,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/4000_100_alpha0-5/metrics.csv
4000_100_alpha0-5,1.8,0.12752244919538497,0.004528378682026002,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/4000_100_alpha0-5/metrics.csv
4000_100_alpha0-5,2.0,0.1682001382112503,0.008698834962560506,/Users/teraokei/Project/tera/terao_gd/gd_cosine_minibatch/Result_data/cosine_vs_alpha/M_fixed/M_100/4000_100_alpha0-5/metrics.csv
