step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,loss_replica_2,cosine_similarity_replica_1,cosine_similarity_replica_2
1,8.9980529845e+06,7.3894858360e+02,6.9541485447e+00,3.5665637171e-05,-3.0064136809e-05,1.1332687063e-04,8.9987919331e+06,8.9973140359e+06,-1.4339100744e-04,8.3262733824e-05
2,8.9980540574e+06,7.4002146721e+02,6.9541485965e+00,3.5717416052e-05,-3.0049708585e-05,1.1332769282e-04,8.9987940788e+06,8.9973140359e+06,-1.4337740140e-04,8.3277984231e-05
3,8.9980524480e+06,7.4055790901e+02,6.9541485188e+00,3.5743314011e-05,-2.9964525311e-05,1.1332939175e-04,8.9987930059e+06,8.9973118901e+06,-1.4329391706e-04,8.3364866441e-05
4,8.9980476201e+06,7.3948502541e+02,6.9541482858e+00,3.5691550019e-05,-2.9706287023e-05,1.1333289876e-04,8.9987871051e+06,8.9973081350e+06,-1.4303918579e-04,8.3626611740e-05
5,8.9980331361e+06,7.3894858360e+02,6.9541475867e+00,3.5665715844e-05,-2.9130216717e-05,1.1333735529e-04,8.9987720847e+06,8.9972941875e+06,-1.4246757200e-04,8.4207138570e-05
6,8.9979998767e+06,7.3787570000e+02,6.9541459814e+00,3.5614064231e-05,-2.8048336389e-05,1.1334331066e-04,8.9987377524e+06,8.9972620010e+06,-1.4139164705e-04,8.5294974269e-05
7,8.9979430139e+06,7.3894858360e+02,6.9541432369e+00,3.5666073067e-05,-2.6229314244e-05,1.1335127419e-04,8.9986819625e+06,8.9972040653e+06,-1.3958058844e-04,8.7121959950e-05
8,8.9978499413e+06,7.3814392090e+02,6.9541387446e+00,3.5627603762e-05,-2.3398995836e-05,1.1336218813e-04,8.9985880852e+06,8.9971117973e+06,-1.3676118397e-04,8.9963192295e-05
9,8.9977115393e+06,7.3868036270e+02,6.9541320644e+00,3.5654044335e-05,-1.9237457309e-05,1.1337579053e-04,8.9984502196e+06,8.9969728589e+06,-1.3261324784e-04,9.4138333225e-05
10,8.9975125194e+06,7.3760747910e+02,6.9541224582e+00,3.5603046732e-05,-1.3386103092e-05,1.1339290359e-04,8.9982501268e+06,8.9967749119e+06,-1.2677900668e-04,1.0000680049e-04
11,8.9972400069e+06,7.3707103729e+02,6.9541093042e+00,3.5578231184e-05,-5.4400807130e-06,1.1341348727e-04,8.9979770780e+06,8.9965029359e+06,-1.1885356798e-04,1.0797340656e-04
12,8.9968789816e+06,7.3707103729e+02,6.9540918773e+00,3.5579658861e-05,5.0491398724e-06,1.1343907317e-04,8.9976160526e+06,8.9961419106e+06,-1.0838993330e-04,1.1848821305e-04
13,8.9964101315e+06,7.3599815369e+02,6.9540692445e+00,3.5529720508e-05,1.8571001419e-05,1.1347044347e-04,8.9971461296e+06,8.9956741333e+06,-9.4899442047e-05,1.3204144489e-04
14,8.9958146811e+06,7.3546171188e+02,6.9540404987e+00,3.5506174278e-05,3.5658755223e-05,1.1350757268e-04,8.9965501428e+06,8.9950792193e+06,-7.7848817455e-05,1.4916632790e-04
15,8.9950725138e+06,7.3465704918e+02,6.9540046673e+00,3.5470253605e-05,5.6888588006e-05,1.1355333845e-04,8.9958071709e+06,8.9943378568e+06,-5.6664750446e-05,1.7044192646e-04
16,8.9941613674e+06,7.3438882828e+02,6.9539606737e+00,3.5460895505e-05,8.2879305410e-05,1.1360580538e-04,8.9948957562e+06,8.9934269786e+06,-3.0726499972e-05,1.9648511079e-04
17,8.9930584431e+06,7.3331594467e+02,6.9539074143e+00,3.5413432592e-05,1.1429469313e-04,1.1366714162e-04,8.9937917590e+06,8.9923251271e+06,6.2755151475e-07,2.2796183475e-04
18,8.9917396009e+06,7.3251128197e+02,6.9538437199e+00,3.5379762150e-05,1.5183878349e-04,1.1373905363e-04,8.9924721122e+06,8.9910070896e+06,3.8099729863e-05,2.6557783713e-04
19,8.9901758730e+06,7.3197484016e+02,6.9537681864e+00,3.5360001758e-05,1.9626213543e-04,1.1382209414e-04,8.9909078479e+06,8.9894438982e+06,8.2440041297e-05,3.1008422957e-04
20,8.9883409739e+06,7.3117017746e+02,6.9536795376e+00,3.5328340906e-05,2.4835728982e-04,1.1391744192e-04,8.9890721440e+06,8.9876098037e+06,1.3443984790e-04,3.6227473174e-04
21,8.9862070084e+06,7.2902441025e+02,6.9535764175e+00,3.5233027566e-05,3.0896075623e-04,1.1402782548e-04,8.9869360328e+06,8.9854779840e+06,1.9493293075e-04,4.2298858170e-04
22,8.9837404490e+06,7.2848796844e+02,6.9534571947e+00,3.5216768262e-05,3.7895575224e-04,1.1415161134e-04,8.9844689369e+06,8.9830119610e+06,2.6480414090e-04,4.9310736358e-04
23,8.9809109867e+06,7.2714686394e+02,6.9533203905e+00,3.5163010935e-05,4.5926736493e-04,1.1429200822e-04,8.9816381335e+06,8.9801838398e+06,3.4497535671e-04,5.7355937315e-04
24,8.9776853621e+06,7.2661042213e+02,6.9531643793e+00,3.5149694469e-05,5.5087011424e-04,1.1445002747e-04,8.9784119725e+06,8.9769587517e+06,4.3642008677e-04,6.6532014171e-04
25,8.9740279019e+06,7.2392821312e+02,6.9529874141e+00,3.5034215669e-05,6.5478327451e-04,1.1462811381e-04,8.9747518301e+06,8.9733039737e+06,5.4015516071e-04,7.6941138832e-04
26,8.9699013233e+06,7.2258710861e+02,6.9527876640e+00,3.4985400990e-05,7.7207578579e-04,1.1482677655e-04,8.9706239104e+06,8.9691787362e+06,6.5724900924e-04,8.8690256234e-04
27,8.9652707577e+06,7.2097778320e+02,6.9525634087e+00,3.4925512230e-05,9.0386316879e-04,1.1504703434e-04,8.9659917355e+06,8.9645497799e+06,7.8881613445e-04,1.0189102031e-03
28,8.9600946307e+06,7.1936845779e+02,6.9523125950e+00,3.4867684464e-05,1.0513136222e-03,1.1529304902e-04,8.9608139992e+06,8.9593752623e+06,9.3602057314e-04,1.1666066712e-03
29,8.9543329775e+06,7.1695446968e+02,6.9520332387e+00,3.4773039087e-05,1.2156473822e-03,1.1556426762e-04,8.9550499320e+06,8.9536160231e+06,1.1000831146e-03,1.3312116498e-03
30,8.9479431510e+06,7.1507692337e+02,6.9517232148e+00,3.4706742921e-05,1.3981395750e-03,1.1586333858e-04,8.9486582279e+06,8.9472280741e+06,1.2822762365e-03,1.5140029136e-03
31,8.9408814311e+06,7.1239471436e+02,6.9513803342e+00,3.4603869476e-05,1.6001207987e-03,1.1619192082e-04,8.9415938258e+06,8.9401690364e+06,1.4839288779e-03,1.7163127195e-03
32,8.9331038296e+06,7.0998072624e+02,6.9510023805e+00,3.4516638136e-05,1.8229812849e-03,1.1655222625e-04,8.9338138103e+06,8.9323938489e+06,1.7064290587e-03,1.9395335112e-03
33,8.9245644808e+06,7.0756673813e+02,6.9505870303e+00,3.4432193442e-05,2.0681734895e-03,1.1694629211e-04,8.9252720475e+06,8.9238569140e+06,1.9512271974e-03,2.1851197816e-03
34,8.9152140319e+06,7.0407986641e+02,6.9501317726e+00,3.4298447614e-05,2.3372152355e-03,1.1737667955e-04,8.9159181118e+06,8.9145099521e+06,2.2198385559e-03,2.4545919150e-03
35,8.9050031304e+06,7.0112943649e+02,6.9496340751e+00,3.4193884217e-05,2.6316950098e-03,1.1784350500e-04,8.9057042599e+06,8.9043020010e+06,2.5138515048e-03,2.7495385148e-03
36,8.8938800097e+06,6.9791078568e+02,6.9490912646e+00,3.4079479752e-05,2.9532738263e-03,1.1835165787e-04,8.8945779204e+06,8.8931820989e+06,2.8349221684e-03,3.0716254842e-03
37,8.8817929029e+06,6.9308280945e+02,6.9485006412e+00,3.3889783690e-05,3.3036911627e-03,1.1890183669e-04,8.8824859858e+06,8.8810998201e+06,3.1847893260e-03,3.4225929994e-03
38,8.8686868250e+06,6.8905949593e+02,6.9478593179e+00,3.3742846409e-05,3.6847724114e-03,1.1949683540e-04,8.8693758845e+06,8.8679977655e+06,3.5652755760e-03,3.8042692468e-03
39,8.8545057178e+06,6.8449974060e+02,6.9471643214e+00,3.3573241723e-05,4.0984312072e-03,1.2013874948e-04,8.8551902175e+06,8.8538212180e+06,3.9782924578e-03,4.2185699567e-03
40,8.8391889632e+06,6.7886710167e+02,6.9464124170e+00,3.3354670661e-05,4.5466814190e-03,1.2083072215e-04,8.8398678303e+06,8.8385100961e+06,4.4258506969e-03,4.6675121412e-03
41,8.8226794302e+06,6.7242980003e+02,6.9456004983e+00,3.3100211165e-05,5.0316404086e-03,1.2157461606e-04,8.8233518600e+06,8.8220070004e+06,4.9100657925e-03,5.1532150246e-03
42,8.8049130142e+06,6.6599249840e+02,6.9447250686e+00,3.2849486091e-05,5.5555421859e-03,1.2237392366e-04,8.8055790067e+06,8.8042470217e+06,5.4331682622e-03,5.6779161096e-03
43,8.7858258784e+06,6.5901875496e+02,6.9437825907e+00,3.2576130377e-05,6.1207434628e-03,1.2323004194e-04,8.7864848971e+06,8.7851668596e+06,5.9975134209e-03,6.2439735048e-03
44,8.7653509676e+06,6.5097212791e+02,6.9427693089e+00,3.2253540627e-05,6.7297387868e-03,1.2414855883e-04,8.7660019398e+06,8.7646999955e+06,6.6055902280e-03,6.8538873456e-03
45,8.7434185445e+06,6.4131617546e+02,6.9416812672e+00,3.1854826032e-05,7.3851719499e-03,1.2512737885e-04,8.7440598607e+06,8.7427772284e+06,7.2600445710e-03,7.5102993287e-03
46,8.7199575305e+06,6.3246488571e+02,6.9405143686e+00,3.1499695885e-05,8.0898520537e-03,1.2617418543e-04,8.7205899954e+06,8.7193250656e+06,7.9636778682e-03,8.2160262391e-03
47,8.6948925555e+06,6.2146782875e+02,6.9392642186e+00,3.1041217294e-05,8.8467639871e-03,1.2728897855e-04,8.6955140233e+06,8.6942710876e+06,8.7194750085e-03,8.9740529656e-03
48,8.6681450307e+06,6.0912966728e+02,6.9379261680e+00,3.0518831049e-05,9.6590979956e-03,1.2847455218e-04,8.6687541604e+06,8.6675359011e+06,9.5306234434e-03,9.7875725478e-03
49,8.6396360993e+06,5.9598684311e+02,6.9364954494e+00,2.9958877282e-05,1.0530262720e-02,1.2973556295e-04,8.6402320862e+06,8.6390401125e+06,1.0400527157e-02,1.0659998283e-02
50,8.6092788577e+06,5.8096647263e+02,6.9349667740e+00,2.9306813937e-05,1.1463914998e-02,1.3107713312e-04,8.6098598242e+06,8.6086978912e+06,1.1332837865e-02,1.1594992131e-02
51,8.5769850612e+06,5.6487321854e+02,6.9333346527e+00,2.8602279285e-05,1.2463980820e-02,1.3249693438e-04,8.5775499344e+06,8.5764201880e+06,1.2331483886e-02,1.2596477754e-02
52,8.5426619053e+06,5.4609775543e+02,6.9315932177e+00,2.7762686235e-05,1.3534695841e-02,1.3400148600e-04,8.5432080030e+06,8.5421158075e+06,1.3400694355e-02,1.3668697327e-02
53,8.5062147081e+06,5.2651762962e+02,6.9297363399e+00,2.6881957405e-05,1.4680637047e-02,1.3559311628e-04,8.5067412257e+06,8.5056881905e+06,1.4545043930e-02,1.4816230163e-02
54,8.4675367177e+06,5.0452351570e+02,6.9277570878e+00,2.5876684852e-05,1.5906764194e-02,1.3727508485e-04,8.4680412412e+06,8.4670321941e+06,1.5769489110e-02,1.6044039279e-02
55,8.4265225232e+06,4.8038363457e+02,6.9256483852e+00,2.4758488610e-05,1.7218476161e-02,1.3905204833e-04,8.4270029068e+06,8.4260421395e+06,1.7079424113e-02,1.7357528210e-02
56,8.3830578625e+06,4.5409798622e+02,6.9234024632e+00,2.3525097057e-05,1.8621657975e-02,1.4092121273e-04,8.3835119605e+06,8.3826037645e+06,1.8480736762e-02,1.8762579188e-02
57,8.3370244503e+06,4.2432546616e+02,6.9210110746e+00,2.2104074390e-05,2.0122752525e-02,1.4289002866e-04,8.3374487758e+06,8.3366001248e+06,1.9979862496e-02,2.0265642554e-02
58,8.2882927358e+06,3.9240717888e+02,6.9184650811e+00,2.0561565331e-05,2.1728840657e-02,1.4495756477e-04,8.2886851430e+06,8.2879003286e+06,2.1583883092e-02,2.1873798221e-02
59,8.2367269993e+06,3.5673379898e+02,6.9157546714e+00,1.8809354798e-05,2.3447722197e-02,1.4712288976e-04,8.2370837331e+06,8.2363702655e+06,2.3300599307e-02,2.3594845086e-02
60,8.1821840107e+06,3.1784176826e+02,6.9128692419e+00,1.6870425545e-05,2.5288030505e-02,1.4938600361e-04,8.1825018525e+06,8.1818661690e+06,2.5138644502e-02,2.5437416509e-02
61,8.1245090067e+06,2.7492642403e+02,6.9097971242e+00,1.4696153186e-05,2.7259361930e-02,1.5174690634e-04,8.1247839332e+06,8.1242340803e+06,2.7107615024e-02,2.7411108837e-02
62,8.0635383725e+06,2.2745132446e+02,6.9065256568e+00,1.2250311288e-05,2.9372413643e-02,1.5420001000e-04,8.0637658238e+06,8.0633109212e+06,2.9218213633e-02,2.9526613653e-02
63,7.9990964234e+06,1.7622113228e+02,6.9030409318e+00,9.5675637977e-06,3.1639168039e-02,1.5674717724e-04,7.9992726445e+06,7.9989202023e+06,3.1482420862e-02,3.1795915216e-02
64,7.9309908450e+06,1.1989474297e+02,6.8993274485e+00,6.5653367027e-06,3.4073116258e-02,1.5938468277e-04,7.9311107397e+06,7.9308709502e+06,3.3913731575e-02,3.4232500941e-02
65,7.8590204716e+06,5.8472156525e+01,6.8953684200e+00,3.2312086491e-06,3.6689516157e-02,1.6211345792e-04,7.8590789437e+06,7.8589619994e+06,3.6527402699e-02,3.6851629615e-02
66,7.7829632163e+06,8.0466270447e+00,6.8911449779e+00,4.4900709728e-07,3.9505708963e-02,1.6492605209e-04,7.7829551697e+06,7.7829712629e+06,3.9340782911e-02,3.9670635015e-02
67,7.7025782168e+06,7.9661607742e+01,6.8866361171e+00,4.4915605772e-06,4.2541518807e-02,1.6781687737e-04,7.7024985552e+06,7.7026578784e+06,4.2373701930e-02,4.2709335685e-02
68,7.6176074445e+06,1.5851855278e+02,6.8818185885e+00,9.0374482098e-06,4.5819705352e-02,1.7078034580e-04,7.6174489260e+06,7.6177659631e+06,4.5648925006e-02,4.5990485698e-02
69,7.5277668536e+06,2.4113059044e+02,6.8766661596e+00,1.3911387922e-05,4.9366582185e-02,1.7379224300e-04,7.5275257230e+06,7.5280079842e+06,4.9192789942e-02,4.9540374428e-02
70,7.4327458441e+06,3.3178925514e+02,6.8711492823e+00,1.9386407901e-05,5.3212776780e-02,1.7683953047e-04,7.4324140549e+06,7.4330776334e+06,5.3035937250e-02,5.3389616311e-02
71,7.3322027028e+06,4.2888522148e+02,6.8652344620e+00,2.5403346419e-05,5.7394172996e-02,1.7988309264e-04,7.3317738175e+06,7.3326315880e+06,5.7214289904e-02,5.7574056089e-02
72,7.2257624567e+06,5.3241848946e+02,6.8588836791e+00,3.2000278703e-05,6.1953114346e-02,1.8286518753e-04,7.2252300382e+06,7.2262948751e+06,6.1770249158e-02,6.2135979533e-02
73,7.1130069494e+06,6.4480304718e+02,6.8520532312e+00,3.9369342398e-05,6.6940031946e-02,1.8570572138e-04,7.1123621464e+06,7.1136517525e+06,6.6754326224e-02,6.7125737667e-02
74,6.9934721589e+06,7.6550245285e+02,6.8446928477e+00,4.7537687279e-05,7.2415478528e-02,1.8833577633e-04,6.9927066565e+06,6.9942376614e+06,7.2227142751e-02,7.2603814304e-02
75,6.8666345179e+06,8.9344382286e+02,6.8367439287e+00,5.6507700146e-05,7.8452911228e-02,1.9067153335e-04,6.8657410741e+06,6.8675279617e+06,7.8262239695e-02,7.8643582761e-02
76,6.7319047451e+06,1.0299682617e+03,6.8281379571e+00,6.6446206984e-05,8.5142411292e-02,1.9260495901e-04,6.7308747768e+06,6.7329347134e+06,8.4949806333e-02,8.5335016251e-02
77,6.5886125565e+06,1.1737346649e+03,6.8187939627e+00,7.7367805318e-05,9.2595782131e-02,1.9399449229e-04,6.5874388218e+06,6.5897862911e+06,9.2401787639e-02,9.2789776623e-02
78,6.4359865487e+06,1.3242065907e+03,6.8086151186e+00,8.9356250046e-05,1.0095373541e-01,1.9451975822e-04,6.4346623421e+06,6.4373107553e+06,1.0075921565e-01,1.0114825517e-01
79,6.2731335461e+06,1.4835298061e+03,6.7974845210e+00,1.0270605843e-04,1.1039634049e-01,1.9378960133e-04,6.2716500163e+06,6.2746170759e+06,1.1020255089e-01,1.1059013009e-01
80,6.0990045369e+06,1.6541182995e+03,6.7852589404e+00,1.1778552765e-04,1.2115833908e-01,1.9116699696e-04,6.0973504186e+06,6.1006586552e+06,1.2096717209e-01,1.2134950608e-01
81,5.9123600721e+06,1.8340945244e+03,6.7717608545e+00,1.3472406062e-04,1.3355208933e-01,1.8575787544e-04,5.9105259776e+06,5.9141941667e+06,1.3336633146e-01,1.3373784721e-01
82,5.7117265463e+06,2.0277500153e+03,6.7567673797e+00,1.5418116959e-04,1.4800462127e-01,1.7605721951e-04,5.7096987963e+06,5.7137542963e+06,1.4782856405e-01,1.4818067849e-01
83,5.4953524768e+06,2.2297203541e+03,6.7399955179e+00,1.7621350099e-04,1.6511733830e-01,1.6036629677e-04,5.4931227565e+06,5.4975821972e+06,1.6495697200e-01,1.6527770460e-01
84,5.2612511516e+06,2.4338364601e+03,6.7210889873e+00,2.0090312920e-04,1.8576633185e-01,1.3550370932e-04,5.2588173151e+06,5.2636849880e+06,1.8563082814e-01,1.8590183556e-01
85,5.0075098872e+06,2.6312470436e+03,6.6996217555e+00,2.2820447737e-04,2.1127556264e-01,9.5903873444e-05,5.0048786402e+06,5.0101411343e+06,2.1117965877e-01,2.1137146652e-01
86,4.7335450351e+06,2.7870833874e+03,6.6751864381e+00,2.5571005803e-04,2.4371670932e-01,3.2834708691e-05,4.7307579517e+06,4.7363321185e+06,2.4368387461e-01,2.4374954402e-01
87,4.4445469379e+06,2.8259754181e+03,6.6478274093e+00,2.7613741346e-04,2.8640620410e-01,7.0825219154e-05,4.4417209625e+06,4.4473729134e+06,2.8647702932e-01,2.8633537889e-01
88,4.1668681651e+06,2.5294572115e+03,6.6198096801e+00,2.6363431732e-04,3.4459117055e-01,2.4309754372e-04,4.1643387079e+06,4.1693976223e+06,3.4483426809e-01,3.4434807301e-01
89,4.0057441145e+06,1.3624280691e+03,6.6026831781e+00,1.4771163567e-04,4.2542000115e-01,5.2852928638e-04,4.0043816864e+06,4.0071065426e+06,4.2594853044e-01,4.2489147186e-01
90,4.3860085309e+06,1.3384222984e+03,6.6420694518e+00,1.3252811357e-04,5.2964690328e-01,9.3463063240e-04,4.3873469532e+06,4.3846701086e+06,5.3058153391e-01,5.2871227264e-01
91,6.6098009348e+06,1.0531961918e+04,6.8201878289e+00,6.9199917828e-04,5.8129063249e-01,4.1738152504e-04,6.5992689729e+06,6.6203328967e+06,5.8170801401e-01,5.8087325096e-01
92,6.1571153998e+06,2.1510779858e+04,6.7893746430e+00,1.5172772306e-03,1.0494365916e-01,2.6081241667e-03,6.1356046200e+06,6.1786261797e+06,1.0233553499e-01,1.0755178332e-01
93,4.5414935052e+06,6.4826309681e+03,6.6571982550e+00,6.1992222747e-04,3.7574975193e-01,1.6584545374e-03,4.5479761362e+06,4.5350108743e+06,3.7740820646e-01,3.7409129739e-01
94,5.5965283513e+06,5.4765343666e+03,6.7479185002e+00,4.2498300111e-04,5.7506018877e-01,4.5830011368e-04,5.5910518169e+06,5.6020048857e+06,5.7551848888e-01,5.7460188866e-01
95,6.6223276556e+06,2.2798508406e+04,6.8210080911e+00,1.4951397799e-03,3.7954196334e-01,6.3538551331e-05,6.5995291471e+06,6.6451261640e+06,3.7947842479e-01,3.7960550189e-01
96,6.1635674536e+06,6.0127079487e+03,6.7898319466e+00,4.2366482259e-04,1.2589503825e-01,2.4147331715e-04,6.1695801616e+06,6.1575547457e+06,1.2613651156e-01,1.2565356493e-01
97,5.4356813729e+06,6.5083801746e+03,6.7352536802e+00,5.2000011642e-04,4.7844685614e-01,4.3787062168e-04,5.4421897531e+06,5.4291729927e+06,4.7800898552e-01,4.7888472676e-01
98,6.2779650092e+06,1.6948342323e+04,6.7978173082e+00,1.1724483044e-03,4.4638867676e-01,1.6451627016e-03,6.2610166669e+06,6.2949133515e+06,4.4803383946e-01,4.4474351406e-01
99,6.9193294644e+06,1.4263451099e+04,6.8400630873e+00,8.9525248241e-04,2.1274238825e-01,2.9008835554e-03,6.9050660133e+06,6.9335929155e+06,2.1564327180e-01,2.0984150469e-01
100,6.7753946185e+06,2.0165383816e+04,6.8309326713e+00,1.2925801771e-03,2.4587276578e-01,3.0815601349e-03,6.7955600023e+06,6.7552292347e+06,2.4279120564e-01,2.4895432591e-01
101,5.9684225321e+06,2.8055906296e+02,6.7758595608e+00,2.0414984416e-05,4.1104140878e-01,1.5500187874e-04,5.9681419730e+06,5.9687030911e+06,4.1119641066e-01,4.1088640690e-01
102,6.9447578788e+06,4.0042161942e+04,6.8416498901e+00,2.5040876861e-03,3.3896069229e-01,4.7367364168e-03,6.9047157168e+06,6.9848000407e+06,3.4369742870e-01,3.3422395587e-01
103,7.5631459951e+06,2.2636234760e+04,6.8787005387e+00,1.2998322666e-03,1.6527908295e-01,4.6371594071e-03,7.5405097604e+06,7.5857822299e+06,1.6991624236e-01,1.6064192355e-01
104,6.9620739520e+06,5.6102961302e+04,6.8427245307e+00,3.4997809710e-03,2.3103320599e-01,6.0301274061e-03,7.0181769133e+06,6.9059709907e+06,2.2500307858e-01,2.3706333339e-01
105,6.5529788733e+06,1.9266843796e+04,6.8164368906e+00,1.2769014241e-03,3.3614695072e-01,2.4324655533e-04,6.5337120295e+06,6.5722457170e+06,3.3590370417e-01,3.3639019728e-01
106,7.2979559898e+06,6.0629725456e+04,6.8631862522e+00,3.6081008230e-03,2.7268034220e-01,8.0824494362e-03,7.2373262644e+06,7.3585857153e+06,2.8076279163e-01,2.6459789276e-01
107,7.7027799189e+06,2.3126274347e+04,6.8866455322e+00,1.3038985431e-03,1.5824654698e-01,8.9673697948e-03,7.6796536446e+06,7.7259061933e+06,1.6721391678e-01,1.4927917719e-01
108,7.7182390988e+06,6.5298378468e+03,6.8875180728e+00,3.6742489898e-04,1.5149207413e-01,4.4281482697e-03,7.7117092609e+06,7.7247689366e+06,1.4706392586e-01,1.5592022240e-01
109,7.5407645702e+06,6.2298059464e+04,6.8774005606e+00,3.5880073925e-03,2.0957539231e-01,6.3340291381e-03,7.6030626297e+06,7.4784665108e+06,2.0324136317e-01,2.1590942144e-01
110,7.3610485196e+06,3.0309498310e+04,6.8669359988e+00,1.7882401158e-03,2.2387410700e-01,2.4572014809e-03,7.3307390213e+06,7.3913580179e+06,2.2633130848e-01,2.2141690552e-01
111,7.7691436708e+06,1.9410207868e+05,6.8902375701e+00,1.0852548355e-02,1.9650720805e-01,1.3677291572e-02,7.5750415921e+06,7.9632457495e+06,2.1018449962e-01,1.8282991648e-01
112,8.5705651939e+06,1.9191500545e+05,6.9329005542e+00,9.7264953713e-03,1.4010212943e-01,1.6951937228e-02,8.3786501884e+06,8.7624801993e+06,1.5705406666e-01,1.2315019220e-01
113,8.6123920977e+06,4.1450053453e+04,6.9351187639e+00,2.0902054016e-03,1.0489185899e-01,1.0985657573e-02,8.5709420443e+06,8.6538421512e+06,1.1587751657e-01,9.3906201422e-02
114,8.7275961936e+06,2.5317397714e+05,6.9407118401e+00,1.2601742284e-02,9.4309005886e-02,6.5897665918e-03,8.4744222164e+06,8.9807701707e+06,1.0089877248e-01,8.7719239295e-02
115,9.7338083982e+06,8.9347064495e+05,6.9864454710e+00,3.9976613079e-02,9.4102852046e-02,6.0322061181e-03,8.8403377533e+06,1.0627279043e+07,1.0013505816e-01,8.8070645928e-02
116,9.6280161738e+06,3.4380501509e+05,6.9832597459e+00,1.5514736432e-02,1.0626592860e-01,1.8532238901e-03,9.2842111588e+06,9.9718211889e+06,1.0811915249e-01,1.0441270471e-01
117,9.2056138515e+06,2.1544575691e+05,6.9639337819e+00,1.0165969786e-02,1.2947483361e-01,1.4820545912e-03,8.9901680946e+06,9.4210596085e+06,1.3095688820e-01,1.2799277902e-01
118,1.0465268254e+07,1.8842443228e+06,7.0125944650e+00,7.9055351796e-02,1.5915678442e-01,1.5517681837e-02,8.5810239315e+06,1.2349512577e+07,1.7467446625e-01,1.4363910258e-01
119,1.2428722769e+07,3.6759768426e+06,7.0745484753e+00,1.3240415334e-01,2.0697176456e-01,3.3492818475e-02,8.7527459264e+06,1.6104699612e+07,2.4046458304e-01,1.7347894609e-01
120,1.0690586150e+07,1.6201384664e+06,7.0239561696e+00,6.6327446879e-02,2.9471802711e-01,2.7788758278e-02,9.0704476833e+06,1.2310724616e+07,3.2250678539e-01,2.6692926884e-01
121,9.7534539700e+06,4.4753193855e+05,6.9887007786e+00,1.9941369056e-02,3.9263528585e-01,1.4156669378e-02,9.3059220314e+06,1.0200985909e+07,4.0679195523e-01,3.7847861648e-01
122,1.1045189202e+07,5.6324726343e+05,7.0426077392e+00,2.2165989517e-02,4.5552806556e-01,9.1660469770e-03,1.0481941938e+07,1.1608436465e+07,4.6469411254e-01,4.4636201859e-01
123,1.2958323598e+07,8.0731809139e+05,7.1117043393e+00,2.7092121643e-02,4.8604486883e-01,6.9349259138e-03,1.2151005507e+07,1.3765641689e+07,4.9297979474e-01,4.7910994291e-01
124,1.4378173470e+07,9.9370050430e+05,7.1566640451e+00,3.0062770208e-02,4.9921940267e-01,5.6927353144e-03,1.3384472966e+07,1.5371873975e+07,5.0491213799e-01,4.9352666736e-01
125,1.5279607594e+07,1.1649429202e+06,7.1828462861e+00,3.3175721141e-02,5.0420966744e-01,5.5909454823e-03,1.4114664674e+07,1.6444550514e+07,5.0980061293e-01,4.9861872196e-01
126,1.5857913315e+07,1.2831607461e+06,7.1988196110e+00,3.5218420378e-02,5.0582434237e-01,5.9637278318e-03,1.4574752569e+07,1.7141074061e+07,5.1178807020e-01,4.9986061454e-01
127,1.6274883628e+07,1.3579680920e+06,7.2100007930e+00,3.6321762390e-02,5.0611127913e-01,6.4063519239e-03,1.4916915536e+07,1.7632851720e+07,5.1251763105e-01,4.9970492721e-01
128,1.6619947135e+07,1.4111514688e+06,7.2190585067e+00,3.6963681628e-02,5.0581541657e-01,6.8107545376e-03,1.5208795667e+07,1.8031098604e+07,5.1262617111e-01,4.9900466204e-01
129,1.6932326317e+07,1.4537851810e+06,7.2271099576e+00,3.7379931882e-02,5.0520594418e-01,7.1598142385e-03,1.5478541136e+07,1.8386111498e+07,5.1236575842e-01,4.9804612994e-01
130,1.7228526950e+07,1.4900733232e+06,7.2346177145e+00,3.7655655745e-02,5.0439147651e-01,7.4545890093e-03,1.5738453627e+07,1.8718600273e+07,5.1184606552e-01,4.9693688750e-01
131,1.7516199768e+07,1.5215855241e+06,7.2417950974e+00,3.7821327129e-02,5.0342434645e-01,7.6986551285e-03,1.5994614244e+07,1.9037785292e+07,5.1112300158e-01,4.9572569132e-01
132,1.7799465716e+07,1.5489708781e+06,7.2487562343e+00,3.7889644274e-02,5.0233435631e-01,7.8952312469e-03,1.6250494838e+07,1.9348436594e+07,5.1022958755e-01,4.9443912506e-01
133,1.8080940485e+07,1.5725383759e+06,7.2555722374e+00,3.7867198569e-02,5.0114038587e-01,8.0467164516e-03,1.6508402109e+07,1.9653478861e+07,5.0918710232e-01,4.9309366941e-01
134,1.8362461925e+07,1.5924221277e+06,7.2622916509e+00,3.7757557717e-02,4.9985530972e-01,8.1551969051e-03,1.6770039797e+07,1.9954884052e+07,5.0801050663e-01,4.9170011282e-01
