alpha,fullbatch_mean,batch2000_minus_fullbatch,batch2000_minus_fullbatch_sem,batch4000_minus_fullbatch,batch4000_minus_fullbatch_sem
0.0,0.0009,7.978665782138687e-06,0.0004934876142244575,-0.0002215099442750215,0.0004793383975486651
0.2,0.0205,-1.0790109634398887e-05,0.0004470371846936835,3.6481842398648767e-06,0.0004521628252392961
0.4,0.0419,-8.396455645563738e-06,0.0003203611362816097,-2.738500535488103e-05,0.00032084348512394033
0.6,0.0651,-0.00013850251436234307,0.00045955027353883435,-0.0001467592477798485,0.00046304351820180775
0.8,0.0928,-0.00020867108106611965,0.0007314447603350471,-0.00027015699744223354,0.000715023216820398
1.0,0.1279,-0.00019475975036623017,0.0007365898564161068,2.1900153160087088e-05,0.0007685879598425593
1.2,0.1769,-8.076640367507548e-05,0.0012265739646272252,0.0003399321198463423,0.0011551191065034938
1.4,0.2434,0.0015619993567466683,0.0013622938193046498,0.0033987835407257028,0.0013490905278649725
1.6,0.3235,0.002167124986648561,0.001396527545661857,0.01171944284439086,0.0012971395169597314
1.8,0.4146,-0.004607817745208742,0.0016894461125232282,0.013941678190231288,0.0011591604835849418
2.0,0.5203,-0.009251754570007265,0.001078540800476162,0.014820946168899507,0.0013797739256813035
2.2,0.651,-0.027016914844512963,0.0028226383969433264,0.014451186895370505,0.0027902907220036235
2.4,0.8424,-0.06743867745399479,0.003252448661670535,0.017572184896469056,0.0031969812474580816
2.6,0.9986,-0.03834967002868661,0.0021250060775009957,-0.0014976321220397937,0.00023085704355956744
2.8,1.0,-0.0006167948246001975,5.195693598530071e-05,-6.070733070373535e-05,2.489922949791016e-06
3.0,1.0,-3.075003623964623e-05,1.1256112679593001e-06,-7.510185241699219e-06,5.103772790100013e-07
3.2,1.0,-1.1491775512739721e-05,1.0385585553467036e-07,-4.1961669922097045e-06,4.476304854278227e-08
3.4,1.0,-7.545948028542249e-06,6.594332068414369e-08,-2.872943878129419e-06,4.112288549103818e-08
3.6,1.0,-5.263090133711401e-06,3.159608431028979e-08,-2.0563602447509766e-06,2.950279395762582e-08
3.8,1.0,-3.9458274840864505e-06,4.112288549103818e-08,-1.573562622092517e-06,2.6921247936811957e-08
4.0,1.0,-3.075599670387952e-06,3.1764298902688565e-08,-1.2218952178955078e-06,2.1073424255447014e-08
4.2,1.0,-2.491474151655737e-06,2.354194838777959e-08,-9.775161743386107e-07,2.098896129329086e-08
4.4,1.0,-2.115964889526367e-06,1.9314112360500875e-08,-9.119510651078855e-07,3.7744379518002425e-08
4.6,1.0,-1.6868114471879636e-06,3.159608431028979e-08,-7.152557373046875e-07,1.4600096599955428e-08
4.8,1.0,-1.4543533325417357e-06,1.5078914929239174e-08,-6.854534149169922e-07,9.424321830774484e-09
5.0,1.0,-1.233816146806177e-06,1.8942652442539574e-08,-5.722045898215455e-07,2.261837239385876e-08
