alpha,fullbatch_mean,fullbatch_sem,batch2000_mean,batch2000_sem,batch4000_mean,batch4000_sem
0.0,0.0009,0.0003478505426185217,0.0009079786657821387,0.0003500428907904672,0.0006784900557249785,0.00032979584497765
0.2,0.0205,0.00031622776601683794,0.020489209890365602,0.0003159782342169385,0.020503648184239866,0.00032318914048646836
0.4,0.0419,0.00022135943621178655,0.041891603544354436,0.00023158423443672528,0.04187261499464512,0.00023225103217526532
0.6,0.0651,0.00031622776601683794,0.06496149748563766,0.0003334463283792722,0.06495324075222016,0.0003382444378681013
0.8,0.0928,0.0005059644256269407,0.09259132891893387,0.0005282153324370608,0.09252984300255776,0.0005052308389164203
1.0,0.1279,0.0005692099788303082,0.12770524024963378,0.0004675089481230289,0.1279219001531601,0.0005164566313011651
1.2,0.1769,0.0009170605214488299,0.17681923359632493,0.0008145450820558366,0.17723993211984634,0.0007023532944390808
1.4,0.2434,0.0009486832980505137,0.24496199935674667,0.0009776729770816263,0.2467987835407257,0.0009591898938036149
1.6,0.3235,0.0009803060746521974,0.32566712498664857,0.0009946301753879833,0.33521944284439087,0.0008494533103464402
1.8,0.4146,0.0006957010852370434,0.4099921822547913,0.0015395545352860508,0.4285416781902313,0.0009271747552133181
2.0,0.5203,0.0007589466384404109,0.5110482454299927,0.0007663225549934964,0.5351209461688995,0.0011522916670661102
2.2,0.651,0.0012965338406690356,0.6239830851554871,0.0025072470001774438,0.6654511868953705,0.0024707736264780516
2.4,0.8424,0.00275118156434649,0.7749613225460052,0.0017347686580067255,0.8599721848964691,0.0016284007788620806
2.6,0.9986,0.00012649110640673518,0.9602503299713134,0.0021212380416672162,0.9971023678779602,0.00019311906835179176
2.8,1.0,0.0,0.9993832051753998,5.195693598530071e-05,0.9999392926692963,2.489922949791016e-06
3.0,1.0,0.0,0.9999692499637604,1.1256112679593001e-06,0.9999924898147583,5.103772790100013e-07
3.2,1.0,0.0,0.9999885082244873,1.0385585553467036e-07,0.9999958038330078,4.476304854278227e-08
3.4,1.0,0.0,0.9999924540519715,6.594332068414369e-08,0.9999971270561219,4.112288549103818e-08
3.6,1.0,0.0,0.9999947369098663,3.159608431028979e-08,0.9999979436397552,2.950279395762582e-08
3.8,1.0,0.0,0.9999960541725159,4.112288549103818e-08,0.9999984264373779,2.6921247936811957e-08
4.0,1.0,0.0,0.9999969244003296,3.1764298902688565e-08,0.9999987781047821,2.1073424255447014e-08
4.2,1.0,0.0,0.9999975085258483,2.354194838777959e-08,0.9999990224838257,2.098896129329086e-08
4.4,1.0,0.0,0.9999978840351105,1.9314112360500875e-08,0.9999990880489349,3.7744379518002425e-08
4.6,1.0,0.0,0.9999983131885528,3.159608431028979e-08,0.9999992847442627,1.4600096599955428e-08
4.8,1.0,0.0,0.9999985456466675,1.5078914929239174e-08,0.9999993145465851,9.424321830774484e-09
5.0,1.0,0.0,0.9999987661838532,1.8942652442539574e-08,0.9999994277954102,2.261837239385876e-08
