step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,mse_mean,mse_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,loss_replica_2,loss_replica_3,mse_replica_1,mse_replica_2,mse_replica_3,cosine_similarity_replica_1,cosine_similarity_replica_2,cosine_similarity_replica_3
0,1.0040651194e+02,6.2397482027e-05,2.0017618802e+00,2.6989172829e-07,1.0040651560e+00,6.0785049362e-07,-4.6415278424e-04,1.4552131625e-03,1.0040653992e+02,1.0040642548e+02,1.0040657043e+02,1.0040653944e+00,1.0040643215e+00,1.0040657520e+00,-3.0342509490e-05,1.0611603502e-03,-2.4232761934e-03
5,1.9132459513e+02,6.6420069843e-01,2.2817681867e+00,1.5073680995e-03,1.9132459958e+00,6.6419682907e-03,1.0616355576e-02,1.2136133883e-03,1.9126766968e+02,1.9054107666e+02,1.9216503906e+02,1.9126766920e+00,1.9054108858e+00,1.9216504097e+00,1.0787098669e-02,1.2009977363e-02,9.0519906953e-03
10,1.8204932149e+02,5.9967644690e-01,2.2601867104e+00,1.4297043089e-03,1.8204931815e+00,5.9967745849e-03,2.0662847906e-02,1.1722762766e-03,1.8189204407e+02,1.8140625000e+02,1.8284967041e+02,1.8189203739e+00,1.8140624762e+00,1.8284966946e+00,2.0707104355e-02,2.2075947374e-02,1.9205491990e-02
15,1.7357839457e+02,6.9524962133e-01,2.2394921896e+00,1.7372421980e-03,1.7357839346e+00,6.9525311368e-03,3.0229053150e-02,1.2184720549e-03,1.7319688416e+02,1.7298435974e+02,1.7455393982e+02,1.7319688797e+00,1.7298434973e+00,1.7455394268e+00,3.0234362930e-02,3.1718708575e-02,2.8734087944e-02
20,1.6579146322e+02,6.8797599701e-01,2.2195584318e+00,1.7998045324e-03,1.6579146385e+00,6.8797353263e-03,3.9408973108e-02,1.2100096382e-03,1.6543658447e+02,1.6518435669e+02,1.6675344849e+02,1.6543657780e+00,1.6518436670e+00,1.6675344706e+00,3.9295878261e-02,4.0944233537e-02,3.7986807525e-02
25,1.5852033997e+02,4.8861595238e-01,2.2000829329e+00,1.3381725398e-03,1.5852034092e+00,4.8861618744e-03,4.8491905133e-02,1.1384705794e-03,1.5844256592e+02,1.5796459961e+02,1.5915385437e+02,1.5844256878e+00,1.5796459913e+00,1.5915385485e+00,4.7600243241e-02,5.0098717213e-02,4.7776754946e-02
30,1.5178930664e+02,3.5165449193e-01,2.1812400129e+00,1.0053365339e-03,1.5178930362e+00,3.5164707959e-03,5.7322620104e-02,1.2379905613e-03,1.5151296997e+02,1.5156939697e+02,1.5228555298e+02,1.5151298046e+00,1.5156939030e+00,1.5228554010e+00,5.6275051087e-02,5.9061262757e-02,5.6631546468e-02
35,1.4547920227e+02,3.2791283845e-01,2.1627998088e+00,9.7816163560e-04,1.4547919830e+00,3.2791144955e-03,6.5909311175e-02,1.2312215340e-03,1.4521034241e+02,1.4528640747e+02,1.4594085693e+02,1.4521034956e+00,1.4528639317e+00,1.4594085217e+00,6.4901821315e-02,6.7642927170e-02,6.5183185041e-02
40,1.3963002523e+02,2.1796697958e-01,2.1449782875e+00,6.7782312955e-04,1.3963003159e+00,2.1797368318e-03,7.4312222501e-02,9.5777595233e-04,1.3938233948e+02,1.3959495544e+02,1.3991278076e+02,1.3938233852e+00,1.3959496021e+00,1.3991279602e+00,7.3366485536e-02,7.5624845922e-02,7.3945336044e-02
45,1.3425097148e+02,2.7110129263e-01,2.1279165518e+00,8.7679102758e-04,1.3425096273e+00,2.7110402304e-03,8.2443259656e-02,9.9719236140e-04,1.3394273376e+02,1.3420764160e+02,1.3460253906e+02,1.3394272327e+00,1.3420763016e+00,1.3460253477e+00,8.1539556384e-02,8.3832703531e-02,8.1957519054e-02
50,1.2934665426e+02,1.7499652577e-01,2.1117548022e+00,5.8739922075e-04,1.2934665680e+00,1.7499411483e-03,9.0230936805e-02,1.0192021957e-03,1.2916389465e+02,1.2929351807e+02,1.2958255005e+02,1.2916389704e+00,1.2929352522e+00,1.2958254814e+00,8.9324079454e-02,9.1654606164e-02,8.9714124799e-02
55,1.2467795308e+02,1.8397404142e-01,2.0957891911e+00,6.4054746268e-04,1.2467795213e+00,1.8397243374e-03,9.8038934171e-02,1.1305949410e-03,1.2451321411e+02,1.2458592224e+02,1.2493472290e+02,1.2451322079e+00,1.2458591461e+00,1.2493472099e+00,9.6947617829e-02,9.9596589804e-02,9.7572594881e-02
60,1.2033869171e+02,2.5338905743e-01,2.0804043236e+00,9.1396451171e-04,1.2033869425e+00,2.5339049423e-03,1.0568718861e-01,9.8211125538e-04,1.2008906555e+02,1.2024085236e+02,1.2068615723e+02,1.2008906603e+00,1.2024085522e+00,1.2068616152e+00,1.0491005331e-01,1.0707268119e-01,1.0507883132e-01
65,1.1618405406e+02,2.6393256732e-01,2.0651454053e+00,9.8691160527e-04,1.1618405581e+00,2.6393210248e-03,1.1358963201e-01,7.4263268927e-04,1.1583733368e+02,1.1623770905e+02,1.1647711945e+02,1.1583733559e+00,1.1623771191e+00,1.1647711992e+00,1.1298158765e-01,1.1463525146e-01,1.1315205693e-01
