replica,seed,runtime_sec,initial_loss,final_loss,final_mse,estimated_convergence_step,cosine_similarity
1,100,38.5761,1.0040653992e+02,5.3665049374e-02,5.3665047744e-04,,9.9789118767e-01
2,101,37.9894,1.0040642548e+02,1.9816510379e-01,1.9816509448e-03,,9.9467909336e-01
3,102,38.4286,1.0040657043e+02,9.0772442520e-02,9.0772443218e-04,,9.9686992168e-01
