step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,mse_mean,mse_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,mse_replica_1,cosine_similarity_replica_1
0,1.0120606995e+02,0.0000000000e+00,2.0052065606e+00,0.0000000000e+00,1.0120606422e+00,0.0000000000e+00,-3.0342309401e-05,0.0000000000e+00,1.0120606995e+02,1.0120606422e+00,-3.0342309401e-05
100,1.0457955031e-12,0.0000000000e+00,-1.1980553230e+01,0.0000000000e+00,1.0457954964e-14,0.0000000000e+00,1.2921121670e-03,0.0000000000e+00,1.0457955031e-12,1.0457954964e-14,1.2921121670e-03
200,1.0513872759e-12,0.0000000000e+00,-1.1978237283e+01,0.0000000000e+00,1.0513873538e-14,0.0000000000e+00,1.2921121670e-03,0.0000000000e+00,1.0513872759e-12,1.0513873538e-14,1.2921121670e-03
300,1.0370174771e-12,0.0000000000e+00,-1.1984213924e+01,0.0000000000e+00,1.0370174398e-14,0.0000000000e+00,1.2921122834e-03,0.0000000000e+00,1.0370174771e-12,1.0370174398e-14,1.2921122834e-03
400,1.0474576935e-12,0.0000000000e+00,-1.1979863509e+01,0.0000000000e+00,1.0474577138e-14,0.0000000000e+00,1.2921122834e-03,0.0000000000e+00,1.0474576935e-12,1.0474577138e-14,1.2921122834e-03
500,1.0466994025e-12,0.0000000000e+00,-1.1980178024e+01,0.0000000000e+00,1.0466994499e-14,0.0000000000e+00,1.2921122834e-03,0.0000000000e+00,1.0466994025e-12,1.0466994499e-14,1.2921122834e-03
600,1.0575987785e-12,0.0000000000e+00,-1.1975679059e+01,0.0000000000e+00,1.0575988158e-14,0.0000000000e+00,1.2921123998e-03,0.0000000000e+00,1.0575987785e-12,1.0575988158e-14,1.2921123998e-03
700,1.0569254890e-12,0.0000000000e+00,-1.1975955628e+01,0.0000000000e+00,1.0569253399e-14,0.0000000000e+00,1.2921123998e-03,0.0000000000e+00,1.0569254890e-12,1.0569253399e-14,1.2921123998e-03
800,1.0275610658e-12,0.0000000000e+00,-1.1988192359e+01,0.0000000000e+00,1.0275609946e-14,0.0000000000e+00,1.2921122834e-03,0.0000000000e+00,1.0275610658e-12,1.0275609946e-14,1.2921122834e-03
900,1.0208719720e-12,0.0000000000e+00,-1.1991028720e+01,0.0000000000e+00,1.0208718907e-14,0.0000000000e+00,1.2921122834e-03,0.0000000000e+00,1.0208719720e-12,1.0208718907e-14,1.2921122834e-03
1000,1.0244383467e-12,0.0000000000e+00,-1.1989514173e+01,0.0000000000e+00,1.0244383229e-14,0.0000000000e+00,1.2921122834e-03,0.0000000000e+00,1.0244383467e-12,1.0244383229e-14,1.2921122834e-03
1100,1.0415995323e-12,0.0000000000e+00,-1.1982299224e+01,0.0000000000e+00,1.0415995493e-14,0.0000000000e+00,1.2921122834e-03,0.0000000000e+00,1.0415995323e-12,1.0415995493e-14,1.2921122834e-03
1200,1.0257328840e-12,0.0000000000e+00,-1.1988965721e+01,0.0000000000e+00,1.0257327587e-14,0.0000000000e+00,1.2921123998e-03,0.0000000000e+00,1.0257328840e-12,1.0257327587e-14,1.2921123998e-03
1300,1.0364024092e-12,0.0000000000e+00,-1.1984471586e+01,0.0000000000e+00,1.0364024092e-14,0.0000000000e+00,1.2921123998e-03,0.0000000000e+00,1.0364024092e-12,1.0364024092e-14,1.2921123998e-03
1400,1.0445205898e-12,0.0000000000e+00,-1.1981082995e+01,0.0000000000e+00,1.0445205424e-14,0.0000000000e+00,1.2921123998e-03,0.0000000000e+00,1.0445205898e-12,1.0445205424e-14,1.2921123998e-03
1500,1.0514415944e-12,0.0000000000e+00,-1.1978214847e+01,0.0000000000e+00,1.0514415639e-14,0.0000000000e+00,1.2921123998e-03,0.0000000000e+00,1.0514415944e-12,1.0514415639e-14,1.2921123998e-03
1600,1.0507668954e-12,0.0000000000e+00,-1.1978493618e+01,0.0000000000e+00,1.0507669021e-14,0.0000000000e+00,1.2921123998e-03,0.0000000000e+00,1.0507668954e-12,1.0507669021e-14,1.2921123998e-03
1700,1.0454071419e-12,0.0000000000e+00,-1.1980714537e+01,0.0000000000e+00,1.0454070471e-14,0.0000000000e+00,1.2921122834e-03,0.0000000000e+00,1.0454071419e-12,1.0454070471e-14,1.2921122834e-03
1800,1.0496073411e-12,0.0000000000e+00,-1.1978973140e+01,0.0000000000e+00,1.0496073140e-14,0.0000000000e+00,1.2921121670e-03,0.0000000000e+00,1.0496073411e-12,1.0496073140e-14,1.2921121670e-03
1900,1.0386322878e-12,0.0000000000e+00,-1.1983538181e+01,0.0000000000e+00,1.0386323081e-14,0.0000000000e+00,1.2921120506e-03,0.0000000000e+00,1.0386322878e-12,1.0386323081e-14,1.2921120506e-03
