lambda	m_w	m_x	m_y
0.1	1.3626762420046953e-17	3.4879469969374684e-15	4.752942506098312e-32
0.2	5.9375987075959824e-18	2.430491161315572e-14	1.44312811782508e-31
0.4	1.3922559668363766e-20	4.653534871541977e-13	6.47891169178547e-33
0.8	3.0535645274057276e-76	0.08482142856085757	2.5900770541731374e-77
1.	4.662499223337087e-16	0.2857142857121552	1.332142635229234e-16
2.	0.18585715713758694	0.5929285785706059	0.11020001999876317
3.	0.4181055901682046	0.7090527950846032	0.29645893734926304
5.	0.5999999999943789	0.7999999999973838	0.4799999999939334
8.	0.6968990398764952	0.8484495199383664	0.5912836558287208
10.	0.726794919234035	0.8633974596171221	0.6275128869292973
15.	0.7625631458016734	0.8812815729009205	0.6720328485683726
20.	0.7775255128485946	0.8887627564243731	0.6910357179895913
30.	0.789445840307502	0.8947229201538235	0.7063352875432172
40.	0.7939339828071426	0.8969669914036432	0.7121325759316345
50.	0.7960769515313977	0.8980384757657668	0.7149077321455146
60.	0.7972597666020255	0.8986298833010824	0.7164414510222263
80.	0.798449519927037	0.8992247599635863	0.7179855778994306
100.	0.7990049506015245	0.8995024753008287	0.7187069308436878
120.	0.7993079502042457	0.899653975102193	0.7191005747320354
240.	0.7998265393163648	0.8999132696582508	0.7197745161556334
480.	0.7999566066221254	0.8999783033111287	0.7199435895503085
960.	0.7999891498790621	0.8999945749395974	0.7199858949016964
