lambda	m_w	m_x	m_y
0.1	4.680478986571173e-18	2.3959013623347008e-15	1.1213965980304813e-32
0.2	2.5376574356545788e-18	4.1536106557268483e-14	1.0540440965319327e-31
0.4	1.5322982138000155e-24	8.353180102872758e-13	1.2799562951181757e-36
0.8	3.262514959048389e-12	0.3593750000007532	1.172466313410472e-12
1.	0.0011745918649802038	0.5001471266109879	0.0005874687462104904
2.	0.6339745962133834	0.8169872981068652	0.5179491924287629
3.	0.8128157290618478	0.9064078645309742	0.7367425692361365
5.	0.9255437353437096	0.9627718676718744	0.8910874706888663
8.	0.9696699141077193	0.9848349570538664	0.954964828216702
10.	0.9803847577269008	0.9901923788634547	0.9707695154550716
15.	0.9911887492483156	0.9955943746241597	0.9868219429423798
20.	0.9950247530789953	0.9975123765394988	0.9925495061594566
30.	0.9977826942203075	0.9988913471101543	0.9966764995529221
40.	0.9987515586034553	0.9993757793017277	0.9981281172081433
50.	0.9992006389755473	0.9996003194877737	0.9988012779523447
60.	0.999444752741443	0.9997223763707216	0.9991672832619236
80.	0.999687597592725	0.9998437987963626	0.9995314451867197
100.	0.999800039981461	0.9999000199907306	0.9997000799641962
120.	0.9998611303933257	0.9999305651966631	0.9997917052323726
240.	0.9999652789807657	0.9999826394903828	0.9999479190739231
480.	0.9999913195172316	0.9999956597586157	0.9999869793135228
960.	0.9999978298632567	0.9999989149316283	0.9999967447972398
