lambda	m_w	m_x	m_y
0.1	5.343998321347848e-18	5.470474422702121e-15	2.923420613189647e-32
0.2	1.1374963885982737e-18	1.4884187039654195e-13	1.6930709004827877e-31
0.4	2.0428875464644626e-46	4.077154703041964e-12	8.329168567853443e-58
0.8	0.1815953761209878	0.5907976880623466	0.10728612837509185
1.	0.4384471871894713	0.7192235935951655	0.31534156157210375
2.	0.8416876048213446	0.9208438024107207	0.7750628144656591
3.	0.9276698113230943	0.9638349056615635	0.894120545081675
5.	0.9735662477517436	0.9867831238758779	0.9606987432565824
8.	0.9896192532999384	0.9948096266499712	0.9844827599009349
10.	0.9933480826673516	0.9966740413336769	0.9900442480031287
15.	0.9970399576532479	0.9985199788266244	0.9955643174052196
20.	0.9983342582312021	0.9991671291156013	0.9975027746946237
30.	0.9992594420672718	0.999629721033636	0.9988894373139336
40.	0.9995833911869653	0.9997916955934827	0.9993751735618995
50.	0.9997333570321559	0.9998666785160781	0.9996000710974702
60.	0.9998148262439209	0.9999074131219602	0.9997222565105411
80.	0.9998958369493135	0.9999479184746566	0.9998437608489407
100.	0.9999333348140823	0.9999666674070411	0.9999000044432469
120.	0.9999537044174641	0.9999768522087321	0.9999305576978367
240.	0.9999884259699123	0.9999942129849563	0.9999826390218477
480.	0.9999971064836063	0.9999985532418031	0.9999956597295956
960.	0.9999992766198788	0.9999996383099393	0.9999989149300798
