replica,seed,runtime_sec,final_loss,estimated_convergence_step,cosine_similarity
1,100,1153.3667,1.0899904370e-01,972,5.5057823658e-01
2,101,1132.8223,1.1226733029e-01,2112,5.5617481470e-01
3,102,1133.6806,1.1398859322e-01,640,5.4784971476e-01
